#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	Bc34	Bc35	Bc36	Bc37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC49	BC50	BC52	BC53	BC54
OTU_28715	300	46	188	30	13	3997	8	16	19	9	757	66	33	401	1785	1374	10	122	102	432	28	4400	186	71	619	81	3350	193	87	0	0	0	0	15	100	45	2152	35	63	54	59	105	53	11	263	90	890	60
OTU_631	579	324	193	75	186	208	190	248	244	311	3014	1227	146	221	461	356	219	1268	1374	267	243	769	292	107	495	387	278	526	283	130	132	30	147	48	392	407	251	214	278	337	300	579	361	17	315	376	359	338
OTU_135	22	2	3	3	3	12	29	0	3	4	17	1	1	0	6	7	5	2	1	4	1	4	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	12	1	1	0	0	0	0	2	0	0	0
OTU_15836	16395	6514	4322	3658	5116	3812	5485	4595	5730	7590	65190	33891	5669	4667	19467	8090	5733	66707	49300	9797	10835	18746	12252	1196	6530	6429	6080	7636	6385	2235	4347	4799	5820	1332	8318	7243	5139	4948	8348	7675	5590	5857	5428	559	3490	4242	4797	3952
OTU_7071	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_4224	126	76	12	51	47	4	49	42	39	34	576	243	70	25	96	85	36	209	195	71	53	124	15	11	31	49	41	45	57	15	1	8	25	14	46	54	50	24	41	36	26	71	63	2	20	53	55	10
OTU_11	1092	329	189	348	339	398	214	522	362	663	8862	3395	411	242	1051	831	493	7209	5607	367	1372	1052	285	113	434	603	325	459	407	105	840	1674	648	95	584	494	368	390	720	614	414	464	391	41	234	364	345	256
OTU_2	19069	10211	5922	3191	7235	6126	6614	6991	7725	9222	80177	31703	2940	6108	19387	7403	5415	48196	41047	6692	7877	19873	16009	2921	8929	7745	7219	12027	5858	9823	7877	3877	14310	1044	9584	8844	6305	5858	7030	8753	6317	9665	9717	433	6270	7453	10210	9015
OTU_1	20899	9946	6986	4233	7743	6710	8174	7423	8336	10842	92945	38623	5088	7073	24769	10157	6545	54088	48162	9471	10835	24868	13706	3242	13606	11580	10870	16224	9473	7298	5732	8315	11461	2109	15739	12755	9738	8079	12318	12590	9230	11870	10395	663	9459	9309	12106	10500
OTU_19	503	260	224	142	346	231	175	253	346	433	4893	1335	55	155	158	128	351	1921	2019	71	441	172	619	156	58	118	87	137	50	165	785	52	3248	8	60	36	74	93	175	111	93	55	193	5	62	80	133	144
