Target,Model,Fold,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
Monothalamida,GAM,2.0,-2.876659699710914,0.524972468951802,27695.653816557955,18705.913631089486,18723.752406734413,12450.158078899194
Monothalamida,LightGBM,2.0,-1.4274105422655123,0.0,25294.213251599656,27290.095616847586,16553.303394811817,16412.64720123261
Monothalamida,Linear,2.0,-7.372094440622537,0.3456417809643673,31528.328671699517,22036.417601688656,22351.96260583713,15083.255554108055
Monothalamida,RF,2.0,-2.0859546379073772,0.773899699916927,26825.312481752266,12838.816539708414,16642.788709184082,8126.701110794507
Monothalamida,Ridge,2.0,-2.365487711469648,0.23677244771658676,26413.70616235169,23802.26881015248,16821.738324469712,14593.471375412797
Monothalamida,XGBoost,2.0,-0.39152097702026367,0.9996666789054871,25853.676565516256,285.41693813311883,14775.349186197916,198.8625454674848
ZOTUs,GAM,2.0,-0.6898011392295287,0.5082644400646246,1557.6217436940701,989.5737399542516,1205.5848831455276,734.3251305923823
ZOTUs,LightGBM,2.0,-0.32242590262007914,0.0,1410.30006675016,1421.5782009639647,1015.1952586594691,997.697536611174
ZOTUs,Linear,2.0,-1.0779086901065615,0.3150105446977266,1685.6621968243285,1171.0515517255603,1310.5444702091688,887.993320730569
ZOTUs,RF,2.0,-0.7613939769468765,0.6703265137780499,1605.5345589119904,813.502988744797,1187.0879886654047,630.9220733719785
ZOTUs,Ridge,2.0,-0.5191146794949623,0.21255927204192568,1506.9224522431352,1256.983381314741,1074.4021798541164,916.2175248474474
ZOTUs,XGBoost,2.0,-1.3070075750350951,0.999972128868103,1862.191623388941,5.43754750959969,1390.4505650499134,4.216221217105263
reads,GAM,2.0,-1.7468629030000464,0.5886248721505585,100526.87262660367,65453.44639265221,68351.24380502696,44452.48267496326
reads,LightGBM,2.0,-0.9787488958874914,0.0,94943.13834063355,104361.96100489497,60482.209158794416,60188.869014043456
reads,Linear,2.0,-5.305512644148576,0.37756342189893904,118220.6858548786,81822.13405423058,83178.78189883093,56850.50594416057
reads,RF,2.0,-1.252429541511201,0.7890907598345931,100091.63500412839,46342.929474436365,60318.52861082298,28905.943490338086
reads,Ridge,2.0,-1.7963399321459008,0.2629011731890659,99420.19043610388,89125.21146119953,62443.18500576589,54135.85823777512
reads,XGBoost,2.0,-0.5264266014099122,0.9997704863548279,98590.80576890588,1029.9964341361415,56899.94945095487,777.1900472334682
