Target,Model,Feature,MeanAbsSHAP,Group
Monothalamida,XGBoost,Trace_PC2,5131.480310058594,Trace Element Gradient (PC2)
Monothalamida,XGBoost,Sediment_PC1,4273.977270507812,Sediment Gradient (PC1)
Monothalamida,XGBoost,Major_PC1,4139.008605957031,Major Element Gradient (PC1)
Monothalamida,XGBoost,Trace_PC1,2081.5175018310547,Trace Element Gradient (PC1)
Monothalamida,XGBoost,Sediment_PC2,1793.7221557617188,Sediment Gradient (PC2)
ZOTUs,XGBoost,Major_PC2,310.7071197509766,Major Element Gradient (PC2)
ZOTUs,XGBoost,Major_PC1,237.98190002441407,Major Element Gradient (PC1)
ZOTUs,XGBoost,Trace_PC1,197.32522621154786,Trace Element Gradient (PC1)
ZOTUs,XGBoost,Sediment_PC1,169.7141082763672,Sediment Gradient (PC1)
ZOTUs,XGBoost,Organic_PC2,150.46685409545898,Organic-Depth Gradient (PC2)
reads,XGBoost,Major_PC1,17822.109619140625,Major Element Gradient (PC1)
reads,XGBoost,Trace_PC2,13546.864233398437,Trace Element Gradient (PC2)
reads,XGBoost,Sediment_PC1,13016.407861328125,Sediment Gradient (PC1)
reads,XGBoost,Trace_PC1,9457.79990234375,Trace Element Gradient (PC1)
reads,XGBoost,Sediment_PC2,5844.613452148437,Sediment Gradient (PC2)
