Target,Fold,Model,Observed,Predicted
Monothalamida,0,XGBoost,12388,19022.142578125
Monothalamida,0,XGBoost,6726,14422.2939453125
Monothalamida,0,XGBoost,9934,15615.7041015625
Monothalamida,0,XGBoost,24333,26900.955078125
Monothalamida,0,XGBoost,13377,12455.296875
Monothalamida,0,XGBoost,13599,16393.33984375
Monothalamida,0,XGBoost,10175,21607.666015625
Monothalamida,0,XGBoost,13387,19172.23828125
Monothalamida,0,XGBoost,2512,14243.6884765625
Monothalamida,0,XGBoost,10000,8758.494140625
Monothalamida,1,XGBoost,14729,14058.0830078125
Monothalamida,1,XGBoost,135946,13897.765625
Monothalamida,1,XGBoost,62644,10113.57421875
Monothalamida,1,XGBoost,11259,14280.7802734375
Monothalamida,1,XGBoost,11287,14677.9248046875
Monothalamida,1,XGBoost,3538,13228.3876953125
Monothalamida,1,XGBoost,16275,13923.2294921875
Monothalamida,1,XGBoost,15066,11223.125
Monothalamida,1,XGBoost,11208,15203.7685546875
Monothalamida,1,XGBoost,11946,12096.103515625
Monothalamida,2,XGBoost,8734,14161.91796875
Monothalamida,2,XGBoost,10581,13823.0205078125
Monothalamida,2,XGBoost,9710,39767.359375
Monothalamida,2,XGBoost,119586,7959.56298828125
Monothalamida,2,XGBoost,17101,7021.11279296875
Monothalamida,2,XGBoost,34035,9485.4990234375
Monothalamida,2,XGBoost,12983,13887.5751953125
Monothalamida,2,XGBoost,14756,13359.0595703125
Monothalamida,2,XGBoost,9962,38385.5703125
Monothalamida,2,XGBoost,12825,8622.57421875
Monothalamida,3,XGBoost,8045,18288.44921875
Monothalamida,3,XGBoost,67829,13266.81640625
Monothalamida,3,XGBoost,16492,9252.6396484375
Monothalamida,3,XGBoost,91943,7950.7724609375
Monothalamida,3,XGBoost,14040,12500.091796875
Monothalamida,3,XGBoost,16524,19904.16015625
Monothalamida,3,XGBoost,6045,22127.771484375
Monothalamida,3,XGBoost,13963,14134.0283203125
Monothalamida,3,XGBoost,1328,9219.2529296875
Monothalamida,4,XGBoost,30574,14793.4541015625
Monothalamida,4,XGBoost,9899,14509.15625
Monothalamida,4,XGBoost,11065,8942.2021484375
Monothalamida,4,XGBoost,20143,16983.43359375
Monothalamida,4,XGBoost,12414,14055.8583984375
Monothalamida,4,XGBoost,10643,23700.572265625
Monothalamida,4,XGBoost,15791,16690.46875
Monothalamida,4,XGBoost,10845,12506.662109375
Monothalamida,4,XGBoost,14004,7431.2099609375
ZOTUs,0,LightGBM,1989,2842.9210526315787
ZOTUs,0,LightGBM,1344,2842.9210526315787
ZOTUs,0,LightGBM,1674,2842.9210526315787
ZOTUs,0,LightGBM,2950,2842.9210526315787
ZOTUs,0,LightGBM,2449,2842.9210526315787
ZOTUs,0,LightGBM,3267,2842.9210526315787
ZOTUs,0,LightGBM,1244,2842.9210526315787
ZOTUs,0,LightGBM,1539,2842.9210526315787
ZOTUs,0,LightGBM,881,2842.9210526315787
ZOTUs,0,LightGBM,2290,2842.9210526315787
ZOTUs,1,LightGBM,2275,2511.0526315789475
ZOTUs,1,LightGBM,8550,2511.0526315789475
ZOTUs,1,LightGBM,4392,2511.0526315789475
ZOTUs,1,LightGBM,2497,2511.0526315789475
ZOTUs,1,LightGBM,1811,2511.0526315789475
ZOTUs,1,LightGBM,1465,2511.0526315789475
ZOTUs,1,LightGBM,2544,2511.0526315789475
ZOTUs,1,LightGBM,2646,2511.0526315789475
ZOTUs,1,LightGBM,2326,2511.0526315789475
ZOTUs,1,LightGBM,3732,2511.0526315789475
ZOTUs,2,LightGBM,1726,2638.9736842105262
ZOTUs,2,LightGBM,1700,2638.9736842105262
ZOTUs,2,LightGBM,1716,2638.9736842105262
ZOTUs,2,LightGBM,6022,2638.9736842105262
ZOTUs,2,LightGBM,2168,2638.9736842105262
ZOTUs,2,LightGBM,4398,2638.9736842105262
ZOTUs,2,LightGBM,2242,2638.9736842105262
ZOTUs,2,LightGBM,2512,2638.9736842105262
ZOTUs,2,LightGBM,2230,2638.9736842105262
ZOTUs,2,LightGBM,2663,2638.9736842105262
ZOTUs,3,LightGBM,1677,2625.846153846154
ZOTUs,3,LightGBM,4286,2625.846153846154
ZOTUs,3,LightGBM,2855,2625.846153846154
ZOTUs,3,LightGBM,5812,2625.846153846154
ZOTUs,3,LightGBM,2825,2625.846153846154
ZOTUs,3,LightGBM,3248,2625.846153846154
ZOTUs,3,LightGBM,1028,2625.846153846154
ZOTUs,3,LightGBM,2688,2625.846153846154
ZOTUs,3,LightGBM,831,2625.846153846154
