Target,Model,Feature,MeanAbsSHAP
Monothalamida,LightGBM,Major_PC1,0.0
Monothalamida,LightGBM,Major_PC2,0.0
Monothalamida,LightGBM,Organic_PC1,0.0
Monothalamida,LightGBM,Organic_PC2,0.0
Monothalamida,LightGBM,Sediment_PC1,0.0
Monothalamida,LightGBM,Sediment_PC2,0.0
Monothalamida,LightGBM,Trace_PC1,0.0
Monothalamida,LightGBM,Trace_PC2,0.0
Monothalamida,RF,Major_PC1,3146.6033531269372
Monothalamida,RF,Major_PC2,2157.3754772861007
Monothalamida,RF,Organic_PC1,550.823966514961
Monothalamida,RF,Organic_PC2,1239.4014827015894
Monothalamida,RF,Sediment_PC1,2428.3799869050044
Monothalamida,RF,Sediment_PC2,484.22876153700645
Monothalamida,RF,Trace_PC1,2045.252733754786
Monothalamida,RF,Trace_PC2,2654.777824696927
Monothalamida,XGBoost,Major_PC1,4139.008605957031
Monothalamida,XGBoost,Major_PC2,1124.3164794921875
Monothalamida,XGBoost,Organic_PC1,1301.4784423828125
Monothalamida,XGBoost,Organic_PC2,698.8294509887695
Monothalamida,XGBoost,Sediment_PC1,4273.977270507812
Monothalamida,XGBoost,Sediment_PC2,1793.7221557617188
Monothalamida,XGBoost,Trace_PC1,2081.5175018310547
Monothalamida,XGBoost,Trace_PC2,5131.480310058594
ZOTUs,LightGBM,Major_PC1,0.0
ZOTUs,LightGBM,Major_PC2,0.0
ZOTUs,LightGBM,Organic_PC1,0.0
ZOTUs,LightGBM,Organic_PC2,0.0
ZOTUs,LightGBM,Sediment_PC1,0.0
ZOTUs,LightGBM,Sediment_PC2,0.0
ZOTUs,LightGBM,Trace_PC1,0.0
ZOTUs,LightGBM,Trace_PC2,0.0
ZOTUs,RF,Major_PC1,150.76679284912643
ZOTUs,RF,Major_PC2,127.28504810156588
ZOTUs,RF,Organic_PC1,88.26409628232109
ZOTUs,RF,Organic_PC2,89.03743541456353
ZOTUs,RF,Sediment_PC1,72.62195214261915
ZOTUs,RF,Sediment_PC2,18.140673449210066
ZOTUs,RF,Trace_PC1,69.800653828994
ZOTUs,RF,Trace_PC2,96.87086247003232
ZOTUs,XGBoost,Major_PC1,237.98190002441407
ZOTUs,XGBoost,Major_PC2,310.7071197509766
ZOTUs,XGBoost,Organic_PC1,139.60932807922364
ZOTUs,XGBoost,Organic_PC2,150.46685409545898
ZOTUs,XGBoost,Sediment_PC1,169.7141082763672
ZOTUs,XGBoost,Sediment_PC2,69.60307235717774
ZOTUs,XGBoost,Trace_PC1,197.32522621154786
ZOTUs,XGBoost,Trace_PC2,119.65142440795898
reads,LightGBM,Major_PC1,0.0
reads,LightGBM,Major_PC2,0.0
reads,LightGBM,Organic_PC1,0.0
reads,LightGBM,Organic_PC2,0.0
reads,LightGBM,Sediment_PC1,0.0
reads,LightGBM,Sediment_PC2,0.0
reads,LightGBM,Trace_PC1,0.0
reads,LightGBM,Trace_PC2,0.0
reads,RF,Major_PC1,11298.05549069196
reads,RF,Major_PC2,8324.005548829064
reads,RF,Organic_PC1,2924.2135869351378
reads,RF,Organic_PC2,5106.669441844991
reads,RF,Sediment_PC1,7882.320999942191
reads,RF,Sediment_PC2,1595.0367233137843
reads,RF,Trace_PC1,7326.55361275215
reads,RF,Trace_PC2,6251.996894423434
reads,XGBoost,Major_PC1,17822.109619140625
reads,XGBoost,Major_PC2,5465.815478515625
reads,XGBoost,Organic_PC1,5766.3677734375
reads,XGBoost,Organic_PC2,3451.30498046875
reads,XGBoost,Sediment_PC1,13016.407861328125
reads,XGBoost,Sediment_PC2,5844.613452148437
reads,XGBoost,Trace_PC1,9457.79990234375
reads,XGBoost,Trace_PC2,13546.864233398437
