Target,Fold,BestLam,CV_R2,EDOF
reads,0,0.1,-3.647595271353457,13.347450930861095
reads,1,0.1,-0.5356670608187226,13.21246833798556
reads,2,0.1,-2.6401047685016397,14.181632673822111
reads,3,0.1,-3.560848621885873,12.97135308296016
reads,4,0.1,-10.110929048927858,12.85406463891785
ZOTUs,0,0.1,-0.17476144018032014,13.347450930861095
ZOTUs,1,0.1,-0.6503711377461489,13.21246833798556
ZOTUs,2,0.1,-0.28220521695642303,14.181632673822111
ZOTUs,3,0.1,-0.3438565957453031,12.97135308296016
ZOTUs,4,0.1,-0.09175926560780137,12.85406463891785
Monothalamida,0,0.1,-4.445620658382611,13.347450930861095
Monothalamida,1,0.1,-0.5527120459000294,13.21246833798556
Monothalamida,2,0.1,-1.6720140130288588,14.181632673822111
Monothalamida,3,0.1,-2.093269807504455,12.97135308296016
Monothalamida,4,0.1,-4.044064779363608,12.85406463891785
