,,alpha,alpha,Fold,Fold,max_depth,max_depth,min_samples_leaf,min_samples_leaf,min_samples_split,min_samples_split,n_estimators,n_estimators,learning_rate,learning_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,Target,,,,,,,,,,,,,,
LightGBM,Monothalamida,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,ZOTUs,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,reads,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
RF,Monothalamida,,,2.0,1.5811388300841898,3.4,0.8944271909999159,1.2,0.4472135954999579,3.2,1.6431676725154984,320.0,164.31676725154983,,
RF,ZOTUs,,,2.0,1.5811388300841898,3.0,0.0,1.2,0.4472135954999579,3.8,1.6431676725154984,380.0,164.31676725154983,,
RF,reads,,,2.0,1.5811388300841898,3.8,1.0954451150103324,1.2,0.4472135954999579,3.2,1.6431676725154984,320.0,164.31676725154983,,
Ridge,Monothalamida,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,ZOTUs,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,reads,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
XGBoost,Monothalamida,,,2.0,1.5811388300841898,3.4,0.8944271909999159,,,,,320.0,164.31676725154983,0.08,0.027386127875258306
XGBoost,ZOTUs,,,2.0,1.5811388300841898,4.2,1.0954451150103321,,,,,200.0,0.0,0.09,0.022360679774997897
XGBoost,reads,,,2.0,1.5811388300841898,3.8,1.0954451150103324,,,,,200.0,0.0,0.08,0.02738612787525831
