Target,Model,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd
Monothalamida,GAM,-2.876659699710914,5.253089065684845,27695.653816557955,13650.5671853205,18723.752406734413,8617.21929284816
Monothalamida,LightGBM,-1.4274105422655123,2.326732412933475,25294.213251599653,12855.775883860784,16553.303394811817,5299.214362893821
Monothalamida,Linear,-7.372094440622537,11.379513943294084,31528.328671699517,8392.71297025496,22351.96260583713,5059.949170629533
Monothalamida,RF,-2.0859546379073772,4.538074082676739,26825.312481752266,15243.772751647157,16642.78870918408,8635.333235581717
Monothalamida,Ridge,-2.365487711469648,3.5736005932613706,26413.70616235169,11480.094366810437,16821.738324469712,5035.262115113413
Monothalamida,XGBoost,-0.39152097702026367,0.14586059215062702,25853.676565516256,17342.4502268075,14775.349186197916,8426.416483285602
ZOTUs,GAM,-0.6898011392295287,0.8619550312873572,1557.6217436940701,363.1772692096123,1205.5848831455278,281.9626988463074
ZOTUs,LightGBM,-0.3224259026200791,0.6312010012314578,1410.3000667501599,416.37055869527353,1015.1952586594691,128.03543789643803
ZOTUs,Linear,-1.0779086901065615,1.136625407284736,1685.6621968243285,225.03652986876963,1310.544470209169,105.8937514909703
ZOTUs,RF,-0.7613939769468765,0.9318414380433406,1605.5345589119904,407.4364168524566,1187.0879886654047,175.50356105689346
ZOTUs,Ridge,-0.5191146794949622,0.6005432831322681,1506.9224522431352,378.5545465422678,1074.4021798541164,137.67362211172198
ZOTUs,XGBoost,-1.3070075750350951,0.7934756486140672,1862.191623388941,405.4613616286872,1390.4505650499134,245.72489235518094
reads,GAM,-1.7468629030000464,2.722901905225726,100526.87262660367,51936.224250794556,68351.24380502696,29628.51756222495
reads,LightGBM,-0.9787488958874914,1.358778730538043,94943.13834063355,54372.311227860286,60482.209158794416,18987.717166476054
reads,Linear,-5.305512644148576,7.1151396350147085,118220.68585487858,39921.5845656742,83178.78189883093,18126.956149127353
reads,RF,-1.252429541511201,2.528687852215985,100091.63500412837,59418.170536081576,60318.52861082298,27354.256936465114
reads,Ridge,-1.7963399321459008,2.4357355503560094,99420.19043610388,50172.01756418456,62443.18500576589,19067.10702358958
reads,XGBoost,-0.5264266014099122,0.5247131924479311,98590.80576890588,65165.06910586414,56899.94945095487,30685.828564016632
