Target,Fold,Model,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
reads,0,Linear,-14.438392886043175,0.43560411780035513,103520.31518641743,87205.60265925004,88000.04076086274,61878.16755690544
reads,0,Ridge,-4.410463183557292,0.2866606769978717,61283.24651360037,98039.37910109373,49114.58938794013,64092.21318388225
reads,0,RF,-5.764129727054185,0.7067758035774176,68522.07489838416,62856.815095966704,47818.30531638624,40923.48323555153
reads,0,XGBoost,-0.14737212657928467,0.9991899132728577,28221.277780247965,3303.8726840245154,23227.7140625,2483.9410721628287
reads,0,LightGBM,-3.014164323357706,0.0,52786.40852320876,116078.68231544211,46370.15789473684,71955.99307479225
reads,0,GAM,-6.3427006842446,0.6540762716123838,71392.47755966897,68272.00323196767,60980.581513540725,47440.255875832554
reads,1,Linear,-0.22374438014641296,0.2756776677782492,186654.80615249785,65962.39046997715,110607.45556321365,46389.98351996794
reads,1,Ridge,-0.1452127151497138,0.14991799401208927,180566.38460374062,71459.64592355251,94408.58457507046,41070.610453574256
reads,1,RF,-0.1357216495233513,0.688189938198364,179816.59684435336,43278.82994099305,83370.25258409363,25919.837463874203
reads,1,XGBoost,-0.1575465202331543,0.9996798634529114,181536.12539399887,1386.7536029866233,82436.7625,1082.4830386513158
reads,1,LightGBM,-0.1000908590024252,0.0,176973.44287308803,77505.12986321785,86118.72105263158,44638.16066481994
reads,1,GAM,-0.14692662139775114,0.3799866185049121,180701.4504080561,61028.25885945035,115715.47273120692,43995.8388419786
reads,2,Linear,-0.14730912068588542,0.4524033228989762,114740.66439561188,77809.69106676307,74235.50500842181,55097.541286210144
reads,2,Ridge,0.035412626930893976,0.34098196259574454,105207.79620573793,85359.51516784933,58218.86024655316,51306.819349604164
reads,2,RF,-0.2943539507939281,0.8582586707821189,121871.9230639963,39586.904147694295,78560.06118984788,26178.426080992303
reads,2,XGBoost,-0.45078277587890625,1.0,129026.32648548558,6.894444915699601,79618.84404296875,5.499357524671052
reads,2,LightGBM,-0.007049248994584367,0.0,107498.52176525672,105148.55019845617,65671.77368421054,57273.96121883656
reads,2,GAM,0.01748212271695082,0.6985720653467673,106181.13611661045,57729.13336356711,65693.25098171241,40441.251116394276
reads,3,Linear,-0.11244687330987979,0.3550535540181592,103113.12292805537,86099.76643574743,81199.83212082197,52074.67540330874
