Target,Fold,Model,Observed,Predicted,Residual
Monothalamida,0,XGBoost,12388,19022.142578125,-6634.142578125
Monothalamida,0,XGBoost,6726,14422.2939453125,-7696.2939453125
Monothalamida,0,XGBoost,9934,15615.7041015625,-5681.7041015625
Monothalamida,0,XGBoost,24333,26900.955078125,-2567.955078125
Monothalamida,0,XGBoost,13377,12455.296875,921.703125
Monothalamida,0,XGBoost,13599,16393.33984375,-2794.33984375
Monothalamida,0,XGBoost,10175,21607.666015625,-11432.666015625
Monothalamida,0,XGBoost,13387,19172.23828125,-5785.23828125
Monothalamida,0,XGBoost,2512,14243.6884765625,-11731.6884765625
Monothalamida,0,XGBoost,10000,8758.494140625,1241.505859375
Monothalamida,1,XGBoost,14729,14058.0830078125,670.9169921875
Monothalamida,1,XGBoost,135946,13897.765625,122048.234375
Monothalamida,1,XGBoost,62644,10113.57421875,52530.42578125
Monothalamida,1,XGBoost,11259,14280.7802734375,-3021.7802734375
Monothalamida,1,XGBoost,11287,14677.9248046875,-3390.9248046875
Monothalamida,1,XGBoost,3538,13228.3876953125,-9690.3876953125
Monothalamida,1,XGBoost,16275,13923.2294921875,2351.7705078125
Monothalamida,1,XGBoost,15066,11223.125,3842.875
Monothalamida,1,XGBoost,11208,15203.7685546875,-3995.7685546875
Monothalamida,1,XGBoost,11946,12096.103515625,-150.103515625
Monothalamida,2,XGBoost,8734,14161.91796875,-5427.91796875
Monothalamida,2,XGBoost,10581,13823.0205078125,-3242.0205078125
Monothalamida,2,XGBoost,9710,39767.359375,-30057.359375
Monothalamida,2,XGBoost,119586,7959.56298828125,111626.43701171875
Monothalamida,2,XGBoost,17101,7021.11279296875,10079.88720703125
Monothalamida,2,XGBoost,34035,9485.4990234375,24549.5009765625
Monothalamida,2,XGBoost,12983,13887.5751953125,-904.5751953125
Monothalamida,2,XGBoost,14756,13359.0595703125,1396.9404296875
Monothalamida,2,XGBoost,9962,38385.5703125,-28423.5703125
Monothalamida,2,XGBoost,12825,8622.57421875,4202.42578125
Monothalamida,3,XGBoost,8045,18288.44921875,-10243.44921875
Monothalamida,3,XGBoost,67829,13266.81640625,54562.18359375
Monothalamida,3,XGBoost,16492,9252.6396484375,7239.3603515625
Monothalamida,3,XGBoost,91943,7950.7724609375,83992.2275390625
Monothalamida,3,XGBoost,14040,12500.091796875,1539.908203125
Monothalamida,3,XGBoost,16524,19904.16015625,-3380.16015625
Monothalamida,3,XGBoost,6045,22127.771484375,-16082.771484375
Monothalamida,3,XGBoost,13963,14134.0283203125,-171.0283203125
Monothalamida,3,XGBoost,1328,9219.2529296875,-7891.2529296875
Monothalamida,4,XGBoost,30574,14793.4541015625,15780.5458984375
Monothalamida,4,XGBoost,9899,14509.15625,-4610.15625
Monothalamida,4,XGBoost,11065,8942.2021484375,2122.7978515625
Monothalamida,4,XGBoost,20143,16983.43359375,3159.56640625
Monothalamida,4,XGBoost,12414,14055.8583984375,-1641.8583984375
Monothalamida,4,XGBoost,10643,23700.572265625,-13057.572265625
Monothalamida,4,XGBoost,15791,16690.46875,-899.46875
Monothalamida,4,XGBoost,10845,12506.662109375,-1661.662109375
Monothalamida,4,XGBoost,14004,7431.2099609375,6572.7900390625
ZOTUs,0,LightGBM,1989,2842.9210526315787,-853.9210526315787
ZOTUs,0,LightGBM,1344,2842.9210526315787,-1498.9210526315787
ZOTUs,0,LightGBM,1674,2842.9210526315787,-1168.9210526315787
ZOTUs,0,LightGBM,2950,2842.9210526315787,107.07894736842127
ZOTUs,0,LightGBM,2449,2842.9210526315787,-393.92105263157873
ZOTUs,0,LightGBM,3267,2842.9210526315787,424.07894736842127
ZOTUs,0,LightGBM,1244,2842.9210526315787,-1598.9210526315787
ZOTUs,0,LightGBM,1539,2842.9210526315787,-1303.9210526315787
ZOTUs,0,LightGBM,881,2842.9210526315787,-1961.9210526315787
ZOTUs,0,LightGBM,2290,2842.9210526315787,-552.9210526315787
ZOTUs,1,LightGBM,2275,2511.0526315789475,-236.0526315789475
ZOTUs,1,LightGBM,8550,2511.0526315789475,6038.9473684210525
ZOTUs,1,LightGBM,4392,2511.0526315789475,1880.9473684210525
ZOTUs,1,LightGBM,2497,2511.0526315789475,-14.052631578947512
ZOTUs,1,LightGBM,1811,2511.0526315789475,-700.0526315789475
ZOTUs,1,LightGBM,1465,2511.0526315789475,-1046.0526315789475
ZOTUs,1,LightGBM,2544,2511.0526315789475,32.94736842105249
ZOTUs,1,LightGBM,2646,2511.0526315789475,134.9473684210525
ZOTUs,1,LightGBM,2326,2511.0526315789475,-185.0526315789475
ZOTUs,1,LightGBM,3732,2511.0526315789475,1220.9473684210525
ZOTUs,2,LightGBM,1726,2638.9736842105262,-912.9736842105262
ZOTUs,2,LightGBM,1700,2638.9736842105262,-938.9736842105262
