Target,Fold,Group,PC,Variable,Loading
reads,0,Sediment,PC1,Grain Size,0.43135468841072366
reads,0,Sediment,PC1,Sorting,0.47599261332137854
reads,0,Sediment,PC1,Skewness,-0.3832982839852522
reads,0,Sediment,PC1,Kurtosis,-0.4423997232542095
reads,0,Sediment,PC1,Clay Content,-0.08313354607709722
reads,0,Sediment,PC1,Silt Content,-0.29174101794316104
reads,0,Sediment,PC1,Sand Content,0.39077495719949495
reads,0,Sediment,PC2,Grain Size,-0.3060963531704898
reads,0,Sediment,PC2,Sorting,0.04238010431959301
reads,0,Sediment,PC2,Skewness,-0.21430592102645946
reads,0,Sediment,PC2,Kurtosis,-0.2073154234581575
reads,0,Sediment,PC2,Clay Content,0.7300453337098654
reads,0,Sediment,PC2,Silt Content,-0.4244026265573875
reads,0,Sediment,PC2,Sand Content,-0.3201850371934878
reads,0,Major,PC1,Na2O,0.23638927981548483
reads,0,Major,PC1,MgO,0.3774064107501471
reads,0,Major,PC1,Al2O3,0.48137015575215897
reads,0,Major,PC1,SiO2,-0.349063627004398
reads,0,Major,PC1,K2O,0.48268108914717195
reads,0,Major,PC1,CaO,-0.1405425156876111
reads,0,Major,PC1,Fe2O3,0.4420278661245024
reads,0,Major,PC2,Na2O,0.6705952119612505
reads,0,Major,PC2,MgO,-0.39291938071137256
reads,0,Major,PC2,Al2O3,-0.09733501371554648
reads,0,Major,PC2,SiO2,-0.5093599208792634
reads,0,Major,PC2,K2O,-0.20589588878150877
reads,0,Major,PC2,CaO,-0.2362516964560404
reads,0,Major,PC2,Fe2O3,-0.16966675268719467
reads,0,Trace,PC1,Sc,-0.06527347793291423
reads,0,Trace,PC1,Ti,-0.37463003771189896
reads,0,Trace,PC1,V,-0.3430011635504069
reads,0,Trace,PC1,Cr,-0.37169090765083895
reads,0,Trace,PC1,Mn,0.4219840348457735
reads,0,Trace,PC1,Co,0.14319568838520705
reads,0,Trace,PC1,Ni,0.44379696701915566
reads,0,Trace,PC1,Cu,0.38042747764576323
reads,0,Trace,PC1,Zn,0.0739409087701276
reads,0,Trace,PC1,Ga,0.053901365471262036
reads,0,Trace,PC1,As,-0.05120431937781892
reads,0,Trace,PC1,Rb,-0.21985662797097605
reads,0,Trace,PC2,Sc,0.3146047968817979
reads,0,Trace,PC2,Ti,0.33044436757765605
reads,0,Trace,PC2,V,0.3311721361312011
reads,0,Trace,PC2,Cr,0.2058381544650192
reads,0,Trace,PC2,Mn,0.14030668329954674
reads,0,Trace,PC2,Co,0.4333153094391887
reads,0,Trace,PC2,Ni,0.10020574408798824
reads,0,Trace,PC2,Cu,0.22140041136355526
reads,0,Trace,PC2,Zn,0.5066051337336962
reads,0,Trace,PC2,Ga,0.2902594600186788
reads,0,Trace,PC2,As,-0.14284742930739214
reads,0,Trace,PC2,Rb,-0.10942509923878382
reads,0,Organic,PC1,Chlorophyll a,-0.24914545975548646
reads,0,Organic,PC1,Depth,-0.025392654929511704
reads,0,Organic,PC1,N,0.5728122847285602
reads,0,Organic,PC1,C,0.5671501484976342
reads,0,Organic,PC1,S1,0.5269163876809253
reads,0,Organic,PC1,P,-0.08242660171557037
reads,0,Organic,PC1,S2,-0.0037243098129188246
reads,0,Organic,PC1,Cl,-0.05531413672238261
reads,0,Organic,PC2,Chlorophyll a,0.13637928264036298
reads,0,Organic,PC2,Depth,-0.34850156908430463
reads,0,Organic,PC2,N,-0.06202199782730801
reads,0,Organic,PC2,C,-0.02618844576888882
reads,0,Organic,PC2,S1,0.15784379563693665
reads,0,Organic,PC2,P,-0.3151639082037442
reads,0,Organic,PC2,S2,0.6418838528995334
reads,0,Organic,PC2,Cl,0.5649397766466044
reads,1,Sediment,PC1,Grain Size,0.3752063815817817
reads,1,Sediment,PC1,Sorting,0.47225590393882555
reads,1,Sediment,PC1,Skewness,-0.39262642071911774
reads,1,Sediment,PC1,Kurtosis,-0.4526197557607777
reads,1,Sediment,PC1,Clay Content,0.09991330560565725
reads,1,Sediment,PC1,Silt Content,-0.38511353280419525
reads,1,Sediment,PC1,Sand Content,0.3447887484788332
reads,1,Sediment,PC2,Grain Size,-0.44005400915668597
reads,1,Sediment,PC2,Sorting,-0.024793162979754535
reads,1,Sediment,PC2,Skewness,-0.2093156653864791
reads,1,Sediment,PC2,Kurtosis,-0.19398235011235232
reads,1,Sediment,PC2,Clay Content,0.6729156591692225
reads,1,Sediment,PC2,Silt Content,-0.2516414518067208
reads,1,Sediment,PC2,Sand Content,-0.45624189147945043
reads,1,Major,PC1,Na2O,0.2581481601417942
reads,1,Major,PC1,MgO,0.35229930036913976
reads,1,Major,PC1,Al2O3,0.48200556638533315
reads,1,Major,PC1,SiO2,-0.3686925553250503
reads,1,Major,PC1,K2O,0.476058036149961
reads,1,Major,PC1,CaO,-0.12207197069016212
reads,1,Major,PC1,Fe2O3,0.44659639965535236
reads,1,Major,PC2,Na2O,0.6284899118515808
reads,1,Major,PC2,MgO,-0.5402210212780189
reads,1,Major,PC2,Al2O3,-0.020835072701980595
reads,1,Major,PC2,SiO2,-0.2680351750793138
reads,1,Major,PC2,K2O,-0.1620288976969957
reads,1,Major,PC2,CaO,-0.4549338396066249
reads,1,Major,PC2,Fe2O3,-0.08755890261818738
reads,1,Trace,PC1,Sc,-0.06780758703128749
reads,1,Trace,PC1,Ti,-0.35083570786414886
reads,1,Trace,PC1,V,-0.3177758025848759
reads,1,Trace,PC1,Cr,-0.3708844301186879
reads,1,Trace,PC1,Mn,0.42550921586889434
reads,1,Trace,PC1,Co,0.21090793562521537
reads,1,Trace,PC1,Ni,0.4423180334320727
reads,1,Trace,PC1,Cu,0.3844653015441727
reads,1,Trace,PC1,Zn,0.10434545890389782
reads,1,Trace,PC1,Ga,0.057398961813967336
reads,1,Trace,PC1,As,-0.03669234147956296
reads,1,Trace,PC1,Rb,-0.2219272664441494
reads,1,Trace,PC2,Sc,0.310153394289865
reads,1,Trace,PC2,Ti,0.33202166853631854
reads,1,Trace,PC2,V,0.3525118787933048
reads,1,Trace,PC2,Cr,0.18841939848112405
reads,1,Trace,PC2,Mn,0.08055641109870021
reads,1,Trace,PC2,Co,0.37770956913909937
reads,1,Trace,PC2,Ni,0.04821946491591378
reads,1,Trace,PC2,Cu,0.17052517336933187
reads,1,Trace,PC2,Zn,0.4698892875660945
reads,1,Trace,PC2,Ga,0.3728815745952473
reads,1,Trace,PC2,As,-0.25011858197217546
reads,1,Trace,PC2,Rb,-0.17563105474523044
reads,1,Organic,PC1,Chlorophyll a,-0.25214562788675715
