Target,Fold,Group,PC,ExplainedVarianceRatio
reads,0,Sediment,PC1,0.6079485491620208
reads,0,Sediment,PC2,0.251739112752003
reads,0,Major,PC1,0.5350120711480385
reads,0,Major,PC2,0.2242481817676921
reads,0,Trace,PC1,0.36758614847184884
reads,0,Trace,PC2,0.2446312414932683
reads,0,Organic,PC1,0.352241529480272
reads,0,Organic,PC2,0.21460662987001658
reads,1,Sediment,PC1,0.6166697238849834
reads,1,Sediment,PC2,0.2788853938050526
reads,1,Major,PC1,0.5399941571749126
reads,1,Major,PC2,0.2056217161841377
reads,1,Trace,PC1,0.37987256771460476
reads,1,Trace,PC2,0.26297549831042377
reads,1,Organic,PC1,0.3866711237265262
reads,1,Organic,PC2,0.20157491482526702
reads,2,Sediment,PC1,0.606046883364377
reads,2,Sediment,PC2,0.33488904231829264
reads,2,Major,PC1,0.4984972548629905
reads,2,Major,PC2,0.24038998510052514
reads,2,Trace,PC1,0.4403229273337854
reads,2,Trace,PC2,0.22812462061236666
reads,2,Organic,PC1,0.3573020246001942
reads,2,Organic,PC2,0.18741846339411955
reads,3,Sediment,PC1,0.6108369241501828
reads,3,Sediment,PC2,0.2801689004218488
reads,3,Major,PC1,0.5202710838569539
reads,3,Major,PC2,0.24169111848949915
reads,3,Trace,PC1,0.36685655847233667
reads,3,Trace,PC2,0.23618555836116448
reads,3,Organic,PC1,0.3704224230394601
reads,3,Organic,PC2,0.19860221865708458
reads,4,Sediment,PC1,0.614293404844795
reads,4,Sediment,PC2,0.2796277462811446
reads,4,Major,PC1,0.4739701990453723
reads,4,Major,PC2,0.2809918502640863
reads,4,Trace,PC1,0.3153561889702463
reads,4,Trace,PC2,0.2654630816562316
reads,4,Organic,PC1,0.3600710052774832
reads,4,Organic,PC2,0.2177951108549333
ZOTUs,0,Sediment,PC1,0.6079485491620208
ZOTUs,0,Sediment,PC2,0.251739112752003
ZOTUs,0,Major,PC1,0.5350120711480385
ZOTUs,0,Major,PC2,0.2242481817676921
ZOTUs,0,Trace,PC1,0.36758614847184884
ZOTUs,0,Trace,PC2,0.2446312414932683
ZOTUs,0,Organic,PC1,0.352241529480272
ZOTUs,0,Organic,PC2,0.21460662987001658
ZOTUs,1,Sediment,PC1,0.6166697238849834
ZOTUs,1,Sediment,PC2,0.2788853938050526
ZOTUs,1,Major,PC1,0.5399941571749126
ZOTUs,1,Major,PC2,0.2056217161841377
