Target,Fold,Model,Observed,Predicted
reads,0,Linear,60794,-39567.94858880322
reads,0,Linear,25403,17705.918089672326
reads,0,Linear,31923,191260.4340274763
reads,0,Linear,103466,147784.3704407091
reads,0,Linear,60337,64725.341367493354
reads,0,Linear,63232,239229.12154210446
reads,0,Linear,53179,129283.78495234449
reads,0,Linear,86438,203591.09099589824
reads,0,Linear,9716,117677.2763780063
reads,0,Linear,51314,-35366.9574054643
reads,0,Ridge,60794,40193.02852673677
reads,0,Ridge,25403,68636.7687154878
reads,0,Ridge,31923,138360.18588896425
reads,0,Ridge,103466,106860.0740893447
reads,0,Ridge,60337,86034.61526512739
reads,0,Ridge,63232,153041.33912544028
reads,0,Ridge,53179,96673.06854223741
reads,0,Ridge,86438,135274.6854055114
reads,0,Ridge,9716,114079.32164162312
reads,0,Ridge,51314,46035.13626759828
reads,0,RF,60794,77819.38669724249
reads,0,RF,25403,128834.73382599193
reads,0,RF,31923,77353.9062615472
reads,0,RF,103466,98336.88032657307
reads,0,RF,60337,58373.22605311285
reads,0,RF,63232,147464.63864624637
reads,0,RF,53179,200844.3581524622
reads,0,RF,86438,86043.18714503931
reads,0,RF,9716,80173.54835834554
reads,0,RF,51314,53765.77474675194
reads,0,XGBoost,60794,87293.265625
reads,0,XGBoost,25403,64480.89453125
reads,0,XGBoost,31923,64080.921875
reads,0,XGBoost,103466,126900.984375
reads,0,XGBoost,60337,57237.05078125
reads,0,XGBoost,63232,65920.5625
reads,0,XGBoost,53179,89401.171875
reads,0,XGBoost,86438,89831.4140625
reads,0,XGBoost,9716,60636.0
reads,0,XGBoost,51314,36531.0234375
reads,0,LightGBM,60794,100321.44736842105
reads,0,LightGBM,25403,100321.44736842105
reads,0,LightGBM,31923,100321.44736842105
reads,0,LightGBM,103466,100321.44736842105
reads,0,LightGBM,60337,100321.44736842105
reads,0,LightGBM,63232,100321.44736842105
reads,0,LightGBM,53179,100321.44736842105
reads,0,LightGBM,86438,100321.44736842105
reads,0,LightGBM,9716,100321.44736842105
reads,0,LightGBM,51314,100321.44736842105
reads,0,GAM,60794,3871.123750974948
reads,0,GAM,25403,92093.65533485683
reads,0,GAM,31923,84740.03174442594
reads,0,GAM,103466,140954.40802465967
reads,0,GAM,60337,62214.76550908702
reads,0,GAM,63232,153362.1233354375
reads,0,GAM,53179,176177.57946207
reads,0,GAM,86438,89575.18083511443
reads,0,GAM,9716,95108.92059531451
reads,0,GAM,51314,-41036.2740454163
reads,1,Linear,65715,22979.459013824526
reads,1,Linear,609524,82961.63823470697
reads,1,Linear,247319,47216.89779942493
reads,1,Linear,72088,110219.75671768651
reads,1,Linear,44858,153377.56835795546
reads,1,Linear,43948,152956.48871065432
reads,1,Linear,71027,63818.58751014112
reads,1,Linear,65736,129067.7917951126
reads,1,Linear,46956,56313.6318650699
reads,1,Linear,63353,62236.09925624498
reads,1,Ridge,65715,72334.76413675268
reads,1,Ridge,609524,74983.62961036358
reads,1,Ridge,247319,74431.84395147068
reads,1,Ridge,72088,96819.95465649517
reads,1,Ridge,44858,109761.06665155952
reads,1,Ridge,43948,102456.43965973618
reads,1,Ridge,71027,61296.37135895649
reads,1,Ridge,65736,100166.18491353386
reads,1,Ridge,46956,74057.79332866185
reads,1,Ridge,63353,73985.48732475622
reads,1,RF,65715,62428.47391646266
reads,1,RF,609524,67076.3442681367
reads,1,RF,247319,90528.13364855979
reads,1,RF,72088,80582.11219101204
reads,1,RF,44858,91766.75061539214
reads,1,RF,43948,87000.001660896
reads,1,RF,71027,62187.58524662593
reads,1,RF,65736,73835.02585991146
reads,1,RF,46956,61992.78973381685
reads,1,RF,63353,64100.38285969275
reads,1,XGBoost,65715,65336.6640625
reads,1,XGBoost,609524,65670.1171875
reads,1,XGBoost,247319,68269.84375
reads,1,XGBoost,72088,53970.76953125
reads,1,XGBoost,44858,53575.046875
reads,1,XGBoost,43948,69300.78125
reads,1,XGBoost,71027,58147.80078125
reads,1,XGBoost,65736,60251.19921875
reads,1,XGBoost,46956,64311.49609375
reads,1,XGBoost,63353,50173.3046875
reads,1,LightGBM,65715,79670.86842105263
reads,1,LightGBM,609524,79670.86842105263
reads,1,LightGBM,247319,79670.86842105263
reads,1,LightGBM,72088,79670.86842105263
reads,1,LightGBM,44858,79670.86842105263
reads,1,LightGBM,43948,79670.86842105263
reads,1,LightGBM,71027,79670.86842105263
reads,1,LightGBM,65736,79670.86842105263
reads,1,LightGBM,46956,79670.86842105263
reads,1,LightGBM,63353,79670.86842105263
reads,1,GAM,65715,29157.45376676079
reads,1,GAM,609524,106925.51174277606
reads,1,GAM,247319,63696.838647472105
reads,1,GAM,72088,125634.18520773908
reads,1,GAM,44858,175251.95242196167
reads,1,GAM,43948,154555.06983849755
reads,1,GAM,71027,95760.94176008506
reads,1,GAM,65736,138150.10693929807
reads,1,GAM,46956,67511.77948952992
reads,1,GAM,63353,41227.50418803323
reads,2,Linear,46414,157445.9336544554
reads,2,Linear,52170,50055.48318457537
reads,2,Linear,46733,-11626.190934149621
reads,2,Linear,408549,93185.59380438777
reads,2,Linear,60525,101837.13813264473
reads,2,Linear,142616,59378.447000390806
reads,2,Linear,49853,67683.09093655083
reads,2,Linear,63092,77059.94993602755
reads,2,Linear,44130,128335.59696545149
reads,2,Linear,65040,79972.6735142926
reads,2,Ridge,46414,113218.67443908245
reads,2,Ridge,52170,65644.98916273128
reads,2,Ridge,46733,41905.77843929318
reads,2,Ridge,408549,94015.2136410643
reads,2,Ridge,60525,101075.24807952056
reads,2,Ridge,142616,84048.93388802293
reads,2,Ridge,49853,83603.61131327
reads,2,Ridge,63092,85295.64703230422
reads,2,Ridge,44130,56535.054666261334
reads,2,Ridge,65040,80111.30374074227
reads,2,RF,46414,100331.95307292609
reads,2,RF,52170,69465.76311209168
reads,2,RF,46733,79290.55202619541
reads,2,RF,408549,92041.40631076622
reads,2,RF,60525,93218.53011964
reads,2,RF,142616,63448.5474695251
reads,2,RF,49853,89470.27110430892
reads,2,RF,63092,87713.19379254257
reads,2,RF,44130,230036.53033439757
reads,2,RF,65040,68355.77211666793
reads,2,XGBoost,46414,49151.48046875
reads,2,XGBoost,52170,74753.625
reads,2,XGBoost,46733,161759.71875
reads,2,XGBoost,408549,51271.34375
reads,2,XGBoost,60525,46004.203125
reads,2,XGBoost,142616,47512.796875
reads,2,XGBoost,49853,71032.3046875
reads,2,XGBoost,63092,65809.75
reads,2,XGBoost,44130,156240.71875
reads,2,XGBoost,65040,12108.8134765625
reads,2,LightGBM,46414,88918.28947368421
reads,2,LightGBM,52170,88918.28947368421
reads,2,LightGBM,46733,88918.28947368421
reads,2,LightGBM,408549,88918.28947368421
reads,2,LightGBM,60525,88918.28947368421
reads,2,LightGBM,142616,88918.28947368421
reads,2,LightGBM,49853,88918.28947368421
reads,2,LightGBM,63092,88918.28947368421
reads,2,LightGBM,44130,88918.28947368421
reads,2,LightGBM,65040,88918.28947368421
reads,2,GAM,46414,73306.22889661958
reads,2,GAM,52170,49526.09811552294
reads,2,GAM,46733,55187.696352291474
reads,2,GAM,408549,104695.9534341226
reads,2,GAM,60525,91662.95246739649
reads,2,GAM,142616,63703.862727070504
reads,2,GAM,49853,92706.34192259179
reads,2,GAM,63092,20649.954717108994
reads,2,GAM,44130,132394.82685839094
reads,2,GAM,65040,96518.33231365884
reads,3,Linear,45571,-39002.63767297841
reads,3,Linear,192597,54924.48083648827
reads,3,Linear,64258,88145.2033264906
reads,3,Linear,342266,108463.23582829544
reads,3,Linear,66002,93269.17945595743
reads,3,Linear,83017,16860.38329810396
reads,3,Linear,45306,111086.57937526797
reads,3,Linear,68455,41363.88433724062
reads,3,Linear,4623,69189.8735568315
reads,3,Ridge,45571,27667.86631652258
reads,3,Ridge,192597,77950.19261979181
reads,3,Ridge,64258,79927.2812882807
reads,3,Ridge,342266,101458.4451504288
reads,3,Ridge,66002,85151.42071415068
reads,3,Ridge,83017,49192.14624039594
reads,3,Ridge,45306,109526.81271682735
reads,3,Ridge,68455,69133.59806788416
reads,3,Ridge,4623,68268.61288197247
reads,3,RF,45571,79699.58477133926
reads,3,RF,192597,59918.40651750244
reads,3,RF,64258,90063.5263048819
reads,3,RF,342266,67007.60506021524
reads,3,RF,66002,55030.67755215068
reads,3,RF,83017,80754.90913390103
reads,3,RF,45306,122016.31237783369
reads,3,RF,68455,124800.10185705937
reads,3,RF,4623,54965.275076960315
reads,3,XGBoost,45571,144293.578125
reads,3,XGBoost,192597,82251.9140625
reads,3,XGBoost,64258,37470.51171875
reads,3,XGBoost,342266,30792.48046875
reads,3,XGBoost,66002,53158.77734375
reads,3,XGBoost,83017,94480.3125
reads,3,XGBoost,45306,90586.4453125
reads,3,XGBoost,68455,54753.203125
reads,3,XGBoost,4623,55002.015625
reads,3,LightGBM,45571,88356.97435897436
reads,3,LightGBM,192597,88356.97435897436
reads,3,LightGBM,64258,88356.97435897436
reads,3,LightGBM,342266,88356.97435897436
reads,3,LightGBM,66002,88356.97435897436
reads,3,LightGBM,83017,88356.97435897436
reads,3,LightGBM,45306,88356.97435897436
reads,3,LightGBM,68455,88356.97435897436
reads,3,LightGBM,4623,88356.97435897436
reads,3,GAM,45571,59396.19053369767
reads,3,GAM,192597,45635.235266038915
reads,3,GAM,64258,66704.93479986727
reads,3,GAM,342266,86022.26717521003
reads,3,GAM,66002,23566.474714460943
reads,3,GAM,83017,95945.87378869572
reads,3,GAM,45306,110286.6556383698
reads,3,GAM,68455,51313.86068676101
reads,3,GAM,4623,38481.124422764624
reads,4,Linear,126543,-36408.739377400416
reads,4,Linear,46027,47499.913400888254
reads,4,Linear,54126,72800.78446342621
reads,4,Linear,72569,132301.62313484773
reads,4,Linear,56140,111603.01828581696
reads,4,Linear,49702,69131.02180697685
reads,4,Linear,61099,107935.08899560382
reads,4,Linear,50657,16015.112809226775
reads,4,Linear,73611,-83846.60771177713
reads,4,Ridge,126543,26349.551739077782
reads,4,Ridge,46027,92146.32602080464
reads,4,Ridge,54126,63364.444384571885
reads,4,Ridge,72569,102041.45764140935
reads,4,Ridge,56140,99409.31227841238
reads,4,Ridge,49702,95689.86808487044
reads,4,Ridge,61099,103653.91665898223
reads,4,Ridge,50657,68419.2270874097
reads,4,Ridge,73611,-15509.941614032025
reads,4,RF,126543,94331.57526213123
reads,4,RF,46027,70921.37199491657
reads,4,RF,54126,47581.9697045502
reads,4,RF,72569,99379.32841209979
reads,4,RF,56140,58988.578530937055
reads,4,RF,49702,74695.66120419542
reads,4,RF,61099,68932.32288650719
reads,4,RF,50657,56282.96646178162
reads,4,RF,73611,103943.32902602288
reads,4,XGBoost,126543,64853.60546875
reads,4,XGBoost,46027,81194.578125
reads,4,XGBoost,54126,41772.66796875
reads,4,XGBoost,72569,66237.328125
reads,4,XGBoost,56140,56310.2109375
reads,4,XGBoost,49702,130978.03125
reads,4,XGBoost,61099,64753.19921875
reads,4,XGBoost,50657,51974.9921875
reads,4,XGBoost,73611,63620.03515625
reads,4,LightGBM,126543,96603.66666666667
reads,4,LightGBM,46027,96603.66666666667
reads,4,LightGBM,54126,96603.66666666667
reads,4,LightGBM,72569,96603.66666666667
reads,4,LightGBM,56140,96603.66666666667
reads,4,LightGBM,49702,96603.66666666667
reads,4,LightGBM,61099,96603.66666666667
reads,4,LightGBM,50657,96603.66666666667
reads,4,LightGBM,73611,96603.66666666667
reads,4,GAM,126543,41691.818895592325
reads,4,GAM,46027,34581.287689247896
reads,4,GAM,54126,50877.67234267348
reads,4,GAM,72569,94962.38676762134
reads,4,GAM,56140,91636.58844500982
reads,4,GAM,49702,81849.55057376945
reads,4,GAM,61099,124830.69083883378
reads,4,GAM,50657,18569.73897947358
reads,4,GAM,73611,55532.41587109882
ZOTUs,0,Linear,1989,1373.3290986689644
ZOTUs,0,Linear,1344,1834.4150370835443
ZOTUs,0,Linear,1674,3563.810392305122
ZOTUs,0,Linear,2950,3463.17033850602
ZOTUs,0,Linear,2449,2534.6572825305925
ZOTUs,0,Linear,3267,4047.1130327121646
ZOTUs,0,Linear,1244,3208.6774455328773
ZOTUs,0,Linear,1539,3731.8183699083097
ZOTUs,0,Linear,881,3028.6662009131614
ZOTUs,0,Linear,2290,987.7775375193016
ZOTUs,0,Ridge,1989,2186.972659554902
ZOTUs,0,Ridge,1344,2376.6414327895636
ZOTUs,0,Ridge,1674,3175.758970441695
ZOTUs,0,Ridge,2950,3047.095449029786
ZOTUs,0,Ridge,2449,2712.321068137247
ZOTUs,0,Ridge,3267,3339.1604239384105
ZOTUs,0,Ridge,1244,2804.1547106663756
ZOTUs,0,Ridge,1539,3170.120557224859
ZOTUs,0,Ridge,881,3003.7238257210815
ZOTUs,0,Ridge,2290,2056.0476732110214
ZOTUs,0,RF,1989,3007.985947054495
ZOTUs,0,RF,1344,2925.0981269655344
ZOTUs,0,RF,1674,2576.294437501673
ZOTUs,0,RF,2950,3398.631845368275
ZOTUs,0,RF,2449,2204.19077798954
ZOTUs,0,RF,3267,3495.155666975292
ZOTUs,0,RF,1244,4136.5722796951595
ZOTUs,0,RF,1539,2747.7274684622357
ZOTUs,0,RF,881,2826.2477472305522
ZOTUs,0,RF,2290,2483.8445075495106
ZOTUs,0,XGBoost,1989,2931.284423828125
ZOTUs,0,XGBoost,1344,2348.248291015625
ZOTUs,0,XGBoost,1674,3261.14990234375
ZOTUs,0,XGBoost,2950,3682.80908203125
ZOTUs,0,XGBoost,2449,2476.320556640625
ZOTUs,0,XGBoost,3267,3415.08447265625
ZOTUs,0,XGBoost,1244,4357.4619140625
ZOTUs,0,XGBoost,1539,3073.48046875
ZOTUs,0,XGBoost,881,2266.587158203125
ZOTUs,0,XGBoost,2290,2680.1552734375
ZOTUs,0,LightGBM,1989,2842.9210526315787
ZOTUs,0,LightGBM,1344,2842.9210526315787
ZOTUs,0,LightGBM,1674,2842.9210526315787
ZOTUs,0,LightGBM,2950,2842.9210526315787
ZOTUs,0,LightGBM,2449,2842.9210526315787
ZOTUs,0,LightGBM,3267,2842.9210526315787
ZOTUs,0,LightGBM,1244,2842.9210526315787
