Target,Model,Fold1,Fold2,SpearmanR
Monothalamida,LightGBM,0,1,
Monothalamida,LightGBM,0,2,
Monothalamida,LightGBM,0,3,
Monothalamida,LightGBM,0,4,
Monothalamida,LightGBM,1,2,
Monothalamida,LightGBM,1,3,
Monothalamida,LightGBM,1,4,
Monothalamida,LightGBM,2,3,
Monothalamida,LightGBM,2,4,
Monothalamida,LightGBM,3,4,
Monothalamida,RF,0,1,0.5000000000000001
Monothalamida,RF,0,2,0.523809523809524
Monothalamida,RF,0,3,0.2142857142857143
Monothalamida,RF,0,4,0.7142857142857144
Monothalamida,RF,1,2,-0.11904761904761905
Monothalamida,RF,1,3,-0.19047619047619052
Monothalamida,RF,1,4,0.1666666666666667
Monothalamida,RF,2,3,0.4523809523809524
Monothalamida,RF,2,4,0.14285714285714288
Monothalamida,RF,3,4,0.09523809523809526
Monothalamida,XGBoost,0,1,0.5000000000000001
Monothalamida,XGBoost,0,2,0.30952380952380953
Monothalamida,XGBoost,0,3,-0.09523809523809526
Monothalamida,XGBoost,0,4,0.4047619047619048
Monothalamida,XGBoost,1,2,0.3333333333333334
Monothalamida,XGBoost,1,3,-0.28571428571428575
Monothalamida,XGBoost,1,4,0.5714285714285715
Monothalamida,XGBoost,2,3,0.3571428571428572
Monothalamida,XGBoost,2,4,-0.04761904761904763
Monothalamida,XGBoost,3,4,0.2380952380952381
ZOTUs,LightGBM,0,1,
ZOTUs,LightGBM,0,2,
ZOTUs,LightGBM,0,3,
ZOTUs,LightGBM,0,4,
ZOTUs,LightGBM,1,2,
ZOTUs,LightGBM,1,3,
ZOTUs,LightGBM,1,4,
ZOTUs,LightGBM,2,3,
ZOTUs,LightGBM,2,4,
ZOTUs,LightGBM,3,4,
ZOTUs,RF,0,1,0.5476190476190477
ZOTUs,RF,0,2,0.6904761904761906
ZOTUs,RF,0,3,0.5952380952380953
ZOTUs,RF,0,4,0.023809523809523815
ZOTUs,RF,1,2,-0.09523809523809526
ZOTUs,RF,1,3,0.5952380952380953
ZOTUs,RF,1,4,-0.19047619047619052
ZOTUs,RF,2,3,0.261904761904762
ZOTUs,RF,2,4,0.5476190476190477
ZOTUs,RF,3,4,-0.14285714285714288
ZOTUs,XGBoost,0,1,0.6428571428571429
ZOTUs,XGBoost,0,2,0.261904761904762
ZOTUs,XGBoost,0,3,0.1666666666666667
ZOTUs,XGBoost,0,4,-0.04761904761904763
ZOTUs,XGBoost,1,2,0.2380952380952381
ZOTUs,XGBoost,1,3,0.0
ZOTUs,XGBoost,1,4,-0.6428571428571429
ZOTUs,XGBoost,2,3,0.7619047619047621
ZOTUs,XGBoost,2,4,0.07142857142857144
ZOTUs,XGBoost,3,4,0.11904761904761905
reads,LightGBM,0,1,
reads,LightGBM,0,2,
reads,LightGBM,0,3,
reads,LightGBM,0,4,
reads,LightGBM,1,2,
reads,LightGBM,1,3,
reads,LightGBM,1,4,
reads,LightGBM,2,3,
reads,LightGBM,2,4,
reads,LightGBM,3,4,
reads,RF,0,1,0.5714285714285715
reads,RF,0,2,0.4523809523809524
reads,RF,0,3,0.19047619047619052
reads,RF,0,4,0.5476190476190477
reads,RF,1,2,-0.3333333333333334
reads,RF,1,3,-0.11904761904761905
reads,RF,1,4,-0.023809523809523815
reads,RF,2,3,0.7142857142857144
reads,RF,2,4,0.261904761904762
reads,RF,3,4,-0.11904761904761905
reads,XGBoost,0,1,0.6428571428571429
reads,XGBoost,0,2,-0.023809523809523815
reads,XGBoost,0,3,0.4047619047619048
reads,XGBoost,0,4,0.5000000000000001
reads,XGBoost,1,2,0.04761904761904763
reads,XGBoost,1,3,-0.2380952380952381
reads,XGBoost,1,4,0.38095238095238104
reads,XGBoost,2,3,0.09523809523809526
reads,XGBoost,2,4,0.0
reads,XGBoost,3,4,0.3333333333333334
