Target,Model,Feature,Top_Frequency
Monothalamida,LightGBM,Sediment_PC1,5
Monothalamida,LightGBM,Sediment_PC2,5
Monothalamida,RF,Major_PC1,2
Monothalamida,RF,Major_PC2,2
Monothalamida,RF,Sediment_PC1,2
Monothalamida,RF,Trace_PC1,1
Monothalamida,RF,Trace_PC2,3
Monothalamida,XGBoost,Major_PC1,2
Monothalamida,XGBoost,Major_PC2,1
Monothalamida,XGBoost,Sediment_PC1,3
Monothalamida,XGBoost,Trace_PC1,1
Monothalamida,XGBoost,Trace_PC2,3
ZOTUs,LightGBM,Sediment_PC1,5
ZOTUs,LightGBM,Sediment_PC2,5
ZOTUs,RF,Major_PC1,3
ZOTUs,RF,Major_PC2,2
ZOTUs,RF,Organic_PC1,1
ZOTUs,RF,Organic_PC2,1
ZOTUs,RF,Trace_PC1,1
ZOTUs,RF,Trace_PC2,2
ZOTUs,XGBoost,Major_PC1,1
ZOTUs,XGBoost,Major_PC2,3
ZOTUs,XGBoost,Organic_PC1,1
ZOTUs,XGBoost,Organic_PC2,2
ZOTUs,XGBoost,Trace_PC1,2
ZOTUs,XGBoost,Trace_PC2,1
reads,LightGBM,Sediment_PC1,5
reads,LightGBM,Sediment_PC2,5
reads,RF,Major_PC1,3
reads,RF,Major_PC2,2
reads,RF,Sediment_PC1,2
reads,RF,Trace_PC1,3
reads,XGBoost,Major_PC1,4
reads,XGBoost,Sediment_PC1,3
reads,XGBoost,Trace_PC1,1
reads,XGBoost,Trace_PC2,2
