Target,Model,Feature,MeanAbsSHAP,Group
Monothalamida,XGBoost,Major_PC1,5427.285909016927,Major Element Gradient (PC1)
Monothalamida,XGBoost,Trace_PC2,4853.922637939453,Trace Element Gradient (PC2)
Monothalamida,XGBoost,Sediment_PC1,3533.6822102864585,Sediment Gradient (PC1)
Monothalamida,XGBoost,Trace_PC1,2316.7224934895835,Trace Element Gradient (PC1)
Monothalamida,XGBoost,Sediment_PC2,882.621836344401,Sediment Gradient (PC2)
ZOTUs,XGBoost,Organic_PC2,281.07327524820965,Organic-Depth Gradient (PC2)
ZOTUs,XGBoost,Major_PC1,230.40079752604166,Major Element Gradient (PC1)
ZOTUs,XGBoost,Organic_PC1,213.81888326009116,Organic-Depth Gradient (PC1)
ZOTUs,XGBoost,Sediment_PC1,166.0989227294922,Sediment Gradient (PC1)
ZOTUs,XGBoost,Trace_PC1,152.38976542154947,Trace Element Gradient (PC1)
reads,XGBoost,Major_PC1,23468.907674153645,Major Element Gradient (PC1)
reads,XGBoost,Sediment_PC1,11468.189290364584,Sediment Gradient (PC1)
reads,XGBoost,Trace_PC1,10273.1826171875,Trace Element Gradient (PC1)
reads,XGBoost,Trace_PC2,9707.896321614584,Trace Element Gradient (PC2)
reads,XGBoost,Sediment_PC2,4366.4082438151045,Sediment Gradient (PC2)
