Target,Model,Feature,MeanAbsSHAP
Monothalamida,LightGBM,Major_PC1,0.0
Monothalamida,LightGBM,Major_PC2,503.8471805512513
Monothalamida,LightGBM,Organic_PC1,216.05631062425508
Monothalamida,LightGBM,Organic_PC2,0.0
Monothalamida,LightGBM,Sediment_PC1,2169.123381576807
Monothalamida,LightGBM,Sediment_PC2,397.79502349080377
Monothalamida,LightGBM,Trace_PC1,0.0
Monothalamida,LightGBM,Trace_PC2,1859.8395079516993
Monothalamida,RF,Major_PC1,2183.209413002713
Monothalamida,RF,Major_PC2,1382.2250842247065
Monothalamida,RF,Organic_PC1,1528.835257483546
Monothalamida,RF,Organic_PC2,1306.5703262044474
Monothalamida,RF,Sediment_PC1,1514.9831688513757
Monothalamida,RF,Sediment_PC2,273.814566917079
Monothalamida,RF,Trace_PC1,2431.8239046741
Monothalamida,RF,Trace_PC2,2851.7432578818
Monothalamida,XGBoost,Major_PC1,5427.285909016927
Monothalamida,XGBoost,Major_PC2,516.0323842366537
Monothalamida,XGBoost,Organic_PC1,833.5486704508463
Monothalamida,XGBoost,Organic_PC2,384.87463760375977
Monothalamida,XGBoost,Sediment_PC1,3533.6822102864585
Monothalamida,XGBoost,Sediment_PC2,882.621836344401
Monothalamida,XGBoost,Trace_PC1,2316.7224934895835
Monothalamida,XGBoost,Trace_PC2,4853.922637939453
ZOTUs,LightGBM,Major_PC1,0.0
ZOTUs,LightGBM,Major_PC2,36.55425121463919
ZOTUs,LightGBM,Organic_PC1,35.99651734896401
ZOTUs,LightGBM,Organic_PC2,7.87446132455349
ZOTUs,LightGBM,Sediment_PC1,77.63770012571409
ZOTUs,LightGBM,Sediment_PC2,11.050101733075017
ZOTUs,LightGBM,Trace_PC1,0.0
ZOTUs,LightGBM,Trace_PC2,67.38551257138089
ZOTUs,RF,Major_PC1,125.5074472784948
ZOTUs,RF,Major_PC2,80.53977679857097
ZOTUs,RF,Organic_PC1,213.16939213000612
ZOTUs,RF,Organic_PC2,137.9729633693037
ZOTUs,RF,Sediment_PC1,66.60804262593508
ZOTUs,RF,Sediment_PC2,22.373839596271477
ZOTUs,RF,Trace_PC1,72.38099611829362
ZOTUs,RF,Trace_PC2,72.47049883240418
ZOTUs,XGBoost,Major_PC1,230.40079752604166
ZOTUs,XGBoost,Major_PC2,131.38602701822916
ZOTUs,XGBoost,Organic_PC1,213.81888326009116
ZOTUs,XGBoost,Organic_PC2,281.07327524820965
ZOTUs,XGBoost,Sediment_PC1,166.0989227294922
ZOTUs,XGBoost,Sediment_PC2,90.6619987487793
ZOTUs,XGBoost,Trace_PC1,152.38976542154947
ZOTUs,XGBoost,Trace_PC2,98.69342931111653
reads,LightGBM,Major_PC1,0.0
reads,LightGBM,Major_PC2,2507.715508396977
reads,LightGBM,Organic_PC1,556.6373940315456
reads,LightGBM,Organic_PC2,1169.3026056006688
reads,LightGBM,Sediment_PC1,9244.018396329151
reads,LightGBM,Sediment_PC2,2750.2506234649977
reads,LightGBM,Trace_PC1,0.0
reads,LightGBM,Trace_PC2,5745.040059534708
reads,RF,Major_PC1,7994.521000847868
reads,RF,Major_PC2,5874.525279617971
reads,RF,Organic_PC1,4558.850583794551
reads,RF,Organic_PC2,5677.575681619349
reads,RF,Sediment_PC1,5062.484695178188
reads,RF,Sediment_PC2,907.599713089065
reads,RF,Trace_PC1,6946.293561442643
reads,RF,Trace_PC2,8423.222580807664
reads,XGBoost,Major_PC1,23468.907674153645
reads,XGBoost,Major_PC2,2663.9889532725015
reads,XGBoost,Organic_PC1,2863.11270904541
reads,XGBoost,Organic_PC2,4142.144266764323
reads,XGBoost,Sediment_PC1,11468.189290364584
reads,XGBoost,Sediment_PC2,4366.4082438151045
reads,XGBoost,Trace_PC1,10273.1826171875
reads,XGBoost,Trace_PC2,9707.896321614584
