,,alpha,alpha,Fold,Fold,max_depth,max_depth,min_samples_leaf,min_samples_leaf,min_samples_split,min_samples_split,n_estimators,n_estimators,learning_rate,learning_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,Target,,,,,,,,,,,,,,
LightGBM,Monothalamida,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,ZOTUs,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
LightGBM,reads,,,1.0,1.0,3.0,0.0,,,,,100.0,0.0,0.05000000000000001,0.0
RF,Monothalamida,,,1.0,1.0,3.6666666666666665,1.1547005383792515,1.3333333333333333,0.5773502691896257,3.0,1.7320508075688772,400.0,173.20508075688772,,
RF,ZOTUs,,,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.7320508075688772,300.0,173.20508075688772,,
RF,reads,,,1.0,1.0,3.0,0.0,1.3333333333333333,0.5773502691896257,3.0,1.7320508075688772,200.0,0.0,,
Ridge,Monothalamida,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,ZOTUs,100.0,0.0,1.0,1.0,,,,,,,,,,
Ridge,reads,100.0,0.0,1.0,1.0,,,,,,,,,,
XGBoost,Monothalamida,,,1.0,1.0,3.6666666666666665,1.1547005383792515,,,,,500.0,0.0,0.05000000000000001,0.0
XGBoost,ZOTUs,,,1.0,1.0,3.0,0.0,,,,,300.0,173.20508075688772,0.06666666666666667,0.02886751345948129
XGBoost,reads,,,1.0,1.0,3.0,0.0,,,,,400.0,173.20508075688772,0.10000000000000002,0.0
