Target,Model,R2_Mean,R2_SD
reads,Linear,-2.3902716952359464,2.9026518630340825
reads,Ridge,-1.2071610270262774,1.868427877970627
reads,RF,-0.14851763727953413,0.03651491932406442
reads,XGBoost,-0.22166999181111655,0.016071162956338644
reads,LightGBM,-0.6354317707638847,0.9037561530974959
reads,GAM,-0.7849218146418795,0.8448175957318397
ZOTUs,Linear,-0.8648868264325978,0.7227252580784332
ZOTUs,Ridge,-0.3472513986829302,0.31958256620402486
ZOTUs,RF,-0.2558114403338126,0.26375564163197074
ZOTUs,XGBoost,-0.44574590524037677,0.33611969550036586
ZOTUs,LightGBM,-0.19140195747693522,0.11936744918213875
ZOTUs,GAM,-0.7774329146086424,0.7814792701459342
Monothalamida,Linear,-4.484874479063614,6.619119028773081
Monothalamida,Ridge,-2.387098079971804,3.9668091754630095
Monothalamida,RF,-0.6686075090603261,0.8037953266397245
Monothalamida,XGBoost,-0.7715851863225301,0.551613667016064
Monothalamida,LightGBM,-0.888495518699781,1.3532098336541036
Monothalamida,GAM,-1.5218773086140702,2.1687547427756217
