Target,Model,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd
Monothalamida,GAM,-1.5218773086140702,2.1687547427756217,26025.070685973085,15529.875035306099,18995.355709388157,10383.013389081003
Monothalamida,LightGBM,-0.8884955186997808,1.3532098336541039,24574.221306963474,17010.474525377285,16000.675655117628,9502.608069324346
Monothalamida,Linear,-4.484874479063614,6.619119028773081,30788.895289569366,14446.545665436663,21874.883263534288,8402.973972986872
Monothalamida,RF,-0.668607509060326,0.8037953266397246,24954.937164185016,17536.412711242076,15057.080670308373,9574.365467586858
Monothalamida,Ridge,-2.387098079971804,3.9668091754630095,25733.9065315551,14795.943982814413,17546.17624885087,7747.592200996197
Monothalamida,XGBoost,-0.7715851863225301,0.551613667016064,26903.583405170106,18815.576129623114,15168.3245840802,9660.777256786963
ZOTUs,GAM,-0.7774329146086423,0.7814792701459342,1761.6005748621826,150.4293305684836,1390.028072163117,132.8381430942785
ZOTUs,LightGBM,-0.19140195747693514,0.11936744918213876,1540.093092451727,461.17842692252384,1160.8866450094622,177.29292383109467
ZOTUs,Linear,-0.8648868264325978,0.7227252580784334,1829.529300097876,224.29828844230485,1411.1223619977163,61.549119667778434
ZOTUs,RF,-0.2558114403338126,0.2637556416319708,1566.9734510012493,426.1736356086324,1182.9843189730493,177.79786240386997
ZOTUs,Ridge,-0.3472513986829302,0.31958256620402486,1607.9941493727981,377.10078804349376,1197.3718696578342,119.63468100585642
ZOTUs,XGBoost,-0.44574590524037677,0.3361196955003659,1660.243800121894,354.79853079596825,1265.0834263040563,158.42922043287794
reads,GAM,-0.7849218146418795,0.8448175957318397,101914.08364554477,65145.04651719503,72846.38468036108,37743.47097136818
reads,LightGBM,-0.6354317707638847,0.903756153097496,98470.28809130481,70648.20045903393,62799.629228872276,33020.738941699114
reads,Linear,-2.3902716952359464,2.902651863034082,119519.23774163915,61561.843985594445,81024.93519374637,30710.88548518374
reads,RF,-0.1485176372795341,0.03651491932406445,95733.3745810595,76476.99692814249,54174.56508528119,38315.78512101308
reads,Ridge,-1.2071610270262771,1.868427877970627,101891.18653783454,65463.98577517582,65965.58380998253,30471.280649520682
reads,XGBoost,-0.22166999181111655,0.016071162956338644,98429.05684093332,79119.47909671458,54974.66580622069,40478.507337796604
