Target,Fold,Model,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
reads,0,Linear,-1.2942856138705316,0.7461796118382324,124144.35881262214,67973.25194880075,89339.52971324296,52055.581473919476
reads,0,Ridge,-0.129672743312504,0.4381942126300523,87112.31875169896,101127.18077770915,66864.67169763365,62504.53162798756
reads,0,RF,-0.1839356428563479,0.8551535055493003,89179.96477732429,51348.62164255006,53422.16107312964,32246.912202417952
reads,0,XGBoost,-0.2033315896987915,1.0,89907.49630117397,0.08409911211240353,51253.477278645834,0.04568142361111111
reads,0,LightGBM,-0.08394176316401891,0.0,85330.87982703306,134919.5225952617,62181.499999999985,83716.6296296296
reads,0,GAM,-0.6312576122692153,0.7805701764585656,104680.19535743914,63200.80685141608,82624.33525725173,45524.465253242306
reads,1,Linear,-0.19518276119292732,0.24594673004252998,178638.0765570963,65301.494732958694,106722.43864956703,42216.69178517943
reads,1,Ridge,-0.12717511602614717,0.14310840962810945,173481.26087780416,69612.15023246044,95977.3706832694,36134.91044810019
reads,1,RF,-0.1506205751826275,0.6345415430499781,175276.1969539597,45461.22316803292,92861.0112251591,27262.046783457285
reads,1,XGBoost,-0.2333008050918579,0.9999910593032837,181464.38393280914,224.73067083542716,97185.28018465909,171.69155141469594
reads,1,LightGBM,-0.14392892484398323,0.0,174765.77791961218,75200.73900443886,96125.09336609337,38207.45653761871
reads,1,GAM,-0.027483423277980146,0.29436525586682305,165632.01514943334,63170.17597344772,104738.70032702875,39700.00050928684
reads,2,Linear,-5.68134671064438,0.3024508247550062,55775.27785519903,94157.08339993402,47012.83721842909,69320.27175329799
reads,2,Ridge,-3.3646352217401807,0.224928459167975,45079.97998400055,99251.36263375747,35054.70904904455,65465.6661948064
reads,2,RF,-0.11099669379962696,0.7890343689710536,22743.962011894495,51781.11968107958,16240.52295755482,33384.521084737426
reads,2,XGBoost,-0.2283775806427002,1.0,23915.29028881681,0.42329151011682054,16485.23995535714,0.32700552591463417
reads,2,LightGBM,-1.678424624283652,0.15285433673427673,35314.206527269205,103763.50388322404,30092.294320523466,66865.87428782748
reads,2,GAM,-1.696024408378443,0.5768664017930556,35430.04042976184,73333.82505455788,31176.118456802757,51830.9796578131
ZOTUs,0,Linear,-1.4011646324793503,0.6892456181371132,1835.37398425534,954.7357337457855,1481.0861498996394,850.8684064647573
ZOTUs,0,Ridge,-0.3336940786253566,0.3834843275121137,1367.8602023247556,1344.7656514112523,1135.6654228392529,982.53063263463
ZOTUs,0,RF,-0.5431725824857991,0.8420114037648665,1471.3664593197984,680.7496349690665,1179.1176262783515,502.05095101657594
ZOTUs,0,XGBoost,-0.6147838830947876,0.9999377727508545,1505.1188770198507,13.509427114831746,1144.4302327473958,10.8660888671875
ZOTUs,0,LightGBM,-0.20889978402237075,0.0,1302.2931389487876,1712.6733777242619,1058.525925925926,1268.4197530864196
ZOTUs,0,GAM,-1.3213488195170497,0.7918708164691188,1804.6118507286149,781.3417614257706,1536.2267983153426,670.0263465825723
ZOTUs,1,Linear,-0.043000341273823794,0.13885260729376836,2050.8481271841124,1096.1688212855079,1386.961531704712,828.1492249402336
ZOTUs,1,Ridge,-0.03466323838406882,0.07506059171335155,2042.6350727867778,1136.0444945787995,1335.2610342978264,826.6742431454902
ZOTUs,1,RF,-0.024753990287911476,0.6993101078003865,2032.8301073898847,647.736118235528,1362.6839905653362,540.1568748487564
ZOTUs,1,XGBoost,-0.05866110324859619,0.9999985694885254,2066.187429113158,1.4227045808334577,1444.4979026100852,1.0674191036739864
ZOTUs,1,LightGBM,-0.06425136569462087,0.0,2071.635684603295,1181.241508678962,1365.6068796068796,848.3038714390066
ZOTUs,1,GAM,0.11808455060963852,0.22005766937787308,1885.8395975740082,1043.205686106417,1276.7364011869106,767.0289524209293
ZOTUs,2,Linear,-1.1504955055446198,0.281476503760019,1602.3657888541754,1250.9804542633658,1365.3194043887977,928.6691961609201
ZOTUs,2,Ridge,-0.6733968790393652,0.1988138068894727,1413.487173006861,1320.9815903854244,1121.189151836423,940.4967981498767
ZOTUs,2,RF,-0.1995077482277272,0.7032122746443671,1196.7237862940644,803.9943644587199,1007.1513400754603,618.6801216270284
ZOTUs,2,XGBoost,-0.6637927293777466,0.9999920129776001,1409.4250942326732,4.1759341609099,1206.3221435546875,2.976148651867378
ZOTUs,2,LightGBM,-0.30105472271381406,0.0998202606925257,1246.350453803098,1400.2147682464358,1058.5271294955812,973.3126733286405
ZOTUs,2,GAM,-1.129034474918516,0.5271614218480059,1594.3502762839246,1014.8140896413587,1357.1210169870985,741.1967954573138
Monothalamida,0,Linear,-1.1073169481204852,0.7300906434693375,34877.186557902074,16720.409831724453,25166.063435785756,12669.365835663451
Monothalamida,0,Ridge,-0.05579275890561197,0.4240305444012775,24686.859987999112,24425.17447479384,17726.24977948029,16729.662638603964
Monothalamida,0,RF,-0.24677249940613244,0.864825941239305,26826.877215907814,11832.721021902988,15488.152850333738,8277.964306774089
Monothalamida,0,XGBoost,-0.7099477052688599,1.0,31417.231666679745,0.09517631946897498,16218.291097005209,0.06077745225694445
Monothalamida,0,LightGBM,-0.046847369405902395,0.0,24582.055644901066,32183.84650285195,16620.311111111114,21997.41975308642
Monothalamida,0,GAM,-0.48857175575264233,0.7754852014541582,29313.076512802,15249.66959912147,22057.20658444516,11743.939371343751
Monothalamida,1,Linear,-0.23590825498376589,0.25298047963183323,42750.71579639103,18998.62714311156,28134.106356480454,11864.03963212894
Monothalamida,1,Ridge,-0.13817365695357497,0.1447769349729776,41025.56199715851,20328.060608296935,25202.16201484938,10131.709606348846
Monothalamida,1,RF,-0.16354432587943157,0.6385462308259034,41480.28584886435,13215.470307692127,24408.629125162315,7459.248822340229
Monothalamida,1,XGBoost,-0.25337910652160645,0.9999992847442627,43051.816721165385,18.666722998831002,24261.23064630682,14.520583694045609
Monothalamida,1,LightGBM,-0.16918883396391649,0.0,41580.77731030448,21981.445303026238,25178.302211302213,10845.646457268078
Monothalamida,1,GAM,-0.06300310215362215,0.30223753140566423,39647.658153985576,18361.57991818349,27503.143782664705,11026.876721991775
Monothalamida,2,Linear,-12.111398234086593,0.25801276225633274,14738.783514414996,25236.95615188722,12324.479998336648,18604.80311502495
Monothalamida,2,Ridge,-6.967327824056224,0.18764704208798355,11489.297609507683,26406.51801185741,9710.116952222937,17562.674120035586
Monothalamida,2,RF,-1.595505701895414,0.7581036133634778,6557.648427782894,14409.65045540375,5274.4600354290615,8806.450708405639
Monothalamida,2,XGBoost,-1.351428747177124,0.999998927116394,6241.701827665188,30.42967728271523,5025.452008928572,23.363882669588413
Monothalamida,2,LightGBM,-2.449450352729524,0.1286478888422089,7559.830965684884,27348.631486907205,6203.413642939554,18254.71774824656
Monothalamida,2,GAM,-4.014057067935946,0.4834265629216259,9114.477391131677,21057.402118337577,7425.716761054605,14687.131422412709
