Target,Fold,Model,Observed,Predicted,Residual
Monothalamida,0,RF,8045,13094.310693395477,-5049.310693395477
Monothalamida,0,RF,10581,20622.948429709184,-10041.948429709184
Monothalamida,0,RF,9710,37352.70823063601,-27642.70823063601
Monothalamida,0,RF,11065,11350.863598318345,-285.8635983183449
Monothalamida,0,RF,16492,13196.648568808952,3295.3514311910476
Monothalamida,0,RF,11287,16463.95761049505,-5176.95761049505
Monothalamida,0,RF,119586,14718.5423091797,104867.4576908203
Monothalamida,0,RF,91943,22615.254505932964,69327.74549406703
Monothalamida,0,RF,17101,28374.67999758019,-11273.679997580191
Monothalamida,0,RF,20143,30004.330646570088,-9861.330646570088
Monothalamida,0,RF,34035,26599.709516810977,7435.290483189023
Monothalamida,0,RF,24333,34192.63810098789,-9859.63810098789
Monothalamida,0,RF,3538,48606.659131607295,-45068.659131607295
Monothalamida,0,RF,14040,33562.95562830503,-19522.955628305033
Monothalamida,0,RF,13377,12455.7313138972,921.2686861027996
Monothalamida,0,RF,13599,25365.632812504173,-11766.632812504173
Monothalamida,0,RF,16524,15827.725855361296,696.2741446387045
Monothalamida,0,RF,12983,16777.058330308566,-3794.058330308566
Monothalamida,0,RF,6045,24673.61790759796,-18628.61790759796
Monothalamida,0,RF,10175,20032.913020762586,-9857.913020762586
Monothalamida,0,RF,12414,13857.991150260845,-1443.9911502608447
Monothalamida,0,RF,13387,16409.506503107998,-3022.5065031079976
Monothalamida,0,RF,2512,13398.817826534569,-10886.817826534569
Monothalamida,0,RF,16275,38264.9078629759,-21989.907862975902
Monothalamida,0,RF,14756,13017.08012617381,1738.9198738261894
Monothalamida,0,RF,10643,23626.54005037186,-12983.54005037186
Monothalamida,0,RF,9962,34697.4936045732,-24735.493604573203
Monothalamida,0,RF,15791,17364.450671112212,-1573.4506711122121
Monothalamida,0,RF,15066,20242.04516682762,-5176.045166827618
Monothalamida,0,RF,11208,17928.250731635024,-6720.250731635024
Monothalamida,1,RF,30574,11274.0636530846,19299.936346915398
Monothalamida,1,RF,12388,12472.991952764089,-84.99195276408864
Monothalamida,1,RF,8734,12689.692805860075,-3955.692805860075
Monothalamida,1,RF,6726,25360.555828279288,-18634.555828279288
Monothalamida,1,RF,9899,15035.793745818784,-5136.793745818784
Monothalamida,1,RF,14729,12871.371207725871,1857.6287922741285
Monothalamida,1,RF,135946,17186.567910012287,118759.4320899877
Monothalamida,1,RF,62644,17698.84131870943,44945.15868129057
Monothalamida,1,RF,9934,16260.141263466288,-6326.141263466288
Monothalamida,1,RF,11259,16349.467998897526,-5090.467998897526
Monothalamida,1,RF,67829,23424.879128768385,44404.120871231615
Monothalamida,2,RF,13963,15172.408356147997,-1209.4083561479965
Monothalamida,2,RF,12825,14491.046906006894,-1666.0469060068936
Monothalamida,2,RF,1328,12660.162033589217,-11332.162033589217
Monothalamida,2,RF,10845,13752.883406674864,-2907.883406674864
Monothalamida,2,RF,10000,12799.671151199707,-2799.6711511997073
Monothalamida,2,RF,14004,24439.148370041334,-10435.148370041334
Monothalamida,2,RF,11946,18516.90002434342,-6570.90002434342
ZOTUs,0,LightGBM,1677,2997.8888888888887,-1320.8888888888887
ZOTUs,0,LightGBM,1700,2997.8888888888887,-1297.8888888888887
ZOTUs,0,LightGBM,1716,2997.8888888888887,-1281.8888888888887
ZOTUs,0,LightGBM,1883,2997.8888888888887,-1114.8888888888887
ZOTUs,0,LightGBM,2855,2997.8888888888887,-142.8888888888887
ZOTUs,0,LightGBM,1811,2997.8888888888887,-1186.8888888888887
ZOTUs,0,LightGBM,6022,2997.8888888888887,3024.1111111111113
ZOTUs,0,LightGBM,5812,2997.8888888888887,2814.1111111111113
ZOTUs,0,LightGBM,2168,2997.8888888888887,-829.8888888888887
ZOTUs,0,LightGBM,2313,2997.8888888888887,-684.8888888888887
ZOTUs,0,LightGBM,4398,2997.8888888888887,1400.1111111111113
ZOTUs,0,LightGBM,2950,2997.8888888888887,-47.88888888888869
ZOTUs,0,LightGBM,1465,2997.8888888888887,-1532.8888888888887
ZOTUs,0,LightGBM,2825,2997.8888888888887,-172.8888888888887
ZOTUs,0,LightGBM,2449,2997.8888888888887,-548.8888888888887
ZOTUs,0,LightGBM,3267,2997.8888888888887,269.1111111111113
ZOTUs,0,LightGBM,3248,2997.8888888888887,250.1111111111113
ZOTUs,0,LightGBM,2242,2997.8888888888887,-755.8888888888887
ZOTUs,0,LightGBM,1028,2997.8888888888887,-1969.8888888888887
ZOTUs,0,LightGBM,1244,2997.8888888888887,-1753.8888888888887
ZOTUs,0,LightGBM,1054,2997.8888888888887,-1943.8888888888887
ZOTUs,0,LightGBM,1539,2997.8888888888887,-1458.8888888888887
ZOTUs,0,LightGBM,881,2997.8888888888887,-2116.8888888888887
ZOTUs,0,LightGBM,2544,2997.8888888888887,-453.8888888888887
ZOTUs,0,LightGBM,2512,2997.8888888888887,-485.8888888888887
ZOTUs,0,LightGBM,2437,2997.8888888888887,-560.8888888888887
ZOTUs,0,LightGBM,2230,2997.8888888888887,-767.8888888888887
ZOTUs,0,LightGBM,2454,2997.8888888888887,-543.8888888888887
ZOTUs,0,LightGBM,2646,2997.8888888888887,-351.8888888888887
ZOTUs,0,LightGBM,2326,2997.8888888888887,-671.8888888888887
ZOTUs,1,LightGBM,3254,2542.891891891892,711.1081081081079
ZOTUs,1,LightGBM,1989,2542.891891891892,-553.8918918918921
ZOTUs,1,LightGBM,1726,2542.891891891892,-816.8918918918921
ZOTUs,1,LightGBM,1344,2542.891891891892,-1198.891891891892
ZOTUs,1,LightGBM,1584,2542.891891891892,-958.8918918918921
ZOTUs,1,LightGBM,2275,2542.891891891892,-267.8918918918921
