Target,Group,PC,Variable,mean,std,CV
Monothalamida,Major,PC1,Al2O3,0.47122162114132643,0.04169169922226525,0.08847577732381104
Monothalamida,Major,PC1,CaO,-0.13264137005643759,0.27195290581664444,2.0502872195977107
Monothalamida,Major,PC1,Fe2O3,0.44809426927508805,0.029308882682150365,0.06540784984723258
Monothalamida,Major,PC1,K2O,0.4744651880401995,0.03092165061910869,0.06517158982059781
Monothalamida,Major,PC1,MgO,0.345250919210266,0.032826080593857145,0.09507890860636718
Monothalamida,Major,PC1,Na2O,0.2215900627156947,0.0251326212280546,0.11341944182894316
Monothalamida,Major,PC1,SiO2,-0.3359840271028402,0.026014869163024857,0.07742888668651518
Monothalamida,Major,PC2,Al2O3,-0.010032107166057102,0.08318190204458267,8.291568328339087
Monothalamida,Major,PC2,CaO,-0.25123055100571845,0.29697438838150286,1.182079118931452
Monothalamida,Major,PC2,Fe2O3,-0.08801169719248554,0.016203580096541652,0.1841071200013754
Monothalamida,Major,PC2,K2O,-0.1801894839814313,0.08275211983384782,0.45925055117187363
Monothalamida,Major,PC2,MgO,-0.44619891070658513,0.02934232017201285,0.06576062708343991
Monothalamida,Major,PC2,Na2O,0.6405619261840515,0.026508259384657385,0.041382820772024494
Monothalamida,Major,PC2,SiO2,-0.45895037853479975,0.10484509196961969,0.22844537639197054
Monothalamida,Organic,PC1,C,0.5521536045816756,0.013342385878058095,0.024164264739639972
Monothalamida,Organic,PC1,Chlorophyll a,-0.23553067382477466,0.06876357709543308,0.29195168501318186
Monothalamida,Organic,PC1,Cl,-0.06426079689279911,0.11920728426169236,1.8550545593226282
Monothalamida,Organic,PC1,Depth,-0.10291656905240125,0.08807208351509815,0.8557619470413472
Monothalamida,Organic,PC1,N,0.5566331894588803,0.018034981028991034,0.032400118014025314
Monothalamida,Organic,PC1,P,-0.05042160869840331,0.11266618911222355,2.2344822392743557
Monothalamida,Organic,PC1,S1,0.5312120846395479,0.009727033653330287,0.018311017265223797
Monothalamida,Organic,PC1,S2,0.026642964395840896,0.06700836118467395,2.51504900840292
Monothalamida,Organic,PC2,C,-0.031370578647786466,0.13445609627376767,4.2860572571317554
Monothalamida,Organic,PC2,Chlorophyll a,0.16204702211113967,0.1566610599010297,0.9667629670700395
Monothalamida,Organic,PC2,Cl,0.5097440725720981,0.03388881431748469,0.0664820174298181
Monothalamida,Organic,PC2,Depth,-0.3576837963810739,0.0998860456974539,0.2792579555128519
Monothalamida,Organic,PC2,N,-0.05856118213965833,0.14527067799000087,2.480665052893832
Monothalamida,Organic,PC2,P,-0.29277249521281146,0.08889148190404175,0.3036196478751462
Monothalamida,Organic,PC2,S1,0.12936812877586154,0.012689375796911125,0.09808734127163786
Monothalamida,Organic,PC2,S2,0.6507287024338534,0.023730868139558558,0.03646814417559951
Monothalamida,Sediment,PC1,Clay Content,0.08015124199641506,0.05252390557900881,0.6553099399427654
Monothalamida,Sediment,PC1,Grain Size,0.3811507203857513,0.017352600677527377,0.04552687362092698
Monothalamida,Sediment,PC1,Kurtosis,-0.45888921749346184,0.016168355895986582,0.0352336801119476
Monothalamida,Sediment,PC1,Sand Content,0.34648907558991177,0.017576295753581904,0.05072683957974013
Monothalamida,Sediment,PC1,Silt Content,-0.31545554924993385,0.09969402269935307,0.316031919350913
Monothalamida,Sediment,PC1,Skewness,-0.4237343333239561,0.04805401598240171,0.11340600041881228
Monothalamida,Sediment,PC1,Sorting,0.4774305089450796,0.01078186266858184,0.022583103648749256
Monothalamida,Sediment,PC2,Clay Content,0.6584098008909988,0.04664305629040648,0.07084198355991414
Monothalamida,Sediment,PC2,Grain Size,-0.41693962715728117,0.0373607744889099,0.08960715666111627
Monothalamida,Sediment,PC2,Kurtosis,-0.1737744726223864,0.036218896961989336,0.20842472668982484
Monothalamida,Sediment,PC2,Sand Content,-0.4177955482658749,0.04736447649810478,0.11336759497485882
Monothalamida,Sediment,PC2,Silt Content,-0.3640773308639484,0.1603395646186532,0.4403997475980461
Monothalamida,Sediment,PC2,Skewness,-0.16857303597576276,0.07767483634993733,0.46077853376921635
Monothalamida,Sediment,PC2,Sorting,-0.004297471143099032,0.03886606530499004,9.043938635260405
Monothalamida,Trace,PC1,As,0.0033604721381115996,0.10524337232900775,31.318031515699083
Monothalamida,Trace,PC1,Co,0.26023773331903094,0.12413644368164795,0.47701170041112545
Monothalamida,Trace,PC1,Cr,-0.16228076413199535,0.33347618778090504,2.054933556448276
Monothalamida,Trace,PC1,Cu,0.37193478386629636,0.03824741874635241,0.10283366978685608
Monothalamida,Trace,PC1,Ga,0.06257515892882504,0.16168565798090362,2.583863321303107
Monothalamida,Trace,PC1,Mn,0.32360095291953456,0.15823516871264343,0.48898239416491956
Monothalamida,Trace,PC1,Ni,0.3214153530865596,0.1772052928500334,0.5513280281987981
Monothalamida,Trace,PC1,Rb,-0.11095133752080873,0.08500384560556926,0.76613628555516
Monothalamida,Trace,PC1,Sc,0.05006341580436089,0.21738243058758797,4.3421414039561474
Monothalamida,Trace,PC1,Ti,-0.11688575107885003,0.4274411305053347,3.656913922869751
Monothalamida,Trace,PC1,V,-0.10241531035179761,0.3959344727336833,3.8659695642540597
Monothalamida,Trace,PC1,Zn,0.28823146766595503,0.18634409555155837,0.6465085060300261
Monothalamida,Trace,PC2,As,0.0148076944743079,0.47201238893376035,31.876156666571273
Monothalamida,Trace,PC2,Co,0.23340735740842553,0.1372070646823927,0.5878437860992628
Monothalamida,Trace,PC2,Cr,-0.024680648642609476,0.31130365904100915,12.613268943975985
Monothalamida,Trace,PC2,Cu,0.123721599918195,0.13491209090701914,1.0904489676517546
Monothalamida,Trace,PC2,Ga,0.026218056959008824,0.4894215159433827,18.667345055683537
Monothalamida,Trace,PC2,Mn,0.15447615919431887,0.2341919892191385,1.5160396946725183
Monothalamida,Trace,PC2,Ni,0.14289124488103117,0.2674002521436255,1.8713550460439927
Monothalamida,Trace,PC2,Rb,0.0062738038524756306,0.48755136429809226,77.71224216799597
Monothalamida,Trace,PC2,Sc,0.15098412213983783,0.1322759527913669,0.8760918096331752
Monothalamida,Trace,PC2,Ti,0.01001656412331751,0.33859385513431356,33.80339315615248
Monothalamida,Trace,PC2,V,0.024614082212932226,0.3119580822649598,12.673967672906251
Monothalamida,Trace,PC2,Zn,0.14939919528034748,0.2608667472968715,1.7461054378998175
ZOTUs,Major,PC1,Al2O3,0.47122162114132643,0.04169169922226525,0.08847577732381104
ZOTUs,Major,PC1,CaO,-0.13264137005643759,0.27195290581664444,2.0502872195977107
ZOTUs,Major,PC1,Fe2O3,0.44809426927508805,0.029308882682150365,0.06540784984723258
ZOTUs,Major,PC1,K2O,0.4744651880401995,0.03092165061910869,0.06517158982059781
ZOTUs,Major,PC1,MgO,0.345250919210266,0.032826080593857145,0.09507890860636718
ZOTUs,Major,PC1,Na2O,0.2215900627156947,0.0251326212280546,0.11341944182894316
ZOTUs,Major,PC1,SiO2,-0.3359840271028402,0.026014869163024857,0.07742888668651518
ZOTUs,Major,PC2,Al2O3,-0.010032107166057102,0.08318190204458267,8.291568328339087
ZOTUs,Major,PC2,CaO,-0.25123055100571845,0.29697438838150286,1.182079118931452
ZOTUs,Major,PC2,Fe2O3,-0.08801169719248554,0.016203580096541652,0.1841071200013754
ZOTUs,Major,PC2,K2O,-0.1801894839814313,0.08275211983384782,0.45925055117187363
ZOTUs,Major,PC2,MgO,-0.44619891070658513,0.02934232017201285,0.06576062708343991
ZOTUs,Major,PC2,Na2O,0.6405619261840515,0.026508259384657385,0.041382820772024494
