Target,Fold,Group,PC,Variable,Loading
reads,0,Sediment,PC1,Grain Size,0.3763665040444927
reads,0,Sediment,PC1,Sorting,0.4897910899243446
reads,0,Sediment,PC1,Skewness,-0.47852455439196445
reads,0,Sediment,PC1,Kurtosis,-0.47696325099838666
reads,0,Sediment,PC1,Clay Content,0.06749987107542232
reads,0,Sediment,PC1,Silt Content,-0.20093569892406057
reads,0,Sediment,PC1,Sand Content,0.3421138161603119
reads,0,Sediment,PC2,Grain Size,-0.3980043220946826
reads,0,Sediment,PC2,Sorting,0.03550825846078992
reads,0,Sediment,PC2,Skewness,-0.07898314924815726
reads,0,Sediment,PC2,Kurtosis,-0.14871275780001403
reads,0,Sediment,PC2,Clay Content,0.6107256087616465
reads,0,Sediment,PC2,Silt Content,-0.5476411365187468
reads,0,Sediment,PC2,Sand Content,-0.37293607679140295
reads,0,Major,PC1,Na2O,0.2494734606754469
reads,0,Major,PC1,MgO,0.31540180258479894
reads,0,Major,PC1,Al2O3,0.4230888398915561
reads,0,Major,PC1,SiO2,-0.33771167079594533
reads,0,Major,PC1,K2O,0.4409455463181006
reads,0,Major,PC1,CaO,-0.4171506374848607
reads,0,Major,PC1,Fe2O3,0.42045656986246527
reads,0,Major,PC2,Na2O,0.6326733860044844
reads,0,Major,PC2,MgO,-0.4786400165047986
reads,0,Major,PC2,Al2O3,0.03633245815046171
reads,0,Major,PC2,SiO2,-0.5270256353201627
reads,0,Major,PC2,K2O,-0.26913444031340084
reads,0,Major,PC2,CaO,0.08800462050608632
reads,0,Major,PC2,Fe2O3,-0.10664845638265574
reads,0,Trace,PC1,Sc,-0.10614986068209076
reads,0,Trace,PC1,Ti,-0.3737672779070831
reads,0,Trace,PC1,V,-0.3412212597957651
reads,0,Trace,PC1,Cr,-0.33547830603067186
reads,0,Trace,PC1,Mn,0.4006534039785653
reads,0,Trace,PC1,Co,0.17526986722151333
reads,0,Trace,PC1,Ni,0.401848130296956
reads,0,Trace,PC1,Cu,0.3988435966095598
reads,0,Trace,PC1,Zn,0.2810794882726557
reads,0,Trace,PC1,Ga,-0.09252342681802969
reads,0,Trace,PC1,As,0.12162071110859249
reads,0,Trace,PC1,Rb,-0.07677184136054577
reads,0,Trace,PC2,Sc,0.13548052432186097
reads,0,Trace,PC2,Ti,0.0489119562090613
reads,0,Trace,PC2,V,-0.00607863663159218
reads,0,Trace,PC2,Cr,0.11740846938061435
reads,0,Trace,PC2,Mn,-0.03964212517012638
reads,0,Trace,PC2,Co,0.22022933017558624
reads,0,Trace,PC2,Ni,-0.06486341406513946
reads,0,Trace,PC2,Cu,-0.021601070175096104
reads,0,Trace,PC2,Zn,0.02934893108194861
reads,0,Trace,PC2,Ga,-0.5285314751292982
reads,0,Trace,PC2,As,0.5594868728832666
reads,0,Trace,PC2,Rb,0.5634289520449681
reads,0,Organic,PC1,Chlorophyll a,-0.30979540726584187
reads,0,Organic,PC1,Depth,-0.1330059859708954
reads,0,Organic,PC1,N,0.5359984249254244
reads,0,Organic,PC1,C,0.5367486259412685
reads,0,Organic,PC1,S1,0.5229733489853157
reads,0,Organic,PC1,P,0.0017954097031886856
reads,0,Organic,PC1,S2,-0.035040161107508405
reads,0,Organic,PC1,Cl,-0.19029097252672428
reads,0,Organic,PC2,Chlorophyll a,0.2920794783575694
reads,0,Organic,PC2,Depth,-0.2465950068187467
reads,0,Organic,PC2,N,0.09637262319218234
reads,0,Organic,PC2,C,0.11112440897364145
reads,0,Organic,PC2,S1,0.12832556422619024
reads,0,Organic,PC2,P,-0.3925660909792319
reads,0,Organic,PC2,S2,0.6298462671733197
reads,0,Organic,PC2,Cl,0.5147448471533237
reads,1,Sediment,PC1,Grain Size,0.4003935319771209
reads,1,Sediment,PC1,Sorting,0.47253885765841763
reads,1,Sediment,PC1,Skewness,-0.3887423676165262
reads,1,Sediment,PC1,Kurtosis,-0.4458009395760748
reads,1,Sediment,PC1,Clay Content,0.03510847636446349
reads,1,Sediment,PC1,Silt Content,-0.3625763880149847
reads,1,Sediment,PC1,Sand Content,0.3658397178931285
reads,1,Sediment,PC2,Grain Size,-0.39283767830502325
reads,1,Sediment,PC2,Sorting,-0.006250434822243162
reads,1,Sediment,PC2,Skewness,-0.21705841956949098
reads,1,Sediment,PC2,Kurtosis,-0.2153008699451652
reads,1,Sediment,PC2,Clay Content,0.7039368702283882
reads,1,Sediment,PC2,Silt Content,-0.29320052124956375
reads,1,Sediment,PC2,Sand Content,-0.41313073661414734
reads,1,Major,PC1,Na2O,0.20068160419809775
reads,1,Major,PC1,MgO,0.3804072407843629
reads,1,Major,PC1,Al2O3,0.4944978782894175
reads,1,Major,PC1,SiO2,-0.36109201406933644
reads,1,Major,PC1,K2O,0.4805726058330757
reads,1,Major,PC1,CaO,-0.10549208175512687
reads,1,Major,PC1,Fe2O3,0.4449977773514121
reads,1,Major,PC2,Na2O,0.6701190058811544
reads,1,Major,PC2,MgO,-0.4384431521947481
reads,1,Major,PC2,Al2O3,-0.10606337156059237
reads,1,Major,PC2,SiO2,-0.33821319495108415
reads,1,Major,PC2,K2O,-0.10547614943994782
reads,1,Major,PC2,CaO,-0.4642464219994619
reads,1,Major,PC2,Fe2O3,-0.08012838313971782
reads,1,Trace,PC1,Sc,-0.041986286754609345
reads,1,Trace,PC1,Ti,-0.3534310571639343
reads,1,Trace,PC1,V,-0.32064067505280097
reads,1,Trace,PC1,Cr,-0.3735214237943168
reads,1,Trace,PC1,Mn,0.4285514100142891
reads,1,Trace,PC1,Co,0.20274565450467996
reads,1,Trace,PC1,Ni,0.44413957352874767
reads,1,Trace,PC1,Cu,0.3888086133207033
reads,1,Trace,PC1,Zn,0.10556632645968986
reads,1,Trace,PC1,Ga,0.05012126562969551
reads,1,Trace,PC1,As,-0.03154044331220986
reads,1,Trace,PC1,Rb,-0.2077246805211519
reads,1,Trace,PC2,Sc,0.2903286888131975
