Target,Fold,Group,PC,ExplainedVarianceRatio
reads,0,Sediment,PC1,0.576417242670668
reads,0,Sediment,PC2,0.3734066835100713
reads,0,Major,PC1,0.6272177785858116
reads,0,Major,PC2,0.237944435721227
reads,0,Trace,PC1,0.4980777000155312
reads,0,Trace,PC2,0.23153666949730495
reads,0,Organic,PC1,0.4071155512501179
reads,0,Organic,PC2,0.21268552531256507
reads,1,Sediment,PC1,0.6155594319311747
reads,1,Sediment,PC2,0.26811004904362407
reads,1,Major,PC1,0.551962820427616
reads,1,Major,PC2,0.2114472991663453
reads,1,Trace,PC1,0.3773283404683223
reads,1,Trace,PC2,0.26074184383737004
reads,1,Organic,PC1,0.3535787504164951
reads,1,Organic,PC2,0.19597801076873286
reads,2,Sediment,PC1,0.6188317372043668
reads,2,Sediment,PC2,0.27626420377660654
reads,2,Major,PC1,0.4517386502138692
reads,2,Major,PC2,0.2723720029914779
reads,2,Trace,PC1,0.3102256560018228
reads,2,Trace,PC2,0.2696604128868067
reads,2,Organic,PC1,0.35564715070980957
reads,2,Organic,PC2,0.21179692302859449
ZOTUs,0,Sediment,PC1,0.576417242670668
ZOTUs,0,Sediment,PC2,0.3734066835100713
ZOTUs,0,Major,PC1,0.6272177785858116
ZOTUs,0,Major,PC2,0.237944435721227
ZOTUs,0,Trace,PC1,0.4980777000155312
ZOTUs,0,Trace,PC2,0.23153666949730495
ZOTUs,0,Organic,PC1,0.4071155512501179
ZOTUs,0,Organic,PC2,0.21268552531256507
ZOTUs,1,Sediment,PC1,0.6155594319311747
ZOTUs,1,Sediment,PC2,0.26811004904362407
ZOTUs,1,Major,PC1,0.551962820427616
ZOTUs,1,Major,PC2,0.2114472991663453
ZOTUs,1,Trace,PC1,0.3773283404683223
ZOTUs,1,Trace,PC2,0.26074184383737004
ZOTUs,1,Organic,PC1,0.3535787504164951
ZOTUs,1,Organic,PC2,0.19597801076873286
ZOTUs,2,Sediment,PC1,0.6188317372043668
ZOTUs,2,Sediment,PC2,0.27626420377660654
ZOTUs,2,Major,PC1,0.4517386502138692
ZOTUs,2,Major,PC2,0.2723720029914779
ZOTUs,2,Trace,PC1,0.3102256560018228
ZOTUs,2,Trace,PC2,0.2696604128868067
ZOTUs,2,Organic,PC1,0.35564715070980957
ZOTUs,2,Organic,PC2,0.21179692302859449
Monothalamida,0,Sediment,PC1,0.576417242670668
Monothalamida,0,Sediment,PC2,0.3734066835100713
Monothalamida,0,Major,PC1,0.6272177785858116
Monothalamida,0,Major,PC2,0.237944435721227
Monothalamida,0,Trace,PC1,0.4980777000155312
Monothalamida,0,Trace,PC2,0.23153666949730495
Monothalamida,0,Organic,PC1,0.4071155512501179
Monothalamida,0,Organic,PC2,0.21268552531256507
Monothalamida,1,Sediment,PC1,0.6155594319311747
Monothalamida,1,Sediment,PC2,0.26811004904362407
Monothalamida,1,Major,PC1,0.551962820427616
Monothalamida,1,Major,PC2,0.2114472991663453
Monothalamida,1,Trace,PC1,0.3773283404683223
Monothalamida,1,Trace,PC2,0.26074184383737004
Monothalamida,1,Organic,PC1,0.3535787504164951
Monothalamida,1,Organic,PC2,0.19597801076873286
Monothalamida,2,Sediment,PC1,0.6188317372043668
Monothalamida,2,Sediment,PC2,0.27626420377660654
Monothalamida,2,Major,PC1,0.4517386502138692
Monothalamida,2,Major,PC2,0.2723720029914779
Monothalamida,2,Trace,PC1,0.3102256560018228
Monothalamida,2,Trace,PC2,0.2696604128868067
Monothalamida,2,Organic,PC1,0.35564715070980957
Monothalamida,2,Organic,PC2,0.21179692302859449
