Target,Fold,Model,Observed,Predicted
reads,0,Linear,45571,186777.37426594034
reads,0,Linear,52170,238325.31538988597
reads,0,Linear,46733,29698.69315805442
reads,0,Linear,54126,-6640.688080167267
reads,0,Linear,64258,46200.48071974366
reads,0,Linear,44858,75350.51377860064
reads,0,Linear,408549,94130.66364354757
reads,0,Linear,342266,92104.9649417593
reads,0,Linear,60525,144829.3201770982
reads,0,Linear,72569,166754.76463543024
reads,0,Linear,142616,121151.40767986442
reads,0,Linear,103466,43528.745813595364
reads,0,Linear,43948,170811.54685576717
reads,0,Linear,66002,167835.6234966779
reads,0,Linear,60337,113095.33166923434
reads,0,Linear,63232,269201.5226853225
reads,0,Linear,83017,74978.92815615884
reads,0,Linear,49853,72142.28964356304
reads,0,Linear,45306,-26346.481000080545
reads,0,Linear,53179,59224.05038414935
reads,0,Linear,56140,90482.66389133305
reads,0,Linear,86438,26367.02534222514
reads,0,Linear,9716,52559.80166522556
reads,0,Linear,71027,393413.3862027844
reads,0,Linear,63092,165340.89772620634
reads,0,Linear,49702,116428.81430568235
reads,0,Linear,44130,175214.32233901042
reads,0,Linear,61099,32265.67429780103
reads,0,Linear,65736,54697.18403526376
reads,0,Linear,46956,53931.95099314295
reads,0,Ridge,45571,69502.83513502375
reads,0,Ridge,52170,103966.67694544008
reads,0,Ridge,46733,60001.6013653685
reads,0,Ridge,54126,67532.22812423011
reads,0,Ridge,64258,107124.56240746952
reads,0,Ridge,44858,123823.82859704754
reads,0,Ridge,408549,120186.7760279456
reads,0,Ridge,342266,139164.16708189057
reads,0,Ridge,60525,131351.7478238189
reads,0,Ridge,72569,131009.43428081185
reads,0,Ridge,142616,125945.53004283251
reads,0,Ridge,103466,128135.81297153526
reads,0,Ridge,43948,157971.9382915409
reads,0,Ridge,66002,126204.17100716231
reads,0,Ridge,60337,107779.25914056551
reads,0,Ridge,63232,146244.61888282574
reads,0,Ridge,83017,72757.77395096113
reads,0,Ridge,49853,105065.41182580855
reads,0,Ridge,45306,119991.11276223762
reads,0,Ridge,53179,113663.57337116616
reads,0,Ridge,56140,106765.37569141018
reads,0,Ridge,86438,111669.49052695147
reads,0,Ridge,9716,110856.32976025967
reads,0,Ridge,71027,179064.36427136528
reads,0,Ridge,63092,120926.0806524063
reads,0,Ridge,49702,125579.09431853138
reads,0,Ridge,44130,8143.180201647381
reads,0,Ridge,61099,107051.09062914974
reads,0,Ridge,65736,118802.87981495161
reads,0,Ridge,46956,107515.05963720873
reads,0,RF,45571,62767.56608573371
reads,0,RF,52170,78039.91756195197
reads,0,RF,46733,124184.4211174798
reads,0,RF,54126,56728.93998634699
reads,0,RF,64258,57916.504536546796
reads,0,RF,44858,76585.01951963315
reads,0,RF,408549,65199.51808194584
reads,0,RF,342266,93890.21475097127
reads,0,RF,60525,108250.89758076641
reads,0,RF,72569,125406.75722782771
reads,0,RF,142616,91623.98622265237
reads,0,RF,103466,129584.32501875902
reads,0,RF,43948,149012.69759060384
reads,0,RF,66002,118929.54841390553
reads,0,RF,60337,60114.91879557941
reads,0,RF,63232,96705.81850932397
reads,0,RF,83017,68666.98793027808
reads,0,RF,49853,74172.26304066768
reads,0,RF,45306,92177.24915789768
reads,0,RF,53179,78517.18891440505
reads,0,RF,56140,65522.74298154623
reads,0,RF,86438,79098.31519351482
reads,0,RF,9716,68435.56353328617
reads,0,RF,71027,150294.55326211284
reads,0,RF,63092,63688.63400113776
reads,0,RF,49702,88795.33850735375
reads,0,RF,44130,145282.3471622544
reads,0,RF,61099,72710.61181610059
reads,0,RF,65736,83974.70414803253
reads,0,RF,46956,91063.1725682512
reads,0,XGBoost,45571,87570.453125
reads,0,XGBoost,52170,102975.0078125
reads,0,XGBoost,46733,173692.8125
reads,0,XGBoost,54126,65851.484375
reads,0,XGBoost,64258,59875.26953125
reads,0,XGBoost,44858,75460.53125
reads,0,XGBoost,408549,75987.8359375
reads,0,XGBoost,342266,75486.9296875
reads,0,XGBoost,60525,79160.8671875
reads,0,XGBoost,72569,12257.189453125
reads,0,XGBoost,142616,71073.765625
reads,0,XGBoost,103466,97284.71875
reads,0,XGBoost,43948,158099.046875
reads,0,XGBoost,66002,150629.171875
reads,0,XGBoost,60337,66274.1796875
reads,0,XGBoost,63232,69467.171875
reads,0,XGBoost,83017,76284.8828125
reads,0,XGBoost,49853,70482.90625
reads,0,XGBoost,45306,34589.23828125
reads,0,XGBoost,53179,103164.9609375
reads,0,XGBoost,56140,52416.98828125
reads,0,XGBoost,86438,70105.578125
reads,0,XGBoost,9716,52935.36328125
reads,0,XGBoost,71027,46397.546875
reads,0,XGBoost,63092,74555.0390625
reads,0,XGBoost,49702,97296.703125
reads,0,XGBoost,44130,56137.2890625
reads,0,XGBoost,61099,67734.7890625
reads,0,XGBoost,65736,34629.90625
reads,0,XGBoost,46956,66347.390625
reads,0,LightGBM,45571,105633.33333333333
reads,0,LightGBM,52170,105633.33333333333
reads,0,LightGBM,46733,105633.33333333333
reads,0,LightGBM,54126,105633.33333333333
reads,0,LightGBM,64258,105633.33333333333
reads,0,LightGBM,44858,105633.33333333333
reads,0,LightGBM,408549,105633.33333333333
reads,0,LightGBM,342266,105633.33333333333
reads,0,LightGBM,60525,105633.33333333333
reads,0,LightGBM,72569,105633.33333333333
reads,0,LightGBM,142616,105633.33333333333
reads,0,LightGBM,103466,105633.33333333333
reads,0,LightGBM,43948,105633.33333333333
reads,0,LightGBM,66002,105633.33333333333
reads,0,LightGBM,60337,105633.33333333333
reads,0,LightGBM,63232,105633.33333333333
reads,0,LightGBM,83017,105633.33333333333
reads,0,LightGBM,49853,105633.33333333333
reads,0,LightGBM,45306,105633.33333333333
reads,0,LightGBM,53179,105633.33333333333
reads,0,LightGBM,56140,105633.33333333333
reads,0,LightGBM,86438,105633.33333333333
reads,0,LightGBM,9716,105633.33333333333
reads,0,LightGBM,71027,105633.33333333333
reads,0,LightGBM,63092,105633.33333333333
reads,0,LightGBM,49702,105633.33333333333
reads,0,LightGBM,44130,105633.33333333333
reads,0,LightGBM,61099,105633.33333333333
reads,0,LightGBM,65736,105633.33333333333
reads,0,LightGBM,46956,105633.33333333333
reads,0,GAM,45571,90861.07167551274
reads,0,GAM,52170,167581.39891070977
reads,0,GAM,46733,70088.78567554119
reads,0,GAM,54126,35699.51738183057
reads,0,GAM,64258,66012.2913400992
reads,0,GAM,44858,86051.1530148965
reads,0,GAM,408549,129599.65319763924
reads,0,GAM,342266,136482.11084309174
reads,0,GAM,60525,170182.23676471127
reads,0,GAM,72569,118842.87244318175
reads,0,GAM,142616,166233.2019645117
reads,0,GAM,103466,145663.84673681483
reads,0,GAM,43948,216633.49084572916
reads,0,GAM,66002,139368.42000288522
reads,0,GAM,60337,84758.48969273278
reads,0,GAM,63232,199500.86750452002
reads,0,GAM,83017,116832.46301938292
reads,0,GAM,49853,103634.90384655254
reads,0,GAM,45306,102146.1595713289
reads,0,GAM,53179,160890.9674349121
reads,0,GAM,56140,101680.15901263924
reads,0,GAM,86438,22523.197405003026
reads,0,GAM,9716,85358.65922021352
reads,0,GAM,71027,240898.47533633834
reads,0,GAM,63092,117530.00770918095
reads,0,GAM,49702,165279.38725954967
reads,0,GAM,44130,-140489.76968235592
reads,0,GAM,61099,116353.68542390899
reads,0,GAM,65736,91068.18534898674
reads,0,GAM,46956,124692.58710792148
reads,1,Linear,126543,53336.80445984822
reads,1,Linear,60794,46323.1814662836
reads,1,Linear,46414,32933.8711087195
reads,1,Linear,25403,115118.31528540995
reads,1,Linear,46027,41592.03570613233
reads,1,Linear,65715,31156.896175612856
reads,1,Linear,609524,81419.14092523837
reads,1,Linear,247319,52502.41612990178
