Target,Model,Group,MeanAbsSHAP,Contribution
Monothalamida,LightGBM,Major Element Gradient (PC1),0.0,0.0
Monothalamida,LightGBM,Major Element Gradient (PC2),503.8471805512513,0.09789786834249244
Monothalamida,LightGBM,Organic-Depth Gradient (PC1),216.05631062425508,0.04197989602505366
Monothalamida,LightGBM,Organic-Depth Gradient (PC2),0.0,0.0
Monothalamida,LightGBM,Sediment Gradient (PC1),2169.123381576807,0.4214622278840513
Monothalamida,LightGBM,Sediment Gradient (PC2),397.79502349080377,0.07729185820667718
Monothalamida,LightGBM,Trace Element Gradient (PC1),0.0,0.0
Monothalamida,LightGBM,Trace Element Gradient (PC2),1859.8395079516993,0.3613681495417255
Monothalamida,RF,Major Element Gradient (PC1),2183.209413002713,0.1620408370812081
Monothalamida,RF,Major Element Gradient (PC2),1382.2250842247065,0.10259066690921073
Monothalamida,RF,Organic-Depth Gradient (PC1),1528.835257483546,0.11347227774232313
Monothalamida,RF,Organic-Depth Gradient (PC2),1306.5703262044474,0.09697546561621237
Monothalamida,RF,Sediment Gradient (PC1),1514.9831688513757,0.1124441564709913
Monothalamida,RF,Sediment Gradient (PC2),273.814566917079,0.020322897732127365
Monothalamida,RF,Trace Element Gradient (PC1),2431.8239046741,0.18049335020295348
Monothalamida,RF,Trace Element Gradient (PC2),2851.7432578818,0.21166034824497348
Monothalamida,XGBoost,Major Element Gradient (PC1),5427.285909016927,0.28947546113403083
Monothalamida,XGBoost,Major Element Gradient (PC2),516.0323842366537,0.027523649000842202
Monothalamida,XGBoost,Organic-Depth Gradient (PC1),833.5486704508463,0.04445903344718456
Monothalamida,XGBoost,Organic-Depth Gradient (PC2),384.87463760375977,0.020528080714163437
Monothalamida,XGBoost,Sediment Gradient (PC1),3533.6822102864585,0.18847621158566893
Monothalamida,XGBoost,Sediment Gradient (PC2),882.621836344401,0.047076451723001296
Monothalamida,XGBoost,Trace Element Gradient (PC1),2316.7224934895835,0.12356716107553553
Monothalamida,XGBoost,Trace Element Gradient (PC2),4853.922637939453,0.2588939513195733
ZOTUs,LightGBM,Major Element Gradient (PC1),0.0,0.0
ZOTUs,LightGBM,Major Element Gradient (PC2),36.55425121463919,0.1545643814426072
ZOTUs,LightGBM,Organic-Depth Gradient (PC1),35.99651734896401,0.152206084196919
ZOTUs,LightGBM,Organic-Depth Gradient (PC2),7.87446132455349,0.03329602449457142
ZOTUs,LightGBM,Sediment Gradient (PC1),77.63770012571409,0.3282798223959208
ZOTUs,LightGBM,Sediment Gradient (PC2),11.050101733075017,0.04672376214798852
ZOTUs,LightGBM,Trace Element Gradient (PC1),0.0,0.0
ZOTUs,LightGBM,Trace Element Gradient (PC2),67.38551257138089,0.28492992532199307
ZOTUs,RF,Major Element Gradient (PC1),125.5074472784948,0.1586647343261306
ZOTUs,RF,Major Element Gradient (PC2),80.53977679857097,0.10181724324354671
ZOTUs,RF,Organic-Depth Gradient (PC1),213.16939213000612,0.2694857213828898
ZOTUs,RF,Organic-Depth Gradient (PC2),137.9729633693037,0.17442346292490113
ZOTUs,RF,Sediment Gradient (PC1),66.60804262593508,0.08420494254637284
ZOTUs,RF,Sediment Gradient (PC2),22.373839596271477,0.028284690609002155
ZOTUs,RF,Trace Element Gradient (PC1),72.38099611829362,0.0915030284528585
ZOTUs,RF,Trace Element Gradient (PC2),72.47049883240418,0.09161617651429829
ZOTUs,XGBoost,Major Element Gradient (PC1),230.40079752604166,0.16885078578032042
ZOTUs,XGBoost,Major Element Gradient (PC2),131.38602701822916,0.09628714023906504
ZOTUs,XGBoost,Organic-Depth Gradient (PC1),213.81888326009116,0.15669861754300698
ZOTUs,XGBoost,Organic-Depth Gradient (PC2),281.07327524820965,0.20598645446157476
ZOTUs,XGBoost,Sediment Gradient (PC1),166.0989227294922,0.12172672109335696
