Target,Model,Fold1,Fold2,SpearmanR
Monothalamida,LightGBM,0,1,
Monothalamida,LightGBM,0,2,
Monothalamida,LightGBM,1,2,
Monothalamida,RF,0,1,0.4523809523809524
Monothalamida,RF,0,2,-0.09523809523809526
Monothalamida,RF,1,2,0.30952380952380953
Monothalamida,XGBoost,0,1,0.04761904761904763
Monothalamida,XGBoost,0,2,0.28571428571428575
Monothalamida,XGBoost,1,2,-0.2380952380952381
ZOTUs,LightGBM,0,1,
ZOTUs,LightGBM,0,2,
ZOTUs,LightGBM,1,2,
ZOTUs,RF,0,1,0.261904761904762
ZOTUs,RF,0,2,0.2142857142857143
ZOTUs,RF,1,2,0.14285714285714288
ZOTUs,XGBoost,0,1,0.19047619047619052
ZOTUs,XGBoost,0,2,0.09523809523809526
ZOTUs,XGBoost,1,2,-0.261904761904762
reads,LightGBM,0,1,
reads,LightGBM,0,2,
reads,LightGBM,1,2,
reads,RF,0,1,0.04761904761904763
reads,RF,0,2,0.1666666666666667
reads,RF,1,2,0.3333333333333334
reads,XGBoost,0,1,0.14285714285714288
reads,XGBoost,0,2,0.07142857142857144
reads,XGBoost,1,2,0.0
