Target,Model,Feature,mean,std,CV
Monothalamida,LightGBM,Major_PC1,0.0,0.0,
Monothalamida,LightGBM,Major_PC2,503.8471805512513,872.6889159650968,1.7320508075688774
Monothalamida,LightGBM,Organic_PC1,216.05631062425508,374.22050729709326,1.7320508075688776
Monothalamida,LightGBM,Organic_PC2,0.0,0.0,
Monothalamida,LightGBM,Sediment_PC1,2169.123381576807,3757.031904776643,1.7320508075688776
Monothalamida,LightGBM,Sediment_PC2,397.79502349080377,689.0011916841272,1.7320508075688774
Monothalamida,LightGBM,Trace_PC1,0.0,0.0,
Monothalamida,LightGBM,Trace_PC2,1859.8395079516993,3221.336521696244,1.7320508075688772
Monothalamida,RF,Major_PC1,2183.209413002713,1217.4623255952356,0.5576479829851864
Monothalamida,RF,Major_PC2,1382.2250842247065,1429.604957015778,1.0342779720407453
Monothalamida,RF,Organic_PC1,1528.835257483546,1456.5994608295466,0.9527510918521731
Monothalamida,RF,Organic_PC2,1306.5703262044474,693.3917870477715,0.5306961080786646
Monothalamida,RF,Sediment_PC1,1514.9831688513757,290.47548049400433,0.19173512053882152
Monothalamida,RF,Sediment_PC2,273.814566917079,137.53691380438087,0.5022994771714686
Monothalamida,RF,Trace_PC1,2431.8239046741,614.3935469485383,0.252647219137718
Monothalamida,RF,Trace_PC2,2851.7432578818,1817.5120723740845,0.6373336966260015
Monothalamida,XGBoost,Major_PC1,5427.285909016927,5944.589114498127,1.0953152669959305
Monothalamida,XGBoost,Major_PC2,516.0323842366537,402.1622063915582,0.7793352097203373
Monothalamida,XGBoost,Organic_PC1,833.5486704508463,530.0295683469003,0.6358711700184467
Monothalamida,XGBoost,Organic_PC2,384.87463760375977,312.1725292809154,0.8111018466285809
Monothalamida,XGBoost,Sediment_PC1,3533.6822102864585,1824.192132054877,0.5162298201985172
Monothalamida,XGBoost,Sediment_PC2,882.621836344401,452.0788725499474,0.5121999637153156
Monothalamida,XGBoost,Trace_PC1,2316.7224934895835,3260.499739939924,1.4073760448661972
Monothalamida,XGBoost,Trace_PC2,4853.922637939453,3983.7501051305835,0.8207279765838484
ZOTUs,LightGBM,Major_PC1,0.0,0.0,
ZOTUs,LightGBM,Major_PC2,36.55425121463919,63.31382033639141,1.732050807568877
ZOTUs,LightGBM,Organic_PC1,35.99651734896401,62.34779694394023,1.7320508075688776
ZOTUs,LightGBM,Organic_PC2,7.87446132455349,13.638967096362764,1.7320508075688774
ZOTUs,LightGBM,Sediment_PC1,77.63770012571409,134.47244120053344,1.7320508075688776
ZOTUs,LightGBM,Sediment_PC2,11.050101733075017,19.139337630490836,1.7320508075688774
ZOTUs,LightGBM,Trace_PC1,0.0,0.0,
ZOTUs,LightGBM,Trace_PC2,67.38551257138089,116.71513146770297,1.732050807568877
ZOTUs,RF,Major_PC1,125.5074472784948,64.1178523367823,0.5108689064044779
ZOTUs,RF,Major_PC2,80.53977679857097,21.522485108749127,0.26722802029333415
ZOTUs,RF,Organic_PC1,213.16939213000612,189.04400853236464,0.8868252925216953
ZOTUs,RF,Organic_PC2,137.9729633693037,92.76818022064455,0.6723649181349951
ZOTUs,RF,Sediment_PC1,66.60804262593508,7.575429676630541,0.11373145611219186
ZOTUs,RF,Sediment_PC2,22.373839596271477,19.79125183430933,0.8845710969344518
ZOTUs,RF,Trace_PC1,72.38099611829362,33.75824041162222,0.4663964607015147
ZOTUs,RF,Trace_PC2,72.47049883240418,95.47175245003945,1.3173878197089293
ZOTUs,XGBoost,Major_PC1,230.40079752604166,176.82036763792232,0.7674468558119324
ZOTUs,XGBoost,Major_PC2,131.38602701822916,30.981122388882767,0.23580226217346759
ZOTUs,XGBoost,Organic_PC1,213.81888326009116,84.88186987559487,0.3969802319673694
ZOTUs,XGBoost,Organic_PC2,281.07327524820965,314.5922109152917,1.1192533713405595
ZOTUs,XGBoost,Sediment_PC1,166.0989227294922,24.039275939590368,0.14472866858227976
