Target,Model,Feature,Top_Frequency
Monothalamida,LightGBM,Sediment_PC1,3
Monothalamida,LightGBM,Sediment_PC2,2
Monothalamida,LightGBM,Trace_PC2,1
Monothalamida,RF,Major_PC1,1
Monothalamida,RF,Organic_PC1,1
Monothalamida,RF,Trace_PC1,2
Monothalamida,RF,Trace_PC2,2
Monothalamida,XGBoost,Major_PC1,2
Monothalamida,XGBoost,Sediment_PC1,1
Monothalamida,XGBoost,Trace_PC1,1
Monothalamida,XGBoost,Trace_PC2,2
ZOTUs,LightGBM,Sediment_PC1,3
ZOTUs,LightGBM,Sediment_PC2,2
ZOTUs,LightGBM,Trace_PC2,1
ZOTUs,RF,Major_PC1,1
ZOTUs,RF,Organic_PC1,2
ZOTUs,RF,Organic_PC2,1
ZOTUs,RF,Trace_PC1,1
ZOTUs,RF,Trace_PC2,1
ZOTUs,XGBoost,Major_PC1,1
ZOTUs,XGBoost,Organic_PC1,1
ZOTUs,XGBoost,Organic_PC2,1
ZOTUs,XGBoost,Sediment_PC1,1
ZOTUs,XGBoost,Trace_PC1,1
ZOTUs,XGBoost,Trace_PC2,1
reads,LightGBM,Sediment_PC1,3
reads,LightGBM,Sediment_PC2,2
reads,LightGBM,Trace_PC2,1
reads,RF,Major_PC1,2
reads,RF,Major_PC2,1
reads,RF,Trace_PC1,2
reads,RF,Trace_PC2,1
reads,XGBoost,Major_PC1,2
reads,XGBoost,Sediment_PC1,1
reads,XGBoost,Trace_PC1,1
reads,XGBoost,Trace_PC2,2
