Target,Model,Fold,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
Miliolida,GAM,1.0,-0.9800697151908756,0.5850009718122466,167.29261092202813,107.50848888513413,118.74384658414722,77.655545127095
Miliolida,LightGBM,1.0,-1.363320148796265,0.08625653817354517,163.56126266193277,163.46532331807143,103.49296120362995,95.9490331623651
Miliolida,Linear,1.0,-3.152528818609891,0.4187944536009723,198.60169813812993,125.52335014973437,127.83873603271697,91.88441591840795
Miliolida,RF,1.0,-0.09355385534052703,0.8139687969575397,145.85913990360118,73.80223358128728,78.99534260874562,47.60086834737093
Miliolida,Ridge,1.0,-1.262902221099716,0.24355230632284142,164.73898209876924,147.49473389519062,99.68146099043975,88.87753027871342
Miliolida,XGBoost,1.0,-0.7501835425694784,0.9998576442400614,159.8436015746967,0.9812995435056995,85.97440083821614,0.7168016149662435
Monothalamida,GAM,1.0,-1.5218773086140935,0.5203830985938162,26025.07068597309,18222.883878547505,18995.355709388157,12485.982505249414
Monothalamida,LightGBM,1.0,-0.888495518699781,0.042882629614069634,24574.221306963474,27171.307764261797,16000.675655117628,17032.594652867017
Monothalamida,Linear,1.0,-4.484874479063601,0.413694628452501,30788.895289569347,20318.664375574415,21874.883263534266,14379.402860939119
Monothalamida,RF,1.0,-0.6686075090603261,0.7538252618095621,24954.93716418502,13152.613928332954,15057.080670308373,8181.221279173318
Monothalamida,Ridge,1.0,-2.387098079971805,0.2521515071540796,25733.9065315551,23719.91769831606,17546.17624885087,14808.015454996135
Monothalamida,XGBoost,1.0,-0.7715851863225301,0.9999994039535522,26903.583475628173,16.397192345287436,15168.322916666666,12.64841454103589
Other,GAM,1.0,-0.6622065217388803,0.5577461235243317,63150.77467985006,40916.95961492393,44074.24737095528,28029.453430227906
Other,LightGBM,1.0,-0.6613351748520075,0.054802001105547414,62200.86741440415,65144.10752828103,39549.199342436,38479.9070417022
Other,Linear,1.0,-2.0068318798039635,0.4348022595596748,73724.07427835785,46951.8869418902,49030.6469175856,33823.728436639874
Other,RF,1.0,-0.1036230516007346,0.7617288299403494,59652.52483650809,30462.848945507154,33418.847476030256,19306.715027101614
Other,Ridge,1.0,-1.0311834765371448,0.2734435287496311,63743.953314982085,55835.94968674836,40510.47244475971,33453.77371365291
Other,XGBoost,1.0,-0.1052477757136027,0.9997226397196451,60490.594698595756,565.3662106510793,35319.747395833336,374.85917550325394
Rotaliida,GAM,1.0,-0.8302627730289881,0.5614277344856186,13281.5100427941,7868.979025981316,9518.870113777943,5457.91942905096
Rotaliida,LightGBM,1.0,-0.4914674760724693,0.04812616807577619,12203.14671705118,12683.08906610459,7699.1890760531,7452.592203437311
Rotaliida,Linear,1.0,-2.140576102174006,0.43471951824010374,15389.040946044603,9030.761849418346,10202.012693853836,6422.680516602738
Rotaliida,RF,1.0,-0.0019910970721068733,0.8308309995635811,11716.851755632431,5303.293634429127,6589.2954644667325,3298.102308376885
Rotaliida,Ridge,1.0,-0.8352803495848707,0.2673722438405621,12731.808742662366,10879.942043546707,8057.236206191869,6502.03883833377
Rotaliida,XGBoost,1.0,-0.17197346687316895,0.9999925891558329,11990.261969789843,13.03896825161708,6802.742919921875,10.36760782574614
Textulariida,GAM,1.0,-13.452695326233622,0.3745335374424707,417.29462164240766,225.98376031125997,268.63810071478036,143.08898976593363
Textulariida,LightGBM,1.0,-0.4558343380411702,0.04571125468070517,278.74680114284814,293.20520257601925,172.0972907331275,169.4793500695687
Textulariida,Linear,1.0,-6.656491490860424,0.27726704377872013,440.4375139481804,242.90752921068295,288.00334965321355,163.58417008590055
Textulariida,RF,1.0,-5.397412881785617,0.631689996866556,371.63525675523283,172.38843032626178,189.14838052692983,93.46970383476749
