Target,Model,Feature,mean,std,Importance_CV
Miliolida,LightGBM,Major_PC1,0.0,0.0,
Miliolida,LightGBM,Major_PC2,0.0,0.0,
Miliolida,LightGBM,Organic_PC1,0.0,0.0,
Miliolida,LightGBM,Organic_PC2,2.824780803427952,4.892663871782445,1.732050807568877
Miliolida,LightGBM,Sediment_PC1,21.801909681910647,37.76201527109707,1.7320508075688776
Miliolida,LightGBM,Sediment_PC2,9.421392967325128,16.318331297479226,1.732050807568877
Miliolida,LightGBM,Trace_PC1,0.0,0.0,
Miliolida,LightGBM,Trace_PC2,11.730860700984067,20.318446750617458,1.7320508075688772
Miliolida,RF,Major_PC1,19.717180908967762,6.0910321635155364,0.3089200323127945
Miliolida,RF,Major_PC2,8.685781777041024,5.648098004666834,0.6502693884845637
Miliolida,RF,Organic_PC1,4.918651294987755,5.987579361808147,1.2173213758636763
Miliolida,RF,Organic_PC2,7.2933857226686145,5.0775788028201605,0.696189533351912
Miliolida,RF,Sediment_PC1,4.840727755153041,1.376707489502219,0.2844009329044976
Miliolida,RF,Sediment_PC2,2.356406749159985,1.2552408966926896,0.5326927947138835
Miliolida,RF,Trace_PC1,12.735043975987317,8.584090113963175,0.6740526479648588
Miliolida,RF,Trace_PC2,8.811977188213431,8.612102190097355,0.9773178035023262
Miliolida,XGBoost,Major_PC1,23.735089937845867,22.441590808180656,0.9455026657555355
Miliolida,XGBoost,Major_PC2,11.235814094543457,3.560921668855401,0.3169260045504599
Miliolida,XGBoost,Organic_PC1,3.504005193710327,1.0486650181174348,0.29927610267238863
Miliolida,XGBoost,Organic_PC2,8.06768544514974,0.2862175771742283,0.03547703726430003
Miliolida,XGBoost,Sediment_PC1,15.73517902692159,11.645558752918168,0.7400969974979998
Miliolida,XGBoost,Sediment_PC2,8.354005018870035,5.99919577760442,0.7181221179605987
Miliolida,XGBoost,Trace_PC1,15.244104385375977,5.9206827195403084,0.3883916411134102
Miliolida,XGBoost,Trace_PC2,6.744157552719116,5.285138159239255,0.7836617276398573
Monothalamida,LightGBM,Major_PC1,0.0,0.0,
Monothalamida,LightGBM,Major_PC2,503.8471805512513,872.6889159650968,1.7320508075688774
Monothalamida,LightGBM,Organic_PC1,216.05631062425508,374.22050729709326,1.7320508075688776
Monothalamida,LightGBM,Organic_PC2,0.0,0.0,
Monothalamida,LightGBM,Sediment_PC1,2169.123381576807,3757.031904776643,1.7320508075688776
Monothalamida,LightGBM,Sediment_PC2,397.79502349080377,689.0011916841272,1.7320508075688774
Monothalamida,LightGBM,Trace_PC1,0.0,0.0,
Monothalamida,LightGBM,Trace_PC2,1859.8395079516993,3221.336521696244,1.7320508075688772
Monothalamida,RF,Major_PC1,2183.209413002713,1217.4623255952356,0.5576479829851864
Monothalamida,RF,Major_PC2,1382.2250842247065,1429.604957015778,1.0342779720407453
Monothalamida,RF,Organic_PC1,1528.835257483546,1456.5994608295466,0.9527510918521731
Monothalamida,RF,Organic_PC2,1306.5703262044474,693.3917870477715,0.5306961080786646
Monothalamida,RF,Sediment_PC1,1514.9831688513757,290.47548049400433,0.19173512053882152
Monothalamida,RF,Sediment_PC2,273.814566917079,137.53691380438087,0.5022994771714686
Monothalamida,RF,Trace_PC1,2431.8239046741,614.3935469485383,0.252647219137718
Monothalamida,RF,Trace_PC2,2851.7432578818,1817.5120723740845,0.6373336966260015
Monothalamida,XGBoost,Major_PC1,5427.285909016927,5944.589114498127,1.0953152669959305
Monothalamida,XGBoost,Major_PC2,516.0323842366537,402.1622063915582,0.7793352097203373
Monothalamida,XGBoost,Organic_PC1,833.5486704508463,530.0295683469003,0.6358711700184467
Monothalamida,XGBoost,Organic_PC2,384.87463760375977,312.1725292809154,0.8111018466285809
Monothalamida,XGBoost,Sediment_PC1,3533.6822102864585,1824.192132054877,0.5162298201985172
Monothalamida,XGBoost,Sediment_PC2,882.621836344401,452.0788725499474,0.5121999637153156
Monothalamida,XGBoost,Trace_PC1,2316.7224934895835,3260.499739939924,1.4073760448661972
Monothalamida,XGBoost,Trace_PC2,4853.922637939453,3983.7501051305835,0.8207279765838484
Other,LightGBM,Major_PC1,0.0,0.0,
Other,LightGBM,Major_PC2,1677.9863514085353,2906.357615046707,1.732050807568877
Other,LightGBM,Organic_PC1,277.89880146761453,481.3348435044048,1.732050807568877
Other,LightGBM,Organic_PC2,932.0512608986246,1614.3601391350533,1.7320508075688774
Other,LightGBM,Sediment_PC1,5998.085868453561,10388.989472322462,1.7320508075688776
Other,LightGBM,Sediment_PC2,2072.492110961864,3589.661634471623,1.732050807568877
Other,LightGBM,Trace_PC1,0.0,0.0,
Other,LightGBM,Trace_PC2,3318.7520444252827,5748.247158667674,1.7320508075688774
Other,RF,Major_PC1,4801.256127680023,2585.748565164728,0.5385566810854906
Other,RF,Major_PC2,3993.1595100643203,3465.1678472102744,0.8677759649913055
Other,RF,Organic_PC1,2496.9047849842323,2305.150733687747,0.9232032985600226
Other,RF,Organic_PC2,3583.9328332483824,2465.1868037997756,0.6878440301475726
Other,RF,Sediment_PC1,3050.2536828522448,617.3608218627401,0.20239654994382486
Other,RF,Sediment_PC2,624.6472413965654,543.0530571309796,0.8693755789537143
Other,RF,Trace_PC1,3759.459415080803,2085.6531346521033,0.5547747440192211
Other,RF,Trace_PC2,4546.548556566865,2993.1974811264554,0.658344993765258
Other,XGBoost,Major_PC1,14904.391398111979,15809.93140295374,1.060756590501003
Other,XGBoost,Major_PC2,1934.5095723470051,2191.1276390787175,1.1326527769104682
Other,XGBoost,Organic_PC1,1628.2769063313801,1044.8144051284298,0.6416687487648944
Other,XGBoost,Organic_PC2,2364.4529622395835,1600.988123942212,0.6771071996398583
Other,XGBoost,Sediment_PC1,7313.932861328125,3845.3838861853937,0.5257614417706203
Other,XGBoost,Sediment_PC2,3182.748006184896,2313.5042474978877,0.72688891580551
Other,XGBoost,Trace_PC1,4868.717529296875,1933.3533899605145,0.3970970544762171
Other,XGBoost,Trace_PC2,7433.415120442708,3522.703590807751,0.47390109844934253
Rotaliida,LightGBM,Major_PC1,0.0,0.0,
Rotaliida,LightGBM,Major_PC2,275.7974787342518,477.69524576712104,1.7320508075688772
Rotaliida,LightGBM,Organic_PC1,0.0,0.0,
Rotaliida,LightGBM,Organic_PC2,212.47295143708376,368.01394712314374,1.732050807568877
Rotaliida,LightGBM,Sediment_PC1,1087.7822481193782,1884.0941213142576,1.732050807568877
