,BestLam,BestLam,EDOF,EDOF,CV_R2,CV_R2
,mean,std,mean,std,mean,std
Target,,,,,,
Miliolida,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-3.7252074728723934,5.589019004294717
Monothalamida,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-4.790759289158032,6.629538360154348
Other,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-1.7172345663479367,1.1561639049632229
Rotaliida,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-1.9382050908931692,2.5464926888923074
Textulariida,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-11.605488481748905,18.920268596272173
reads,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-3.164832091346241,3.375385752339922
shannon,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-0.43790563936702465,0.25191750197545054
simpson,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-0.6256695013200214,0.5407254914756904
zotu,0.10000000000000002,0.0,11.17092457932946,2.9356031243505183,-0.9918467347800256,1.5799691647328151
