Target,Model,R2_Mean,R2_SD
reads,Linear,-2.390271695235938,2.902651863034072
reads,Ridge,-1.207161027026278,1.8684278779706276
reads,RF,-0.14851763727953413,0.03651491932406442
reads,XGBoost,-0.22166999181111655,0.016071162956338644
reads,LightGBM,-0.6354317707638847,0.9037561530974959
reads,GAM,-0.7849218146418937,0.8448175957318652
zotu,Linear,-0.864886826432595,0.7227252580784294
zotu,Ridge,-0.3472513986829308,0.31958256620402575
zotu,RF,-0.2558114403338126,0.26375564163197074
zotu,XGBoost,-0.44574590524037677,0.33611969550036586
zotu,LightGBM,-0.19140195747693522,0.11936744918213875
zotu,GAM,-0.777432914608645,0.7814792701459331
shannon,Linear,-6.506699577446831,3.106120911464553
shannon,Ridge,-3.651357250219212,3.713392581025238
shannon,RF,-3.956767945719864,3.8972250344862203
shannon,XGBoost,-5.201768701954786,3.176572057815838
shannon,LightGBM,-3.1978406276384272,4.1038890715895375
shannon,GAM,-6.8339912479189,3.9021790456802408
simpson,Linear,-5.533006189027702,7.001247177902484
simpson,Ridge,-2.882643287119121,3.9325203637674786
simpson,RF,-3.46385517476757,3.6094283495660036
simpson,XGBoost,-3.085235835914544,3.1264118717007903
simpson,LightGBM,-2.2061905637926214,3.3824322301980274
simpson,GAM,-9.289691412189052,5.102797321262403
Rotaliida,Linear,-2.140576102174006,1.9519632326138179
Rotaliida,Ridge,-0.8352803495848707,1.0764656361397646
Rotaliida,RF,-0.0019910970721068733,0.3172447599386291
Rotaliida,XGBoost,-0.17197346687316895,0.042637288291226656
Rotaliida,LightGBM,-0.4914674760724693,0.6031326698017371
Rotaliida,GAM,-0.8302627730289881,0.6352375491861056
Textulariida,Linear,-6.656491490860424,8.998980974812335
Textulariida,Ridge,-1.0396223517419123,0.8753637177035449
Textulariida,RF,-5.397412881785617,5.336429351832925
Textulariida,XGBoost,-4.583300709724426,7.347922617946295
Textulariida,LightGBM,-0.4558343380411702,0.24435536645477304
Textulariida,GAM,-13.452695326233622,18.186891788518537
Monothalamida,Linear,-4.484874479063601,6.619119028773063
Monothalamida,Ridge,-2.387098079971805,3.966809175463012
Monothalamida,RF,-0.6686075090603261,0.8037953266397245
Monothalamida,XGBoost,-0.7715851863225301,0.551613667016064
Monothalamida,LightGBM,-0.888495518699781,1.3532098336541036
Monothalamida,GAM,-1.5218773086140935,2.168754742775667
Miliolida,Linear,-3.152528818609891,4.573425108995183
Miliolida,Ridge,-1.262902221099716,2.0845355649172954
Miliolida,RF,-0.09355385534052703,0.1633390830142215
Miliolida,XGBoost,-0.7501835425694784,1.1881642243527832
Miliolida,LightGBM,-1.363320148796265,2.3135202197431632
Miliolida,GAM,-0.9800697151908756,1.3917389111087406
Other,Linear,-2.0068318798039635,2.29358811438717
Other,Ridge,-1.0311834765371448,1.5588425859490058
Other,RF,-0.1036230516007346,0.08291785747886779
Other,XGBoost,-0.1052477757136027,0.12056131722931453
Other,LightGBM,-0.6613351748520075,0.9500314796125946
Other,GAM,-0.6622065217388803,0.6719410520177145
