Target,Model,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd
Miliolida,GAM,-0.9800697151908757,1.391738911108741,167.29261092202813,92.1843670226305,118.74384658414722,47.30269144764721
Miliolida,LightGBM,-1.363320148796265,2.3135202197431632,163.56126266193277,80.84948188207238,103.49296120362995,19.133841383572218
Miliolida,Linear,-3.152528818609891,4.573425108995183,198.60169813812993,74.1575857854893,127.83873603271697,28.140026199681234
Miliolida,RF,-0.093553855340527,0.1633390830142215,145.85913990360118,95.4401975368631,78.99534260874562,38.958867127184384
Miliolida,Ridge,-1.262902221099716,2.0845355649172954,164.73898209876924,85.32511495373275,99.68146099043975,31.66265106478087
Miliolida,XGBoost,-0.7501835425694784,1.1881642243527832,159.8436015746967,93.26565448947798,85.97440083821614,31.665874581005372
Monothalamida,GAM,-1.5218773086140935,2.168754742775667,26025.07068597309,15529.875035306055,18995.355709388157,10383.013389080945
Monothalamida,LightGBM,-0.8884955186997808,1.3532098336541039,24574.221306963474,17010.474525377285,16000.675655117628,9502.608069324346
Monothalamida,Linear,-4.484874479063601,6.619119028773063,30788.895289569347,14446.545665436674,21874.883263534266,8402.973972986869
Monothalamida,RF,-0.668607509060326,0.8037953266397246,24954.937164185016,17536.412711242076,15057.080670308373,9574.365467586858
Monothalamida,Ridge,-2.387098079971805,3.9668091754630126,25733.9065315551,14795.943982814413,17546.17624885087,7747.592200996198
Monothalamida,XGBoost,-0.7715851863225301,0.551613667016064,26903.583475628173,18815.576107439814,15168.322916666666,9660.775204183126
Other,GAM,-0.6622065217388803,0.6719410520177146,63150.77467985006,41083.431592737106,44074.24737095528,22517.761493956445
Other,LightGBM,-0.6613351748520074,0.9500314796125946,62200.86741440415,44692.96234066287,39549.199342436,19881.59955859607
Other,Linear,-2.0068318798039635,2.29358811438717,73724.07427835785,39484.313331718615,49030.6469175856,18117.807482207605
Other,RF,-0.10362305160073455,0.08291785747886778,59652.52483650809,48833.01955230265,33418.847476030256,24238.198720031945
Other,Ridge,-1.0311834765371448,1.5588425859490058,63743.953314982085,42192.654218616044,40510.47244475971,18642.96362978173
Other,XGBoost,-0.10524777571360266,0.12056131722931451,60490.594698595756,51736.29466356601,35319.747395833336,25550.683877872125
Rotaliida,GAM,-0.8302627730289881,0.6352375491861056,13281.5100427941,8808.319899198328,9518.870113777943,4669.9711350477655
Rotaliida,LightGBM,-0.49146747607246927,0.6031326698017371,12203.14671705118,9106.305808251014,7699.1890760531,3874.1391036925756
Rotaliida,Linear,-2.140576102174006,1.9519632326138179,15389.040946044603,8159.916138091772,10202.012693853836,4271.176987155797
Rotaliida,RF,-0.0019910970721068364,0.3172447599386291,11716.851755632431,10322.647942666383,6589.2954644667325,5293.880659129672
Rotaliida,Ridge,-0.8352803495848709,1.0764656361397649,12731.808742662368,8820.313401964557,8057.236206191871,4292.164248919412
Rotaliida,XGBoost,-0.17197346687316892,0.04263728829122665,11990.261969789843,10034.123670939935,6802.742919921875,4606.793153471791
Textulariida,GAM,-13.452695326233622,18.186891788518537,417.29462164240766,152.83615309302076,268.63810071478036,75.43606434052595
Textulariida,LightGBM,-0.4558343380411702,0.24435536645477304,278.74680114284814,271.7536854960631,172.0972907331275,129.24752227169054
Textulariida,Linear,-6.656491490860424,8.998980974812337,440.4375139481804,307.607826952701,288.00334965321355,201.21237041953717
Textulariida,RF,-5.397412881785617,5.336429351832925,371.63525675523283,208.91275461116277,189.14838052692983,102.00616081760023
Textulariida,Ridge,-1.0396223517419123,0.8753637177035449,292.0253915776945,256.44899149161773,187.66104580407386,122.42824523683318
Textulariida,XGBoost,-4.583300709724426,7.347922617946295,408.095197143203,305.8712539845943,191.34040705362955,123.74191220662138
reads,GAM,-0.7849218146418937,0.8448175957318652,101914.08364554483,65145.046517194874,72846.38468036111,37743.47097136803
reads,LightGBM,-0.6354317707638847,0.903756153097496,98470.28809130481,70648.20045903393,62799.629228872276,33020.738941699114
reads,Linear,-2.390271695235938,2.902651863034072,119519.23774163908,61561.8439855945,81024.9351937463,30710.885485183764
reads,RF,-0.1485176372795341,0.03651491932406445,95733.3745810595,76476.99692814249,54174.56508528119,38315.78512101308
reads,Ridge,-1.207161027026278,1.8684278779706278,101891.18653783454,65463.98577517581,65965.58380998253,30471.280649520697
reads,XGBoost,-0.22166999181111655,0.016071162956338644,98429.0582883726,79119.47880703096,54974.663411458336,40478.50372012304
shannon,GAM,-6.833991247918902,3.9021790456802408,0.6619363336193501,0.2588588152656397,0.5765609805110077,0.23721544376385723
shannon,LightGBM,-3.1978406276384272,4.1038890715895375,0.4656694399116316,0.2969884714998445,0.4086455064215094,0.2854325139979309
shannon,Linear,-6.50669957744683,3.106120911464553,0.6517522677653945,0.2398888802923926,0.5731527596706066,0.21382684419486855
shannon,RF,-3.956767945719864,3.8972250344862203,0.5156363706623032,0.2666392457496967,0.44806884381330353,0.26577440440639016
shannon,Ridge,-3.651357250219212,3.7133925810252366,0.49937429127389726,0.2623667477946808,0.4341801234969851,0.2619564430509946
shannon,XGBoost,-5.201768701954786,3.176572057815838,0.583626998214187,0.21945222410572632,0.5131410941227875,0.21306917944882217
simpson,GAM,-9.289691412189052,5.102797321262403,0.030318211872812566,0.01869919030591205,0.022222188065103135,0.009923100063771945
simpson,LightGBM,-2.2061905637926214,3.3824322301980274,0.013663627450557866,0.004137815457046003,0.009662554251184967,0.001889085468411057
simpson,Linear,-5.533006189027702,7.001247177902484,0.018333073476555068,0.0012039982413015213,0.014344134871325935,0.002010180693674951
simpson,RF,-3.46385517476757,3.6094283495660036,0.016788635777005265,0.002627866073952655,0.013079008730250702,0.0012248500612700483
simpson,Ridge,-2.882643287119121,3.932520363767478,0.014971817328666065,0.0030524404784061684,0.011147994574169734,0.0015190121311933129
simpson,XGBoost,-3.085235835914544,3.1264118717007903,0.01672496251416763,0.0045374435476714225,0.013021645541825333,0.0009259578120780076
