Target,Fold,Model,Observed,Predicted,Residual
Miliolida,0,RF,51.0,100.66659713897214,-49.666597138972136
Miliolida,0,RF,26.0,106.7963858086358,-80.7963858086358
Miliolida,0,RF,67.0,101.39723717948718,-34.39723717948718
Miliolida,0,RF,70.0,81.26650001387505,-11.266500013875046
Miliolida,0,RF,89.0,79.80092553280053,9.199074467199466
Miliolida,0,RF,74.0,99.30208284770784,-25.302082847707837
Miliolida,0,RF,509.0,96.19430071317572,412.8056992868243
Miliolida,0,RF,538.0,94.70054620379622,443.2994537962038
Miliolida,0,RF,32.0,110.5230574286824,-78.5230574286824
Miliolida,0,RF,78.0,173.40236706349202,-95.40236706349202
Miliolida,0,RF,135.0,129.0129688228438,5.9870311771562115
Miliolida,0,RF,72.0,173.3242648185147,-101.3242648185147
Miliolida,0,RF,32.0,90.00883861971363,-58.00883861971363
Miliolida,0,RF,204.0,96.3822252331002,107.6177747668998
Miliolida,0,RF,83.0,92.03086610611612,-9.030866106116122
Miliolida,0,RF,84.0,121.33912115662108,-37.339121156621076
Miliolida,0,RF,74.0,102.7395833888334,-28.739583388833395
Miliolida,0,RF,75.0,88.87289452214455,-13.872894522144549
Miliolida,0,RF,174.0,106.00985266122768,67.99014733877232
Miliolida,0,RF,618.0,108.29366869241863,509.70633130758137
Miliolida,0,RF,231.0,96.82974164724166,134.17025835275834
Miliolida,0,RF,119.0,102.78317714230212,16.216822857697878
Miliolida,0,RF,7.0,105.13318076368073,-98.13318076368073
Miliolida,0,RF,84.0,189.1649918692419,-105.1649918692419
Miliolida,0,RF,61.0,105.50931956931956,-44.50931956931956
Miliolida,0,RF,68.0,118.15246875346872,-50.152468753468725
Miliolida,0,RF,54.0,176.6998799533799,-122.6998799533799
Miliolida,0,RF,65.0,93.96058237595736,-28.960582375957358
Miliolida,0,RF,101.0,90.16115481740484,10.838845182595165
Miliolida,0,RF,44.0,134.56655203130197,-90.56655203130197
Miliolida,1,RF,145.0,86.33962127314793,58.66037872685207
Miliolida,1,RF,90.0,94.1017236436354,-4.101723643635395
Miliolida,1,RF,101.0,80.5272771679452,20.4727228320548
Miliolida,1,RF,40.0,145.09130746315367,-105.09130746315367
Miliolida,1,RF,48.0,79.02487479011783,-31.024874790117835
Miliolida,1,RF,94.0,71.04069370269022,22.95930629730978
Miliolida,1,RF,927.0,168.3203874553936,758.6796125446065
Miliolida,1,RF,256.0,162.78834015542887,93.21165984457113
Miliolida,1,RF,33.0,90.21542961521598,-57.21542961521598
Miliolida,1,RF,104.0,85.45594894262123,18.544051057378766
Miliolida,1,RF,106.0,104.31507096931134,1.6849290306886644
Miliolida,2,RF,88.0,80.13842564888823,7.86157435111177
Miliolida,2,RF,102.0,95.91169690334662,6.088303096653377
Miliolida,2,RF,10.0,99.54128885750768,-89.54128885750768
Miliolida,2,RF,136.0,90.74983335293976,45.25016664706024
Miliolida,2,RF,80.0,86.72786773647844,-6.727867736478444
Miliolida,2,RF,139.0,87.31022137939992,51.68977862060008
Miliolida,2,RF,80.0,113.75639337372824,-33.756393373728244
Monothalamida,0,RF,8045.0,13094.310693395477,-5049.310693395477
Monothalamida,0,RF,10581.0,20622.948429709184,-10041.948429709184
Monothalamida,0,RF,9710.0,37352.70823063601,-27642.70823063601
Monothalamida,0,RF,11065.0,11350.863598318345,-285.8635983183449
Monothalamida,0,RF,16492.0,13196.648568808952,3295.3514311910476
Monothalamida,0,RF,11287.0,16463.95761049505,-5176.95761049505
Monothalamida,0,RF,119586.0,14718.5423091797,104867.4576908203
Monothalamida,0,RF,91943.0,22615.254505932964,69327.74549406703
Monothalamida,0,RF,17101.0,28374.67999758019,-11273.679997580191
Monothalamida,0,RF,20143.0,30004.330646570088,-9861.330646570088
Monothalamida,0,RF,34035.0,26599.709516810977,7435.290483189023
Monothalamida,0,RF,24333.0,34192.63810098789,-9859.63810098789
Monothalamida,0,RF,3538.0,48606.659131607295,-45068.659131607295
Monothalamida,0,RF,14040.0,33562.95562830503,-19522.955628305033
Monothalamida,0,RF,13377.0,12455.7313138972,921.2686861027996
Monothalamida,0,RF,13599.0,25365.632812504173,-11766.632812504173
Monothalamida,0,RF,16524.0,15827.725855361296,696.2741446387045
Monothalamida,0,RF,12983.0,16777.058330308566,-3794.058330308566
Monothalamida,0,RF,6045.0,24673.61790759796,-18628.61790759796
Monothalamida,0,RF,10175.0,20032.913020762586,-9857.913020762586
Monothalamida,0,RF,12414.0,13857.991150260845,-1443.9911502608447
Monothalamida,0,RF,13387.0,16409.506503107998,-3022.5065031079976
Monothalamida,0,RF,2512.0,13398.817826534569,-10886.817826534569
Monothalamida,0,RF,16275.0,38264.9078629759,-21989.907862975902
Monothalamida,0,RF,14756.0,13017.08012617381,1738.9198738261894
Monothalamida,0,RF,10643.0,23626.54005037186,-12983.54005037186
Monothalamida,0,RF,9962.0,34697.4936045732,-24735.493604573203
Monothalamida,0,RF,15791.0,17364.450671112212,-1573.4506711122121
Monothalamida,0,RF,15066.0,20242.04516682762,-5176.045166827618
Monothalamida,0,RF,11208.0,17928.250731635024,-6720.250731635024
Monothalamida,1,RF,30574.0,11274.0636530846,19299.936346915398
Monothalamida,1,RF,12388.0,12472.991952764089,-84.99195276408864
Monothalamida,1,RF,8734.0,12689.692805860075,-3955.692805860075
Monothalamida,1,RF,6726.0,25360.555828279288,-18634.555828279288
Monothalamida,1,RF,9899.0,15035.793745818784,-5136.793745818784
Monothalamida,1,RF,14729.0,12871.371207725871,1857.6287922741285
Monothalamida,1,RF,135946.0,17186.567910012287,118759.4320899877
Monothalamida,1,RF,62644.0,17698.84131870943,44945.15868129057
Monothalamida,1,RF,9934.0,16260.141263466288,-6326.141263466288
Monothalamida,1,RF,11259.0,16349.467998897526,-5090.467998897526
Monothalamida,1,RF,67829.0,23424.879128768385,44404.120871231615
Monothalamida,2,RF,13963.0,15172.408356147997,-1209.4083561479965
Monothalamida,2,RF,12825.0,14491.046906006894,-1666.0469060068936
Monothalamida,2,RF,1328.0,12660.162033589217,-11332.162033589217
Monothalamida,2,RF,10845.0,13752.883406674864,-2907.883406674864
Monothalamida,2,RF,10000.0,12799.671151199707,-2799.6711511997073
Monothalamida,2,RF,14004.0,24439.148370041334,-10435.148370041334
Monothalamida,2,RF,11946.0,18516.90002434342,-6570.90002434342
Other,0,RF,31999.0,44363.74100080473,-12364.74100080473
Other,0,RF,36001.0,52019.00830987067,-16018.008309870667
Other,0,RF,31400.0,69955.5783063603,-38555.5783063603
Other,0,RF,34121.0,37220.853511557885,-3099.853511557885
Other,0,RF,41551.0,40618.87677700077,932.1232229992311
Other,0,RF,27547.0,51331.12460551947,-23784.12460551947
Other,0,RF,246625.0,44340.75885668496,202284.24114331504
Other,0,RF,208514.0,57282.2141832334,151231.7858167666
Other,0,RF,34774.0,64679.4194105339,-29905.419410533897
Other,0,RF,44721.0,80309.00433340271,-35588.004333402714
Other,0,RF,94229.0,57313.9745947386,36915.0254052614
Other,0,RF,63423.0,82502.40690685704,-19079.40690685704
Other,0,RF,38082.0,79116.91756843156,-41034.917568431556
Other,0,RF,44906.0,65876.61907196968,-20970.619071969675
Other,0,RF,39901.0,40075.0406699828,-174.04066998280177
Other,0,RF,42382.0,63461.69907721439,-21079.69907721439
Other,0,RF,56484.0,45795.63251297313,10688.367487026873
Other,0,RF,31548.0,46936.043430902406,-15388.043430902406
Other,0,RF,32493.0,51949.84447767509,-19456.84447767509
Other,0,RF,34000.0,53677.1931758519,-19677.1931758519
Other,0,RF,38079.0,42812.799096930845,-4733.799096930845
Other,0,RF,57280.0,53299.52450234487,3980.4754976551267
Other,0,RF,6364.0,49356.35430434842,-42992.35430434842
Other,0,RF,47566.0,103391.31951781549,-55825.319517815486
Other,0,RF,41845.0,48046.68327768063,-6201.683277680633
Other,0,RF,34012.0,57556.88541822065,-23544.88541822065
Other,0,RF,29038.0,90421.99828388276,-61383.99828388276
Other,0,RF,39365.0,45096.83349367298,-5731.833493672981
Other,0,RF,43255.0,51139.26176860637,-7884.261768606368
Other,0,RF,30752.0,60813.26969515202,-30061.26969515202
Other,1,RF,79976.0,36842.033733912605,43133.966266087395
Other,1,RF,39969.0,40096.07801817361,-127.07801817361178
Other,1,RF,28123.0,33178.76311626906,-5055.7631162690595
Other,1,RF,15978.0,59408.84050963404,-43430.84050963404
Other,1,RF,30002.0,42041.227875166696,-12039.227875166696
Other,1,RF,43718.0,37893.28789851496,5824.712101485042
Other,1,RF,393021.0,48008.90773570581,345012.09226429416
Other,1,RF,155938.0,52875.06398000848,103062.93601999152
Other,1,RF,19241.0,47564.292997058044,-28323.292997058044
Other,1,RF,55713.0,47310.225636988136,8402.774363011864
Other,1,RF,104894.0,57713.366089362295,47180.633910637705
Other,2,RF,45932.0,44324.61149662571,1607.3885033742918
Other,2,RF,43735.0,40549.33170060774,3185.6682993922586
Other,2,RF,2777.0,37665.7204353724,-34888.7204353724
Other,2,RF,32865.0,42554.40447339023,-9689.404473390226
Other,2,RF,34689.0,38996.57828492086,-4307.578284920863
Other,2,RF,48552.0,54629.80654904357,-6077.806549043569
Other,2,RF,41282.0,50902.05986380061,-9620.059863800612
Rotaliida,0,RF,5368.0,9554.887067460317,-4186.887067460317
Rotaliida,0,RF,5455.0,10346.72163293651,-4891.721632936509
Rotaliida,0,RF,5475.0,12273.598851190478,-6798.598851190478
Rotaliida,0,RF,8775.0,6990.807386904763,1784.192613095237
Rotaliida,0,RF,6041.0,4946.763222222222,1094.2367777777781
Rotaliida,0,RF,5874.0,8073.626244047619,-2199.6262440476194
Rotaliida,0,RF,41206.0,7834.030775793651,33371.96922420635
Rotaliida,0,RF,40518.0,8537.398912698414,31980.601087301584
Rotaliida,0,RF,8522.0,10697.857763888887,-2175.8577638888873
Rotaliida,0,RF,7497.0,14372.460369047618,-6875.460369047618
Rotaliida,0,RF,13944.0,12912.08007936508,1031.9199206349203
Rotaliida,0,RF,15545.0,17171.860696428572,-1626.8606964285718
Rotaliida,0,RF,2268.0,9771.912847222222,-7503.912847222222
Rotaliida,0,RF,6712.0,9432.021924603176,-2720.0219246031756
Rotaliida,0,RF,6882.0,7214.705365079365,-332.70536507936504
Rotaliida,0,RF,7034.0,12637.620904761909,-5603.620904761909
Rotaliida,0,RF,9821.0,9929.554740079366,-108.55474007936573
Rotaliida,0,RF,5183.0,8136.46510515873,-2953.46510515873
