Target,Fold,Model,Observed,Predicted
reads,0,Linear,45571.0,186777.3742659394
reads,0,Linear,52170.0,238325.31538988533
reads,0,Linear,46733.0,29698.69315805426
reads,0,Linear,54126.0,-6640.688080167107
reads,0,Linear,64258.0,46200.48071974383
reads,0,Linear,44858.0,75350.51377860074
reads,0,Linear,408549.0,94130.66364354757
reads,0,Linear,342266.0,92104.96494175943
reads,0,Linear,60525.0,144829.32017709815
reads,0,Linear,72569.0,166754.76463543013
reads,0,Linear,142616.0,121151.4076798644
reads,0,Linear,103466.0,43528.74581359557
reads,0,Linear,43948.0,170811.54685576714
reads,0,Linear,66002.0,167835.62349667778
reads,0,Linear,60337.0,113095.33166923425
reads,0,Linear,63232.0,269201.52268532215
reads,0,Linear,83017.0,74978.9281561586
reads,0,Linear,49853.0,72142.28964356298
reads,0,Linear,45306.0,-26346.481000079963
reads,0,Linear,53179.0,59224.050384149356
reads,0,Linear,56140.0,90482.66389133292
reads,0,Linear,86438.0,26367.02534222517
reads,0,Linear,9716.0,52559.80166522566
reads,0,Linear,71027.0,393413.386202784
reads,0,Linear,63092.0,165340.89772620617
reads,0,Linear,49702.0,116428.81430568239
reads,0,Linear,44130.0,175214.3223390093
reads,0,Linear,61099.0,32265.674297801263
reads,0,Linear,65736.0,54697.18403526393
reads,0,Linear,46956.0,53931.9509931432
reads,0,Ridge,45571.0,69502.83513502372
reads,0,Ridge,52170.0,103966.67694544006
reads,0,Ridge,46733.0,60001.60136536855
reads,0,Ridge,54126.0,67532.22812423017
reads,0,Ridge,64258.0,107124.56240746961
reads,0,Ridge,44858.0,123823.82859704754
reads,0,Ridge,408549.0,120186.7760279456
reads,0,Ridge,342266.0,139164.16708189066
reads,0,Ridge,60525.0,131351.74782381894
reads,0,Ridge,72569.0,131009.43428081185
reads,0,Ridge,142616.0,125945.5300428325
reads,0,Ridge,103466.0,128135.81297153526
reads,0,Ridge,43948.0,157971.938291541
reads,0,Ridge,66002.0,126204.17100716234
reads,0,Ridge,60337.0,107779.25914056553
reads,0,Ridge,63232.0,146244.6188828258
reads,0,Ridge,83017.0,72757.77395096107
reads,0,Ridge,49853.0,105065.41182580861
reads,0,Ridge,45306.0,119991.11276223764
reads,0,Ridge,53179.0,113663.5733711662
reads,0,Ridge,56140.0,106765.37569141024
reads,0,Ridge,86438.0,111669.49052695151
reads,0,Ridge,9716.0,110856.32976025972
reads,0,Ridge,71027.0,179064.36427136534
reads,0,Ridge,63092.0,120926.08065240634
reads,0,Ridge,49702.0,125579.09431853135
reads,0,Ridge,44130.0,8143.180201647454
reads,0,Ridge,61099.0,107051.09062914971
reads,0,Ridge,65736.0,118802.87981495161
reads,0,Ridge,46956.0,107515.05963720876
