Target,Model,Feature,Top_Frequency
Miliolida,LightGBM,Sediment_PC1,3
Miliolida,LightGBM,Sediment_PC2,2
Miliolida,LightGBM,Trace_PC2,1
Miliolida,RF,Major_PC1,3
Miliolida,RF,Major_PC2,1
Miliolida,RF,Trace_PC1,2
Miliolida,XGBoost,Major_PC1,2
Miliolida,XGBoost,Major_PC2,1
Miliolida,XGBoost,Sediment_PC1,2
Miliolida,XGBoost,Trace_PC1,1
Monothalamida,LightGBM,Sediment_PC1,3
Monothalamida,LightGBM,Sediment_PC2,2
Monothalamida,LightGBM,Trace_PC2,1
Monothalamida,RF,Major_PC1,1
Monothalamida,RF,Organic_PC1,1
Monothalamida,RF,Trace_PC1,2
Monothalamida,RF,Trace_PC2,2
Monothalamida,XGBoost,Major_PC1,2
Monothalamida,XGBoost,Sediment_PC1,1
Monothalamida,XGBoost,Trace_PC1,1
Monothalamida,XGBoost,Trace_PC2,2
Other,LightGBM,Sediment_PC1,3
Other,LightGBM,Sediment_PC2,2
Other,LightGBM,Trace_PC2,1
Other,RF,Major_PC1,2
Other,RF,Major_PC2,1
Other,RF,Organic_PC2,1
Other,RF,Trace_PC1,1
Other,RF,Trace_PC2,1
Other,XGBoost,Major_PC1,2
Other,XGBoost,Sediment_PC1,1
Other,XGBoost,Trace_PC1,1
Other,XGBoost,Trace_PC2,2
Rotaliida,LightGBM,Sediment_PC1,3
Rotaliida,LightGBM,Sediment_PC2,2
Rotaliida,LightGBM,Trace_PC2,1
Rotaliida,RF,Major_PC1,1
Rotaliida,RF,Major_PC2,1
Rotaliida,RF,Organic_PC2,2
Rotaliida,RF,Sediment_PC1,1
Rotaliida,RF,Trace_PC2,1
Rotaliida,XGBoost,Major_PC1,2
Rotaliida,XGBoost,Organic_PC2,1
Rotaliida,XGBoost,Sediment_PC1,1
Rotaliida,XGBoost,Trace_PC1,1
Rotaliida,XGBoost,Trace_PC2,1
Textulariida,LightGBM,Major_PC2,1
Textulariida,LightGBM,Sediment_PC1,2
Textulariida,LightGBM,Sediment_PC2,2
Textulariida,LightGBM,Trace_PC2,1
Textulariida,RF,Major_PC1,1
Textulariida,RF,Trace_PC1,3
Textulariida,RF,Trace_PC2,2
Textulariida,XGBoost,Major_PC1,2
Textulariida,XGBoost,Sediment_PC1,2
Textulariida,XGBoost,Trace_PC2,2
reads,LightGBM,Sediment_PC1,3
reads,LightGBM,Sediment_PC2,2
reads,LightGBM,Trace_PC2,1
reads,RF,Major_PC1,2
reads,RF,Major_PC2,1
reads,RF,Trace_PC1,2
reads,RF,Trace_PC2,1
reads,XGBoost,Major_PC1,2
reads,XGBoost,Sediment_PC1,1
reads,XGBoost,Trace_PC1,1
reads,XGBoost,Trace_PC2,2
shannon,LightGBM,Organic_PC1,1
shannon,LightGBM,Sediment_PC1,2
shannon,LightGBM,Sediment_PC2,3
shannon,RF,Major_PC1,1
shannon,RF,Sediment_PC1,1
shannon,RF,Sediment_PC2,2
shannon,RF,Trace_PC1,1
shannon,RF,Trace_PC2,1
shannon,XGBoost,Major_PC1,1
shannon,XGBoost,Major_PC2,1
shannon,XGBoost,Sediment_PC1,1
shannon,XGBoost,Trace_PC1,2
shannon,XGBoost,Trace_PC2,1
simpson,LightGBM,Organic_PC2,1
simpson,LightGBM,Sediment_PC1,2
simpson,LightGBM,Sediment_PC2,3
simpson,RF,Major_PC1,1
simpson,RF,Major_PC2,2
simpson,RF,Organic_PC2,2
simpson,RF,Sediment_PC2,1
simpson,XGBoost,Major_PC1,1
simpson,XGBoost,Major_PC2,2
simpson,XGBoost,Organic_PC2,2
simpson,XGBoost,Trace_PC1,1
zotu,LightGBM,Sediment_PC1,3
zotu,LightGBM,Sediment_PC2,2
zotu,LightGBM,Trace_PC2,1
zotu,RF,Major_PC1,1
zotu,RF,Organic_PC1,2
zotu,RF,Organic_PC2,1
zotu,RF,Trace_PC1,1
zotu,RF,Trace_PC2,1
zotu,XGBoost,Major_PC1,1
zotu,XGBoost,Organic_PC1,1
zotu,XGBoost,Organic_PC2,1
zotu,XGBoost,Sediment_PC1,1
zotu,XGBoost,Trace_PC1,1
zotu,XGBoost,Trace_PC2,1
