Target,Model,Fold,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
Miliolida,GAM,2.0,-0.9191048597379889,0.6141720064002281,156.81463141844637,103.42580834448117,121.5249781732391,77.4884582982736
Miliolida,LightGBM,2.0,-0.08935465160200211,0.0,156.20910498005108,168.22776363928813,98.78183235867446,99.67766103726045
Miliolida,Linear,2.0,-2.2332999908042197,0.3251960346763112,188.2745659238757,137.84542412850882,135.36287108080575,96.79941314109263
Miliolida,RF,2.0,-0.14700443090457133,0.7519263254673001,157.8897418269541,82.22053304152013,100.9125157117208,55.781423071909515
Miliolida,Ridge,2.0,-0.38462324214876004,0.20749084624056446,162.04003324819865,149.38547867158394,102.2159295551779,91.89661267337829
Miliolida,XGBoost,2.0,-0.147587788105011,0.9999701619148255,162.28037852380436,0.7242131177231276,91.50720138549805,0.5194435134530068
Monothalamida,GAM,2.0,-2.8766596997109195,0.5249724689518019,27695.653816557962,18705.91363108949,18723.752406734413,12450.158078899194
Monothalamida,LightGBM,2.0,-1.4274105422655123,0.0,25294.213251599656,27290.095616847586,16553.303394811817,16412.64720123261
Monothalamida,Linear,2.0,-7.37209444062251,0.3456417809643673,31528.328671699495,22036.417601688656,22351.962605837114,15083.255554108055
Monothalamida,RF,2.0,-2.0859546379073772,0.773899699916927,26825.312481752266,12838.816539708414,16642.788709184082,8126.701110794507
Monothalamida,Ridge,2.0,-2.365487711469647,0.23677244771658681,26413.70616235169,23802.268810152476,16821.738324469716,14593.471375412797
Monothalamida,XGBoost,2.0,-0.39152097702026367,0.9996666789054871,25853.675523861377,285.41693163126536,14775.3494140625,198.86255247183144
Other,GAM,2.0,-1.7171716857235395,0.6063944405249133,61615.05589853256,39514.980091335136,41644.09217585925,26972.676607215253
Other,LightGBM,2.0,-0.9900146279904476,0.0,58769.58613515973,64912.64982845392,37013.773369320734,36684.952070641666
Other,Linear,2.0,-5.24670076168093,0.3882123049758038,73304.78710344683,50332.13520088163,51332.02559969206,35046.25607154764
Other,RF,2.0,-1.2828442813239538,0.7849362908228923,62023.86090350384,29268.428739484418,36923.02562377833,18522.68646042372
Other,Ridge,2.0,-1.811072785626871,0.2718540329341399,61593.68710277394,55007.73947573702,38522.44003288069,33130.36248675753
Other,XGBoost,2.0,-0.6814265489578247,0.9999801039695739,61428.63388612397,254.51758250012944,34895.6939453125,162.17691254615784
Rotaliida,GAM,2.0,-0.8477123738477397,0.6030850834331842,11926.803452632257,7631.1969421911035,8294.524296434069,5360.52814076975
Rotaliida,LightGBM,2.0,-0.3861652838266438,0.0,11118.441115589541,12578.067723561271,7116.599289248763,7142.907334072751
Rotaliida,Linear,2.0,-2.863932556054486,0.365809592652528,13624.297965397662,9937.361804150645,9431.186503311477,6894.197121351712
Rotaliida,RF,2.0,-0.46319262702415764,0.7899955779383712,11833.025678532995,5519.598993543957,7210.494596050126,3459.228329668794
Rotaliida,Ridge,2.0,-0.993796217185718,0.25509850435240533,11632.265001079362,10780.730660553203,7324.555819841106,6552.223502056945
Rotaliida,XGBoost,2.0,-0.3225669741630554,0.9991579055786133,11467.666314864251,267.30885686572026,6612.816650390625,199.42331836223602
Textulariida,GAM,2.0,-16.005257974799697,0.4235238422157937,430.8139281745213,225.33724646945743,288.0011341562133,137.85557092715737
Textulariida,LightGBM,2.0,-2.5854951536332464,0.0,252.83221696886653,292.8713797333612,161.9413075423602,156.5161495298508
Textulariida,Linear,2.0,-14.786592506408443,0.20340459071068637,348.66938107208176,263.33841997367034,236.43081362311167,152.09774250588325
Textulariida,RF,2.0,-6.937606541334543,0.5721748915524044,316.1801723658229,195.35822061132066,193.86959808046902,99.72124327950283
Textulariida,Ridge,2.0,-4.409971569007385,0.13367150562788396,275.5081957522191,274.2197849582482,178.6656156094768,144.19114070822974
Textulariida,XGBoost,2.0,-0.8132175445556641,0.9999349236488342,249.37756948855318,2.1340934169732644,135.59965286254882,1.4445121943950654
reads,GAM,2.0,-1.7468629030000558,0.5886248721505584,100526.87262660374,65453.446392652215,68351.24380502706,44452.48267496329
reads,LightGBM,2.0,-0.9787488958874914,0.0,94943.13834063355,104361.96100489497,60482.209158794416,60188.869014043456
reads,Linear,2.0,-5.305512644148552,0.37756342189893893,118220.68585487851,81822.13405423058,83178.78189883086,56850.50594416057
reads,RF,2.0,-1.252429541511201,0.7890907598345931,100091.63500412839,46342.929474436365,60318.52861082298,28905.943490338086
reads,Ridge,2.0,-1.7963399321459002,0.26290117318906603,99420.19043610388,89125.21146119953,62443.185005765896,54135.85823777512
reads,XGBoost,2.0,-0.5264266014099122,0.9997704863548279,98590.80678259989,1029.9964427485397,56899.949609375,777.1900658607483
shannon,GAM,2.0,-0.9410257354705125,0.31500575779482054,0.4134686494461601,0.2876405573816894,0.3276901936026845,0.20349540290024287
