alpha,Model,Target,Fold,max_depth,min_samples_leaf,min_samples_split,n_estimators,learning_rate
100.0,Ridge,reads,0,,,,,
,RF,reads,0,3.0,1.0,5.0,500.0,
,XGBoost,reads,0,3.0,,,200.0,0.05
,LightGBM,reads,0,3.0,,,100.0,0.05
100.0,Ridge,reads,1,,,,,
,RF,reads,1,5.0,2.0,2.0,200.0,
,XGBoost,reads,1,3.0,,,200.0,0.05
,LightGBM,reads,1,3.0,,,100.0,0.05
100.0,Ridge,reads,2,,,,,
,RF,reads,2,3.0,1.0,2.0,200.0,
,XGBoost,reads,2,5.0,,,200.0,0.1
,LightGBM,reads,2,3.0,,,100.0,0.05
100.0,Ridge,reads,3,,,,,
,RF,reads,3,3.0,1.0,5.0,500.0,
,XGBoost,reads,3,3.0,,,200.0,0.1
,LightGBM,reads,3,3.0,,,100.0,0.05
100.0,Ridge,reads,4,,,,,
,RF,reads,4,5.0,1.0,2.0,200.0,
,XGBoost,reads,4,5.0,,,200.0,0.1
,LightGBM,reads,4,3.0,,,100.0,0.05
100.0,Ridge,zotu,0,,,,,
,RF,zotu,0,3.0,1.0,5.0,500.0,
,XGBoost,zotu,0,3.0,,,200.0,0.1
,LightGBM,zotu,0,3.0,,,100.0,0.05
100.0,Ridge,zotu,1,,,,,
,RF,zotu,1,3.0,1.0,2.0,200.0,
,XGBoost,zotu,1,3.0,,,200.0,0.1
,LightGBM,zotu,1,3.0,,,100.0,0.05
100.0,Ridge,zotu,2,,,,,
,RF,zotu,2,3.0,2.0,5.0,500.0,
,XGBoost,zotu,2,5.0,,,200.0,0.05
,LightGBM,zotu,2,3.0,,,100.0,0.05
100.0,Ridge,zotu,3,,,,,
,RF,zotu,3,3.0,1.0,5.0,500.0,
,XGBoost,zotu,3,5.0,,,200.0,0.1
,LightGBM,zotu,3,3.0,,,100.0,0.05
100.0,Ridge,zotu,4,,,,,
,RF,zotu,4,3.0,1.0,2.0,200.0,
,XGBoost,zotu,4,5.0,,,200.0,0.1
,LightGBM,zotu,4,3.0,,,100.0,0.05
100.0,Ridge,shannon,0,,,,,
,RF,shannon,0,3.0,1.0,2.0,500.0,
,XGBoost,shannon,0,3.0,,,200.0,0.05
,LightGBM,shannon,0,3.0,,,100.0,0.05
100.0,Ridge,shannon,1,,,,,
,RF,shannon,1,3.0,1.0,5.0,200.0,
,XGBoost,shannon,1,3.0,,,200.0,0.1
,LightGBM,shannon,1,3.0,,,100.0,0.05
100.0,Ridge,shannon,2,,,,,
,RF,shannon,2,3.0,2.0,5.0,500.0,
,XGBoost,shannon,2,3.0,,,200.0,0.05
,LightGBM,shannon,2,3.0,,,100.0,0.05
100.0,Ridge,shannon,3,,,,,
,RF,shannon,3,3.0,2.0,2.0,500.0,
,XGBoost,shannon,3,3.0,,,200.0,0.1
,LightGBM,shannon,3,3.0,,,100.0,0.05
100.0,Ridge,shannon,4,,,,,
,RF,shannon,4,5.0,2.0,5.0,500.0,
,XGBoost,shannon,4,3.0,,,200.0,0.1
,LightGBM,shannon,4,3.0,,,100.0,0.05
100.0,Ridge,simpson,0,,,,,
,RF,simpson,0,5.0,2.0,5.0,200.0,
,XGBoost,simpson,0,3.0,,,200.0,0.1
,LightGBM,simpson,0,3.0,,,100.0,0.05
100.0,Ridge,simpson,1,,,,,
,RF,simpson,1,3.0,2.0,2.0,500.0,
,XGBoost,simpson,1,3.0,,,200.0,0.1
,LightGBM,simpson,1,3.0,,,100.0,0.05
100.0,Ridge,simpson,2,,,,,
,RF,simpson,2,3.0,2.0,5.0,200.0,
,XGBoost,simpson,2,5.0,,,200.0,0.1
,LightGBM,simpson,2,3.0,,,100.0,0.05
100.0,Ridge,simpson,3,,,,,
,RF,simpson,3,3.0,2.0,5.0,200.0,
,XGBoost,simpson,3,3.0,,,200.0,0.05
,LightGBM,simpson,3,3.0,,,100.0,0.05
100.0,Ridge,simpson,4,,,,,
,RF,simpson,4,3.0,2.0,5.0,200.0,
,XGBoost,simpson,4,3.0,,,200.0,0.1
,LightGBM,simpson,4,3.0,,,100.0,0.05
100.0,Ridge,Rotaliida,0,,,,,
,RF,Rotaliida,0,3.0,1.0,5.0,500.0,
,XGBoost,Rotaliida,0,5.0,,,200.0,0.1
,LightGBM,Rotaliida,0,3.0,,,100.0,0.05
100.0,Ridge,Rotaliida,1,,,,,
,RF,Rotaliida,1,5.0,2.0,2.0,200.0,
,XGBoost,Rotaliida,1,3.0,,,200.0,0.05
,LightGBM,Rotaliida,1,3.0,,,100.0,0.05
100.0,Ridge,Rotaliida,2,,,,,
,RF,Rotaliida,2,3.0,1.0,2.0,200.0,
,XGBoost,Rotaliida,2,3.0,,,200.0,0.05
,LightGBM,Rotaliida,2,3.0,,,100.0,0.05
100.0,Ridge,Rotaliida,3,,,,,
,RF,Rotaliida,3,3.0,1.0,5.0,500.0,
,XGBoost,Rotaliida,3,3.0,,,200.0,0.05
,LightGBM,Rotaliida,3,3.0,,,100.0,0.05
100.0,Ridge,Rotaliida,4,,,,,
,RF,Rotaliida,4,5.0,1.0,2.0,200.0,
,XGBoost,Rotaliida,4,3.0,,,500.0,0.05
,LightGBM,Rotaliida,4,3.0,,,100.0,0.05
100.0,Ridge,Textulariida,0,,,,,
,RF,Textulariida,0,5.0,2.0,5.0,500.0,
,XGBoost,Textulariida,0,5.0,,,200.0,0.05
,LightGBM,Textulariida,0,3.0,,,100.0,0.05
100.0,Ridge,Textulariida,1,,,,,
,RF,Textulariida,1,3.0,2.0,2.0,200.0,
,XGBoost,Textulariida,1,3.0,,,200.0,0.05
,LightGBM,Textulariida,1,3.0,,,100.0,0.05
100.0,Ridge,Textulariida,2,,,,,
,RF,Textulariida,2,5.0,2.0,5.0,200.0,
,XGBoost,Textulariida,2,3.0,,,200.0,0.1
,LightGBM,Textulariida,2,3.0,,,100.0,0.05
100.0,Ridge,Textulariida,3,,,,,
,RF,Textulariida,3,3.0,1.0,5.0,500.0,
,XGBoost,Textulariida,3,3.0,,,200.0,0.1
,LightGBM,Textulariida,3,3.0,,,100.0,0.05
100.0,Ridge,Textulariida,4,,,,,
,RF,Textulariida,4,5.0,2.0,2.0,500.0,
,XGBoost,Textulariida,4,5.0,,,200.0,0.05
,LightGBM,Textulariida,4,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,0,,,,,
,RF,Monothalamida,0,3.0,1.0,5.0,500.0,
,XGBoost,Monothalamida,0,3.0,,,500.0,0.1
,LightGBM,Monothalamida,0,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,1,,,,,
,RF,Monothalamida,1,5.0,2.0,2.0,200.0,
,XGBoost,Monothalamida,1,3.0,,,200.0,0.05
,LightGBM,Monothalamida,1,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,2,,,,,
,RF,Monothalamida,2,3.0,1.0,2.0,200.0,
,XGBoost,Monothalamida,2,5.0,,,200.0,0.1
,LightGBM,Monothalamida,2,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,3,,,,,
,RF,Monothalamida,3,3.0,1.0,5.0,500.0,
,XGBoost,Monothalamida,3,3.0,,,200.0,0.05
,LightGBM,Monothalamida,3,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,4,,,,,
