Target,Fold,Model,Observed,Predicted
Miliolida,0,LightGBM,90.0,138.73684210526315
Miliolida,0,LightGBM,40.0,138.73684210526315
Miliolida,0,LightGBM,33.0,138.73684210526315
Miliolida,0,LightGBM,72.0,138.73684210526315
Miliolida,0,LightGBM,83.0,138.73684210526315
Miliolida,0,LightGBM,84.0,138.73684210526315
Miliolida,0,LightGBM,618.0,138.73684210526315
Miliolida,0,LightGBM,119.0,138.73684210526315
Miliolida,0,LightGBM,7.0,138.73684210526315
Miliolida,0,LightGBM,80.0,138.73684210526315
Miliolida,1,LightGBM,94.0,123.73684210526316
Miliolida,1,LightGBM,927.0,123.73684210526316
Miliolida,1,LightGBM,256.0,123.73684210526316
Miliolida,1,LightGBM,104.0,123.73684210526316
Miliolida,1,LightGBM,74.0,123.73684210526316
Miliolida,1,LightGBM,32.0,123.73684210526316
Miliolida,1,LightGBM,84.0,123.73684210526316
Miliolida,1,LightGBM,101.0,123.73684210526316
Miliolida,1,LightGBM,44.0,123.73684210526316
Miliolida,1,LightGBM,80.0,123.73684210526316
Miliolida,2,LightGBM,101.0,140.42105263157896
Miliolida,2,LightGBM,26.0,140.42105263157896
Miliolida,2,LightGBM,67.0,140.42105263157896
Miliolida,2,LightGBM,509.0,140.42105263157896
Miliolida,2,LightGBM,32.0,140.42105263157896
Miliolida,2,LightGBM,135.0,140.42105263157896
Miliolida,2,LightGBM,75.0,140.42105263157896
Miliolida,2,LightGBM,61.0,140.42105263157896
Miliolida,2,LightGBM,54.0,140.42105263157896
Miliolida,2,LightGBM,102.0,140.42105263157896
Miliolida,3,LightGBM,51.0,132.4102564102564
Miliolida,3,LightGBM,106.0,132.4102564102564
Miliolida,3,LightGBM,89.0,132.4102564102564
Miliolida,3,LightGBM,538.0,132.4102564102564
Miliolida,3,LightGBM,204.0,132.4102564102564
Miliolida,3,LightGBM,74.0,132.4102564102564
Miliolida,3,LightGBM,174.0,132.4102564102564
Miliolida,3,LightGBM,88.0,132.4102564102564
Miliolida,3,LightGBM,10.0,132.4102564102564
Miliolida,4,LightGBM,145.0,141.48717948717947
Miliolida,4,LightGBM,48.0,141.48717948717947
Miliolida,4,LightGBM,70.0,141.48717948717947
Miliolida,4,LightGBM,78.0,141.48717948717947
Miliolida,4,LightGBM,231.0,141.48717948717947
Miliolida,4,LightGBM,68.0,141.48717948717947
Miliolida,4,LightGBM,65.0,141.48717948717947
Miliolida,4,LightGBM,136.0,141.48717948717947
Miliolida,4,LightGBM,139.0,141.48717948717947
Monothalamida,0,XGBoost,12388.0,19022.142578125
Monothalamida,0,XGBoost,6726.0,14422.2939453125
Monothalamida,0,XGBoost,9934.0,15615.7041015625
Monothalamida,0,XGBoost,24333.0,26900.955078125
Monothalamida,0,XGBoost,13377.0,12455.296875
Monothalamida,0,XGBoost,13599.0,16393.33984375
Monothalamida,0,XGBoost,10175.0,21607.666015625
Monothalamida,0,XGBoost,13387.0,19172.23828125
Monothalamida,0,XGBoost,2512.0,14243.6884765625
Monothalamida,0,XGBoost,10000.0,8758.494140625
Monothalamida,1,XGBoost,14729.0,14058.0830078125
Monothalamida,1,XGBoost,135946.0,13897.765625
Monothalamida,1,XGBoost,62644.0,10113.57421875
Monothalamida,1,XGBoost,11259.0,14280.7802734375
Monothalamida,1,XGBoost,11287.0,14677.9248046875
Monothalamida,1,XGBoost,3538.0,13228.3876953125
Monothalamida,1,XGBoost,16275.0,13923.2294921875
Monothalamida,1,XGBoost,15066.0,11223.125
Monothalamida,1,XGBoost,11208.0,15203.7685546875
Monothalamida,1,XGBoost,11946.0,12096.103515625
Monothalamida,2,XGBoost,8734.0,14161.91796875
Monothalamida,2,XGBoost,10581.0,13823.0205078125
Monothalamida,2,XGBoost,9710.0,39767.359375
Monothalamida,2,XGBoost,119586.0,7959.56298828125
Monothalamida,2,XGBoost,17101.0,7021.11279296875
Monothalamida,2,XGBoost,34035.0,9485.4990234375
