Target,Model,Feature,mean,std,Importance_CV
Miliolida,LightGBM,Major_PC1,0.0,0.0,
Miliolida,LightGBM,Major_PC2,0.0,0.0,
Miliolida,LightGBM,Organic_PC1,0.0,0.0,
Miliolida,LightGBM,Organic_PC2,0.0,0.0,
Miliolida,LightGBM,Sediment_PC1,0.0,0.0,
Miliolida,LightGBM,Sediment_PC2,0.0,0.0,
Miliolida,LightGBM,Trace_PC1,0.0,0.0,
Miliolida,LightGBM,Trace_PC2,0.0,0.0,
Miliolida,RF,Major_PC1,25.58225136299638,5.574178855273146,0.21789242769054934
Miliolida,RF,Major_PC2,12.443281590511713,9.702601423600502,0.7797461909886342
Miliolida,RF,Organic_PC1,1.2030613674686772,0.44908570042982143,0.3732857795730971
Miliolida,RF,Organic_PC2,5.923974203262398,2.7733704855594707,0.46816045958339
Miliolida,RF,Sediment_PC1,9.397099409451348,5.194727859141165,0.5528012030942706
Miliolida,RF,Sediment_PC2,1.841000009821748,1.2462470131875822,0.6769402534159944
Miliolida,RF,Trace_PC1,16.607528147766523,13.360885481685312,0.8045077727887013
Miliolida,RF,Trace_PC2,7.910990246334255,4.3442429224197,0.5491402197636014
Miliolida,XGBoost,Major_PC1,26.24582576751709,7.686954824714399,0.29288294804685056
Miliolida,XGBoost,Major_PC2,10.004865837097167,5.7736806579658735,0.5770872645345798
Miliolida,XGBoost,Organic_PC1,5.525653743743897,1.746993877293988,0.3161605772478815
Miliolida,XGBoost,Organic_PC2,5.270032215118408,3.243006973721212,0.615367580565795
Miliolida,XGBoost,Sediment_PC1,22.10700416564941,8.831489144089772,0.39948828334743025
Miliolida,XGBoost,Sediment_PC2,7.208250665664673,6.5866709860732735,0.9137683040696416
Miliolida,XGBoost,Trace_PC1,17.113070678710937,10.02540938938442,0.5858334589745057
Miliolida,XGBoost,Trace_PC2,6.509720945358277,4.786048017482742,0.735215542671673
Monothalamida,LightGBM,Major_PC1,0.0,0.0,
Monothalamida,LightGBM,Major_PC2,0.0,0.0,
Monothalamida,LightGBM,Organic_PC1,0.0,0.0,
Monothalamida,LightGBM,Organic_PC2,0.0,0.0,
Monothalamida,LightGBM,Sediment_PC1,0.0,0.0,
Monothalamida,LightGBM,Sediment_PC2,0.0,0.0,
Monothalamida,LightGBM,Trace_PC1,0.0,0.0,
Monothalamida,LightGBM,Trace_PC2,0.0,0.0,
Monothalamida,RF,Major_PC1,3146.6033531269372,2344.8992619124815,0.7452160309885381
Monothalamida,RF,Major_PC2,2157.3754772861007,2086.1105767457693,0.9669668533407175
Monothalamida,RF,Organic_PC1,550.823966514961,276.0631877492913,0.5011822370328781
Monothalamida,RF,Organic_PC2,1239.4014827015894,957.5900682985566,0.7726229810628003
Monothalamida,RF,Sediment_PC1,2428.3799869050044,1359.0536561127624,0.559654445943977
Monothalamida,RF,Sediment_PC2,484.22876153700645,275.7954593902489,0.5695561298648132
Monothalamida,RF,Trace_PC1,2045.252733754786,1411.5059713385094,0.6901376773848336
Monothalamida,RF,Trace_PC2,2654.777824696927,1366.3359943298403,0.5146705617393136
Monothalamida,XGBoost,Major_PC1,4139.008605957031,2183.1036273398086,0.5274460227499397
Monothalamida,XGBoost,Major_PC2,1124.3164794921875,1128.3001810494363,1.003543220818971
Monothalamida,XGBoost,Organic_PC1,1301.4784423828125,1052.0034654570713,0.808314168870143
Monothalamida,XGBoost,Organic_PC2,698.8294509887695,891.9493080052623,1.2763476220746688
Monothalamida,XGBoost,Sediment_PC1,4273.977270507812,2300.69203724428,0.5383023567111586
Monothalamida,XGBoost,Sediment_PC2,1793.7221557617188,1895.685897931916,1.0568447804709742
Monothalamida,XGBoost,Trace_PC1,2081.5175018310547,2592.666966120233,1.245565777774885
Monothalamida,XGBoost,Trace_PC2,5131.480310058594,3970.3588467816708,0.7737258270287185
Other,LightGBM,Major_PC1,0.0,0.0,
Other,LightGBM,Major_PC2,0.0,0.0,
Other,LightGBM,Organic_PC1,0.0,0.0,
Other,LightGBM,Organic_PC2,0.0,0.0,
Other,LightGBM,Sediment_PC1,0.0,0.0,
Other,LightGBM,Sediment_PC2,0.0,0.0,
Other,LightGBM,Trace_PC1,0.0,0.0,
Other,LightGBM,Trace_PC2,0.0,0.0,
Other,RF,Major_PC1,6392.697468219137,4990.858766803087,0.7807124913410659
Other,RF,Major_PC2,5443.749897671728,4158.413441008819,0.7638876728681745
Other,RF,Organic_PC1,1539.5526610204986,1417.6848861697897,0.9208420874866805
Other,RF,Organic_PC2,3319.303944599548,2055.380368621517,0.6192202952566566
Other,RF,Sediment_PC1,4983.603355463119,2284.9414873649093,0.4584918430276185
Other,RF,Sediment_PC2,910.4334374241137,581.3752440857174,0.6385697407276698
Other,RF,Trace_PC1,4100.454164364829,1820.942955107277,0.44408323617716766
Other,RF,Trace_PC2,3452.8192403875923,1353.3500645157644,0.3919550866392431
Other,XGBoost,Major_PC1,11031.163720703125,5872.385331759109,0.5323450435911764
Other,XGBoost,Major_PC2,2959.22314453125,2617.070835178524,0.8843776583779983
Other,XGBoost,Organic_PC1,3465.395703125,2338.793720855079,0.6748994692715807
Other,XGBoost,Organic_PC2,3693.412841796875,4015.087850383509,1.087094246531654
Other,XGBoost,Sediment_PC1,6877.7373046875,2954.361470302476,0.42955427627178205
Other,XGBoost,Sediment_PC2,3412.353625488281,2328.6237181584283,0.6824098477851106
Other,XGBoost,Trace_PC1,6113.337939453125,2178.1606173798227,0.35629645194694937
Other,XGBoost,Trace_PC2,5838.0529296875,5757.328677472198,0.986172744031695
Rotaliida,LightGBM,Major_PC1,0.0,0.0,
Rotaliida,LightGBM,Major_PC2,0.0,0.0,
Rotaliida,LightGBM,Organic_PC1,0.0,0.0,
Rotaliida,LightGBM,Organic_PC2,0.0,0.0,
Rotaliida,LightGBM,Sediment_PC1,0.0,0.0,
Rotaliida,LightGBM,Sediment_PC2,0.0,0.0,
Rotaliida,LightGBM,Trace_PC1,0.0,0.0,
Rotaliida,LightGBM,Trace_PC2,0.0,0.0,
Rotaliida,RF,Major_PC1,1192.3859525676776,897.9880364534931,0.7531018245558583
Rotaliida,RF,Major_PC2,990.5634498538469,750.4818286746663,0.7576312539952856
Rotaliida,RF,Organic_PC1,307.32724662024,335.043829466776,1.0901858951698644
Rotaliida,RF,Organic_PC2,603.8354458685542,345.0812420315883,0.5714822546318477
