Target,Model,Feature,MeanAbsSHAP
Miliolida,LightGBM,Major_PC1,0.0
Miliolida,LightGBM,Major_PC2,0.0
Miliolida,LightGBM,Organic_PC1,0.0
Miliolida,LightGBM,Organic_PC2,0.0
Miliolida,LightGBM,Sediment_PC1,0.0
Miliolida,LightGBM,Sediment_PC2,0.0
Miliolida,LightGBM,Trace_PC1,0.0
Miliolida,LightGBM,Trace_PC2,0.0
Miliolida,RF,Major_PC1,25.58225136299638
Miliolida,RF,Major_PC2,12.443281590511713
Miliolida,RF,Organic_PC1,1.2030613674686772
Miliolida,RF,Organic_PC2,5.923974203262398
Miliolida,RF,Sediment_PC1,9.397099409451348
Miliolida,RF,Sediment_PC2,1.841000009821748
Miliolida,RF,Trace_PC1,16.607528147766523
Miliolida,RF,Trace_PC2,7.910990246334255
Miliolida,XGBoost,Major_PC1,26.24582576751709
Miliolida,XGBoost,Major_PC2,10.004865837097167
Miliolida,XGBoost,Organic_PC1,5.525653743743897
Miliolida,XGBoost,Organic_PC2,5.270032215118408
Miliolida,XGBoost,Sediment_PC1,22.10700416564941
Miliolida,XGBoost,Sediment_PC2,7.208250665664673
Miliolida,XGBoost,Trace_PC1,17.113070678710937
Miliolida,XGBoost,Trace_PC2,6.509720945358277
Monothalamida,LightGBM,Major_PC1,0.0
Monothalamida,LightGBM,Major_PC2,0.0
Monothalamida,LightGBM,Organic_PC1,0.0
Monothalamida,LightGBM,Organic_PC2,0.0
Monothalamida,LightGBM,Sediment_PC1,0.0
Monothalamida,LightGBM,Sediment_PC2,0.0
Monothalamida,LightGBM,Trace_PC1,0.0
Monothalamida,LightGBM,Trace_PC2,0.0
Monothalamida,RF,Major_PC1,3146.6033531269372
Monothalamida,RF,Major_PC2,2157.3754772861007
Monothalamida,RF,Organic_PC1,550.823966514961
Monothalamida,RF,Organic_PC2,1239.4014827015894
Monothalamida,RF,Sediment_PC1,2428.3799869050044
Monothalamida,RF,Sediment_PC2,484.22876153700645
