Target,Fold,BestLam,CV_R2,EDOF
reads,0,0.1,-3.647595271353457,13.347450930861099
reads,1,0.1,-0.5356670608187228,13.21246833798556
reads,2,0.1,-2.6401047685016397,14.18163267382211
reads,3,0.1,-3.56084862188588,12.971353082960167
reads,4,0.1,-10.110929048927867,12.85406463891785
zotu,0,0.1,-0.17476144018031992,13.347450930861099
zotu,1,0.1,-0.6503711377461492,13.21246833798556
zotu,2,0.1,-0.282205216956423,14.18163267382211
zotu,3,0.1,-0.3438565957453031,12.971353082960167
zotu,4,0.1,-0.09175926560780141,12.85406463891785
shannon,0,0.1,-1.3042532871914223,13.347450930861099
shannon,1,0.1,-0.35146423518556846,13.21246833798556
shannon,2,0.1,-0.4670013135872034,14.18163267382211
shannon,3,0.1,-0.6667271138029566,12.971353082960167
shannon,4,0.1,-0.7026175113169055,12.85406463891785
simpson,0,0.1,-0.6390433735179689,13.347450930861099
simpson,1,0.1,-0.1638859744386322,13.21246833798556
simpson,2,0.1,-0.4858661399002623,14.18163267382211
simpson,3,0.1,-0.41060763341594503,12.971353082960167
simpson,4,0.1,-0.4744617005109307,12.85406463891785
Rotaliida,0,0.1,-1.4081677429844242,13.347450930861099
Rotaliida,1,0.1,-0.47012909817930304,13.21246833798556
Rotaliida,2,0.1,-1.560975399192667,14.18163267382211
Rotaliida,3,0.1,-1.0622528269622653,12.971353082960167
Rotaliida,4,0.1,-2.518547687544073,12.85406463891785
Textulariida,0,0.1,-4.1202340427565805,13.347450930861099
Textulariida,1,0.1,-2.1228713455498234,13.21246833798556
Textulariida,2,0.1,-7.780994984016495,14.18163267382211
Textulariida,3,0.1,-0.412313659286076,12.971353082960167
Textulariida,4,0.1,-4.412981735178028,12.85406463891785
Monothalamida,0,0.1,-4.445620658382609,13.347450930861099
Monothalamida,1,0.1,-0.5527120459000289,13.21246833798556
Monothalamida,2,0.1,-1.6720140130288548,14.18163267382211
Monothalamida,3,0.1,-2.0932698075044556,12.971353082960167
Monothalamida,4,0.1,-4.044064779363608,12.85406463891785
Miliolida,0,0.1,-1.0946348926429186,13.347450930861099
Miliolida,1,0.1,-2.920879106997048,13.21246833798556
Miliolida,2,0.1,-2.6427905131642664,14.18163267382211
Miliolida,3,0.1,-1.4824061152017665,12.971353082960167
Miliolida,4,0.1,-3.0767764317125486,12.85406463891785
Other,0,0.1,-2.497613529106883,13.347450930861099
Other,1,0.1,-0.5507076528482348,13.21246833798556
Other,2,0.1,-2.5070436202135165,14.18163267382211
Other,3,0.1,-1.7944196863101802,12.971353082960167
Other,4,0.1,-7.004731061643835,12.85406463891785
