,BestLam,BestLam,EDOF,EDOF,CV_R2,CV_R2
,mean,std,mean,std,mean,std
Target,,,,,,
Miliolida,0.1,0.0,13.313393932909358,0.5227713910962112,-2.24349741194371,0.8960719720665681
Monothalamida,0.1,0.0,13.313393932909358,0.5227713910962112,-2.5615362608359113,1.642677909124224
Other,0.1,0.0,13.313393932909358,0.5227713910962112,-2.8709031100245297,2.4445038297254493
Rotaliida,0.1,0.0,13.313393932909358,0.5227713910962112,-1.4040145509725463,0.7509629125880908
Textulariida,0.1,0.0,13.313393932909358,0.5227713910962112,-3.7698791533574,2.766372193514089
reads,0.1,0.0,13.313393932909358,0.5227713910962112,-4.099028954297514,3.5868642625524774
shannon,0.1,0.0,13.313393932909358,0.5227713910962112,-0.6984126922168112,0.36809949093210237
simpson,0.1,0.0,13.313393932909358,0.5227713910962112,-0.4347729643567478,0.1731154477147441
zotu,0.1,0.0,13.313393932909358,0.5227713910962112,-0.30859073124719927,0.21428945755016024
