,,alpha,alpha,Fold,Fold,max_depth,max_depth,min_samples_leaf,min_samples_leaf,min_samples_split,min_samples_split,n_estimators,n_estimators,learning_rate,learning_rate
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,Target,,,,,,,,,,,,,,
LightGBM,Miliolida,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,Monothalamida,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,Other,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,Rotaliida,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,Textulariida,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,reads,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,shannon,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,simpson,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
LightGBM,zotu,,,2.0,1.5811388300841898,3.0,0.0,,,,,100.0,0.0,0.05,0.0
RF,Miliolida,,,2.0,1.5811388300841898,3.0,0.0,1.2,0.4472135954999579,3.8,1.6431676725154984,200.0,0.0,,
RF,Monothalamida,,,2.0,1.5811388300841898,3.4,0.8944271909999159,1.2,0.4472135954999579,3.2,1.6431676725154984,320.0,164.31676725154983,,
RF,Other,,,2.0,1.5811388300841898,3.4,0.8944271909999159,1.2,0.4472135954999579,3.2,1.6431676725154984,260.0,134.16407864998737,,
RF,Rotaliida,,,2.0,1.5811388300841898,3.8,1.0954451150103324,1.2,0.4472135954999579,3.2,1.6431676725154984,320.0,164.31676725154983,,
RF,Textulariida,,,2.0,1.5811388300841898,4.2,1.0954451150103321,1.8,0.4472135954999579,3.8,1.6431676725154984,380.0,164.31676725154983,,
RF,reads,,,2.0,1.5811388300841898,3.8,1.0954451150103324,1.2,0.4472135954999579,3.2,1.6431676725154984,320.0,164.31676725154983,,
RF,shannon,,,2.0,1.5811388300841898,3.4,0.8944271909999159,1.6,0.5477225575051661,3.8,1.6431676725154984,440.0,134.16407864998737,,
RF,simpson,,,2.0,1.5811388300841898,3.4,0.8944271909999159,2.0,0.0,4.4,1.3416407864998738,260.0,134.16407864998737,,
RF,zotu,,,2.0,1.5811388300841898,3.0,0.0,1.2,0.4472135954999579,3.8,1.6431676725154984,380.0,164.31676725154983,,
Ridge,Miliolida,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,Monothalamida,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,Other,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,Rotaliida,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,Textulariida,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,reads,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,shannon,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,simpson,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
Ridge,zotu,100.0,0.0,2.0,1.5811388300841898,,,,,,,,,,
XGBoost,Miliolida,,,2.0,1.5811388300841898,3.8,1.0954451150103321,,,,,320.0,164.31676725154983,0.06000000000000001,0.022360679774997904
XGBoost,Monothalamida,,,2.0,1.5811388300841898,3.4,0.8944271909999159,,,,,320.0,164.31676725154983,0.08,0.027386127875258306
XGBoost,Other,,,2.0,1.5811388300841898,4.2,1.0954451150103321,,,,,200.0,0.0,0.08,0.027386127875258303
XGBoost,Rotaliida,,,2.0,1.5811388300841898,3.4,0.8944271909999159,,,,,260.0,134.16407864998737,0.06000000000000001,0.022360679774997904
XGBoost,Textulariida,,,2.0,1.5811388300841898,3.8,1.0954451150103324,,,,,200.0,0.0,0.07,0.027386127875258306
XGBoost,reads,,,2.0,1.5811388300841898,3.8,1.0954451150103324,,,,,200.0,0.0,0.08,0.02738612787525831
XGBoost,shannon,,,2.0,1.5811388300841898,3.0,0.0,,,,,200.0,0.0,0.08,0.027386127875258303
XGBoost,simpson,,,2.0,1.5811388300841898,3.4,0.8944271909999159,,,,,200.0,0.0,0.09,0.0223606797749979
XGBoost,zotu,,,2.0,1.5811388300841898,4.2,1.0954451150103321,,,,,200.0,0.0,0.09,0.022360679774997897
