Target,Model,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd
Miliolida,GAM,-0.9191048597379889,2.323054395890468,156.81463141844637,33.188532750573174,121.5249781732391,20.399299839442254
Miliolida,LightGBM,-0.08935465160200207,0.14442787082367933,156.20910498005108,71.01598988225567,98.78183235867445,28.72527653142925
Miliolida,Linear,-2.2332999908042197,4.6848251415392514,188.2745659238757,51.142079401772094,135.36287108080575,32.146361875680284
Miliolida,RF,-0.14700443090457133,0.269480573078848,157.8897418269541,68.55055488352993,100.9125157117208,32.93196316621698
Miliolida,Ridge,-0.38462324214876015,0.8450736753822402,162.04003324819865,66.96289892785613,102.2159295551779,27.08718458116519
Miliolida,XGBoost,-0.14758778810501097,0.11709471348402552,162.28037852380436,75.28978510275441,91.50720138549805,30.392865475530275
Monothalamida,GAM,-2.8766596997109195,5.253089065684845,27695.653816557962,13650.567185320477,18723.752406734413,8617.21929284814
Monothalamida,LightGBM,-1.4274105422655123,2.326732412933475,25294.213251599653,12855.775883860784,16553.303394811817,5299.214362893821
Monothalamida,Linear,-7.37209444062251,11.379513943294047,31528.328671699495,8392.71297025497,22351.962605837114,5059.949170629527
Monothalamida,RF,-2.0859546379073772,4.538074082676739,26825.312481752266,15243.772751647157,16642.78870918408,8635.333235581717
Monothalamida,Ridge,-2.365487711469647,3.5736005932613693,26413.70616235169,11480.094366810437,16821.738324469716,5035.262115113414
Monothalamida,XGBoost,-0.39152097702026367,0.14586059215062702,25853.675523861377,17342.449347875106,14775.3494140625,8426.416865149746
Other,GAM,-1.7171716857235395,2.6682470361541646,61615.05589853256,32088.880113479187,41644.09217585925,17459.92484676594
Other,LightGBM,-0.9900146279904476,1.354570234919982,58769.58613515973,34979.62680109175,37013.773369320734,11530.608533748193
Other,Linear,-5.24670076168093,6.989817204640278,73304.78710344683,26709.61057449162,51332.02559969207,10909.766917489982
Other,RF,-1.2828442813239538,2.51105309899713,62023.86090350385,37272.64806587182,36923.02562377833,16342.719420387148
Other,Ridge,-1.811072785626871,2.4545758640699886,61593.68710277394,32690.837844857055,38522.44003288069,11279.120521317804
Other,XGBoost,-0.6814265489578247,0.5063857946921606,61428.63388612397,39614.72475741409,34895.6939453125,17660.536277051087
Rotaliida,GAM,-0.8477123738477396,0.9682382786747434,11926.803452632257,6383.393895305865,8294.524296434069,3492.4916835018817
Rotaliida,LightGBM,-0.3861652838266438,0.505450680239997,11118.441115589541,7183.507364719002,7116.599289248763,2716.5281290869707
Rotaliida,Linear,-2.863932556054486,4.212176834872566,13624.297965397662,5604.646841806816,9431.186503311477,2730.1888226363485
Rotaliida,RF,-0.46319262702415764,0.6261764879636573,11833.025678532995,7543.444601546561,7210.494596050126,3372.3255562383347
Rotaliida,Ridge,-0.9937962171857182,1.6784459678181045,11632.265001079362,6739.742882903937,7324.555819841107,2880.7250568959535
Rotaliida,XGBoost,-0.3225669741630554,0.39024502270501893,11467.666314864251,7950.66086018387,6612.816650390625,3395.1690905250966
Textulariida,GAM,-16.005257974799697,18.345143304065235,430.8139281745213,180.54757382878992,288.0011341562133,88.4566225438066
Textulariida,LightGBM,-2.585495153633247,4.688430566583552,252.83221696886653,210.13122920138935,161.9413075423602,81.77888884430452
Textulariida,Linear,-14.786592506408443,27.41475184347191,348.66938107208176,173.18725034503936,236.43081362311167,70.51491657375756
Textulariida,RF,-6.937606541334543,8.802565576200562,316.1801723658229,182.83966919508987,193.86959808046902,81.25103924618537
Textulariida,Ridge,-4.409971569007384,7.7502142143652115,275.5081957522191,199.3859979586945,178.6656156094768,74.27377862512516
Textulariida,XGBoost,-0.8132175445556641,0.9983714640916272,249.37756948855318,230.55553796003213,135.59965286254882,101.65654675368063
reads,GAM,-1.7468629030000558,2.7229019052257333,100526.87262660374,51936.22425079447,68351.24380502706,29628.517562224883
reads,LightGBM,-0.9787488958874914,1.358778730538043,94943.13834063355,54372.311227860286,60482.209158794416,18987.717166476054
reads,Linear,-5.305512644148552,7.115139635014678,118220.68585487851,39921.58456567425,83178.78189883086,18126.95614912733
reads,RF,-1.252429541511201,2.528687852215985,100091.63500412837,59418.170536081576,60318.52861082298,27354.256936465114
reads,Ridge,-1.7963399321459002,2.4357355503560085,99420.19043610388,50172.01756418456,62443.185005765896,19067.107023589575
reads,XGBoost,-0.5264266014099122,0.5247131924479311,98590.80678259989,65165.06848339124,56899.949609375,30685.82910206218
shannon,GAM,-0.9410257354705125,1.571399330672073,0.4134686494461601,0.1454062855414065,0.3276901936026845,0.11438723426158105
shannon,LightGBM,-0.0718407775070784,0.061846329755171896,0.3362916588425772,0.1296449757506076,0.24863078007384623,0.07415080950377059
shannon,Linear,-0.7630762748886298,0.8749200094122358,0.39008805247080447,0.07920889894630975,0.2957891037878694,0.056450560289100275
shannon,RF,-0.2330351267584773,0.47905552945070995,0.34860841690274064,0.1180816712127181,0.26518476419557213,0.09058778163996321
shannon,Ridge,-0.23047225947378092,0.32430723525968064,0.3477383742234161,0.1121063882909537,0.2536938930372742,0.06404264879725462
shannon,XGBoost,-0.5427314650944683,0.4984256629619395,0.38633018213176806,0.13359144452758026,0.292609326367578,0.07539498404941389
simpson,GAM,-1.7556002727892583,2.0360342334337584,0.01584091278211024,0.007206182636963879,0.01212893260598022,0.0037642184361590192
simpson,LightGBM,-0.07634772363423782,0.06933329092817311,0.01198955901932416,0.008436534215816653,0.00892286816226992,0.004182595561862336
simpson,Linear,-1.2414073235782102,1.193614212814619,0.01496507960681864,0.007161971890593559,0.01072627111690758,0.003150354882193509
