Target,Fold,Group,PC,Variable,Loading
reads,0,Sediment,PC1,Grain Size,0.43135468841072366
reads,0,Sediment,PC1,Sorting,0.4759926133213786
reads,0,Sediment,PC1,Skewness,-0.3832982839852522
reads,0,Sediment,PC1,Kurtosis,-0.4423997232542096
reads,0,Sediment,PC1,Clay Content,-0.08313354607709739
reads,0,Sediment,PC1,Silt Content,-0.2917410179431611
reads,0,Sediment,PC1,Sand Content,0.3907749571994951
reads,0,Sediment,PC2,Grain Size,-0.3060963531704897
reads,0,Sediment,PC2,Sorting,0.042380104319592916
reads,0,Sediment,PC2,Skewness,-0.21430592102645923
reads,0,Sediment,PC2,Kurtosis,-0.20731542345815737
reads,0,Sediment,PC2,Clay Content,0.730045333709865
reads,0,Sediment,PC2,Silt Content,-0.4244026265573875
reads,0,Sediment,PC2,Sand Content,-0.32018503719348756
reads,0,Major,PC1,Na2O,0.23638927981548488
reads,0,Major,PC1,MgO,0.3774064107501472
reads,0,Major,PC1,Al2O3,0.48137015575215897
reads,0,Major,PC1,SiO2,-0.34906362700439814
reads,0,Major,PC1,K2O,0.4826810891471723
reads,0,Major,PC1,CaO,-0.1405425156876111
reads,0,Major,PC1,Fe2O3,0.44202786612450246
reads,0,Major,PC2,Na2O,0.6705952119612498
reads,0,Major,PC2,MgO,-0.39291938071137256
reads,0,Major,PC2,Al2O3,-0.09733501371554654
reads,0,Major,PC2,SiO2,-0.5093599208792634
reads,0,Major,PC2,K2O,-0.2058958887815087
reads,0,Major,PC2,CaO,-0.23625169645604047
reads,0,Major,PC2,Fe2O3,-0.1696667526871943
reads,0,Trace,PC1,Sc,-0.06527347793291399
reads,0,Trace,PC1,Ti,-0.3746300377118984
reads,0,Trace,PC1,V,-0.34300116355040666
reads,0,Trace,PC1,Cr,-0.3716909076508387
reads,0,Trace,PC1,Mn,0.42198403484577374
reads,0,Trace,PC1,Co,0.1431956883852077
reads,0,Trace,PC1,Ni,0.4437969670191557
reads,0,Trace,PC1,Cu,0.3804274776457637
reads,0,Trace,PC1,Zn,0.07394090877012847
reads,0,Trace,PC1,Ga,0.05390136547126222
reads,0,Trace,PC1,As,-0.051204319377818906
reads,0,Trace,PC1,Rb,-0.219856627970976
reads,0,Trace,PC2,Sc,0.31460479688179754
reads,0,Trace,PC2,Ti,0.330444367577656
reads,0,Trace,PC2,V,0.3311721361312014
reads,0,Trace,PC2,Cr,0.20583815446501946
reads,0,Trace,PC2,Mn,0.1403066832995459
reads,0,Trace,PC2,Co,0.43331530943918756
reads,0,Trace,PC2,Ni,0.10020574408798734
reads,0,Trace,PC2,Cu,0.22140041136355415
reads,0,Trace,PC2,Zn,0.5066051337336955
reads,0,Trace,PC2,Ga,0.2902594600186802
reads,0,Trace,PC2,As,-0.14284742930739383
reads,0,Trace,PC2,Rb,-0.10942509923878507
reads,0,Organic,PC1,Chlorophyll a,-0.2491454597554865
reads,0,Organic,PC1,Depth,-0.025392654929511333
reads,0,Organic,PC1,N,0.57281228472856
reads,0,Organic,PC1,C,0.5671501484976343
reads,0,Organic,PC1,S1,0.5269163876809253
reads,0,Organic,PC1,P,-0.08242660171557022
reads,0,Organic,PC1,S2,-0.0037243098129188103
reads,0,Organic,PC1,Cl,-0.055314136722382515
reads,0,Organic,PC2,Chlorophyll a,0.13637928264036264
reads,0,Organic,PC2,Depth,-0.34850156908430374
reads,0,Organic,PC2,N,-0.062021997827308044
reads,0,Organic,PC2,C,-0.026188445768888232
reads,0,Organic,PC2,S1,0.1578437956369366
reads,0,Organic,PC2,P,-0.31516390820374396
reads,0,Organic,PC2,S2,0.6418838528995336
reads,0,Organic,PC2,Cl,0.5649397766466043
reads,1,Sediment,PC1,Grain Size,0.37520638158178177
reads,1,Sediment,PC1,Sorting,0.47225590393882566
reads,1,Sediment,PC1,Skewness,-0.3926264207191177
reads,1,Sediment,PC1,Kurtosis,-0.4526197557607776
reads,1,Sediment,PC1,Clay Content,0.09991330560565721
