Target,Fold,Group,PC,ExplainedVarianceRatio
reads,0,Sediment,PC1,0.6079485491620205
reads,0,Sediment,PC2,0.2517391127520033
reads,0,Major,PC1,0.5350120711480384
reads,0,Major,PC2,0.22424818176769198
reads,0,Trace,PC1,0.3675861484718488
reads,0,Trace,PC2,0.2446312414932678
reads,0,Organic,PC1,0.35224152948027193
reads,0,Organic,PC2,0.21460662987001683
reads,1,Sediment,PC1,0.6166697238849834
reads,1,Sediment,PC2,0.2788853938050526
reads,1,Major,PC1,0.5399941571749127
reads,1,Major,PC2,0.20562171618413752
reads,1,Trace,PC1,0.3798725677146045
reads,1,Trace,PC2,0.26297549831042444
reads,1,Organic,PC1,0.3866711237265266
reads,1,Organic,PC2,0.20157491482526682
reads,2,Sediment,PC1,0.6060468833643767
reads,2,Sediment,PC2,0.33488904231829286
reads,2,Major,PC1,0.4984972548629905
reads,2,Major,PC2,0.24038998510052503
reads,2,Trace,PC1,0.4403229273337855
reads,2,Trace,PC2,0.2281246206123667
reads,2,Organic,PC1,0.3573020246001942
reads,2,Organic,PC2,0.1874184633941196
reads,3,Sediment,PC1,0.6108369241501829
reads,3,Sediment,PC2,0.28016890042184867
reads,3,Major,PC1,0.5202710838569543
reads,3,Major,PC2,0.24169111848949884
reads,3,Trace,PC1,0.36685655847233695
reads,3,Trace,PC2,0.2361855583611644
reads,3,Organic,PC1,0.3704224230394601
reads,3,Organic,PC2,0.19860221865708458
reads,4,Sediment,PC1,0.6142934048447951
reads,4,Sediment,PC2,0.27962774628114445
reads,4,Major,PC1,0.473970199045372
reads,4,Major,PC2,0.28099185026408635
reads,4,Trace,PC1,0.31535618897024614
reads,4,Trace,PC2,0.26546308165623106
reads,4,Organic,PC1,0.36007100527748304
reads,4,Organic,PC2,0.21779511085493342
zotu,0,Sediment,PC1,0.6079485491620205
zotu,0,Sediment,PC2,0.2517391127520033
zotu,0,Major,PC1,0.5350120711480384
zotu,0,Major,PC2,0.22424818176769198
zotu,0,Trace,PC1,0.3675861484718488
zotu,0,Trace,PC2,0.2446312414932678
zotu,0,Organic,PC1,0.35224152948027193
zotu,0,Organic,PC2,0.21460662987001683
zotu,1,Sediment,PC1,0.6166697238849834
zotu,1,Sediment,PC2,0.2788853938050526
zotu,1,Major,PC1,0.5399941571749127
zotu,1,Major,PC2,0.20562171618413752
zotu,1,Trace,PC1,0.3798725677146045
zotu,1,Trace,PC2,0.26297549831042444
zotu,1,Organic,PC1,0.3866711237265266
zotu,1,Organic,PC2,0.20157491482526682
zotu,2,Sediment,PC1,0.6060468833643767
zotu,2,Sediment,PC2,0.33488904231829286
zotu,2,Major,PC1,0.4984972548629905
zotu,2,Major,PC2,0.24038998510052503
zotu,2,Trace,PC1,0.4403229273337855
zotu,2,Trace,PC2,0.2281246206123667
zotu,2,Organic,PC1,0.3573020246001942
zotu,2,Organic,PC2,0.1874184633941196
zotu,3,Sediment,PC1,0.6108369241501829
zotu,3,Sediment,PC2,0.28016890042184867
zotu,3,Major,PC1,0.5202710838569543
zotu,3,Major,PC2,0.24169111848949884
zotu,3,Trace,PC1,0.36685655847233695
zotu,3,Trace,PC2,0.2361855583611644
zotu,3,Organic,PC1,0.3704224230394601
zotu,3,Organic,PC2,0.19860221865708458
zotu,4,Sediment,PC1,0.6142934048447951
zotu,4,Sediment,PC2,0.27962774628114445
zotu,4,Major,PC1,0.473970199045372
zotu,4,Major,PC2,0.28099185026408635
zotu,4,Trace,PC1,0.31535618897024614
zotu,4,Trace,PC2,0.26546308165623106
zotu,4,Organic,PC1,0.36007100527748304
zotu,4,Organic,PC2,0.21779511085493342
shannon,0,Sediment,PC1,0.6079485491620205
shannon,0,Sediment,PC2,0.2517391127520033
shannon,0,Major,PC1,0.5350120711480384
shannon,0,Major,PC2,0.22424818176769198
shannon,0,Trace,PC1,0.3675861484718488
shannon,0,Trace,PC2,0.2446312414932678
shannon,0,Organic,PC1,0.35224152948027193
shannon,0,Organic,PC2,0.21460662987001683
shannon,1,Sediment,PC1,0.6166697238849834
shannon,1,Sediment,PC2,0.2788853938050526
shannon,1,Major,PC1,0.5399941571749127
shannon,1,Major,PC2,0.20562171618413752
shannon,1,Trace,PC1,0.3798725677146045
shannon,1,Trace,PC2,0.26297549831042444
shannon,1,Organic,PC1,0.3866711237265266
shannon,1,Organic,PC2,0.20157491482526682
shannon,2,Sediment,PC1,0.6060468833643767
shannon,2,Sediment,PC2,0.33488904231829286
shannon,2,Major,PC1,0.4984972548629905
shannon,2,Major,PC2,0.24038998510052503
shannon,2,Trace,PC1,0.4403229273337855
shannon,2,Trace,PC2,0.2281246206123667
shannon,2,Organic,PC1,0.3573020246001942
shannon,2,Organic,PC2,0.1874184633941196
shannon,3,Sediment,PC1,0.6108369241501829
shannon,3,Sediment,PC2,0.28016890042184867
shannon,3,Major,PC1,0.5202710838569543
shannon,3,Major,PC2,0.24169111848949884
shannon,3,Trace,PC1,0.36685655847233695
shannon,3,Trace,PC2,0.2361855583611644
shannon,3,Organic,PC1,0.3704224230394601
shannon,3,Organic,PC2,0.19860221865708458
shannon,4,Sediment,PC1,0.6142934048447951
shannon,4,Sediment,PC2,0.27962774628114445
shannon,4,Major,PC1,0.473970199045372
shannon,4,Major,PC2,0.28099185026408635
shannon,4,Trace,PC1,0.31535618897024614
shannon,4,Trace,PC2,0.26546308165623106
shannon,4,Organic,PC1,0.36007100527748304
shannon,4,Organic,PC2,0.21779511085493342
simpson,0,Sediment,PC1,0.6079485491620205
simpson,0,Sediment,PC2,0.2517391127520033
simpson,0,Major,PC1,0.5350120711480384
simpson,0,Major,PC2,0.22424818176769198
