Target,Fold,Model,Observed,Predicted
reads,0,Linear,60794.0,-39567.94858880302
reads,0,Linear,25403.0,17705.91808967288
reads,0,Linear,31923.0,191260.43402747618
reads,0,Linear,103466.0,147784.37044070906
reads,0,Linear,60337.0,64725.34136749341
reads,0,Linear,63232.0,239229.1215421041
reads,0,Linear,53179.0,129283.78495234446
reads,0,Linear,86438.0,203591.0909958979
reads,0,Linear,9716.0,117677.27637800606
reads,0,Linear,51314.0,-35366.95740546439
reads,0,Ridge,60794.0,40193.028526736765
reads,0,Ridge,25403.0,68636.76871548785
reads,0,Ridge,31923.0,138360.18588896428
reads,0,Ridge,103466.0,106860.0740893447
reads,0,Ridge,60337.0,86034.6152651274
reads,0,Ridge,63232.0,153041.33912544028
reads,0,Ridge,53179.0,96673.06854223742
reads,0,Ridge,86438.0,135274.68540551138
reads,0,Ridge,9716.0,114079.32164162307
reads,0,Ridge,51314.0,46035.13626759823
reads,0,RF,60794.0,77819.38669724249
reads,0,RF,25403.0,128834.73382599193
reads,0,RF,31923.0,77353.9062615472
reads,0,RF,103466.0,98336.88032657307
reads,0,RF,60337.0,58373.22605311285
reads,0,RF,63232.0,147464.63864624637
reads,0,RF,53179.0,200844.3581524622
reads,0,RF,86438.0,86043.18714503931
reads,0,RF,9716.0,80173.54835834554
reads,0,RF,51314.0,53765.77474675194
reads,0,XGBoost,60794.0,87293.265625
reads,0,XGBoost,25403.0,64480.89453125
reads,0,XGBoost,31923.0,64080.921875
reads,0,XGBoost,103466.0,126900.984375
reads,0,XGBoost,60337.0,57237.05078125
reads,0,XGBoost,63232.0,65920.5625
reads,0,XGBoost,53179.0,89401.171875
reads,0,XGBoost,86438.0,89831.4140625
reads,0,XGBoost,9716.0,60636.0
reads,0,XGBoost,51314.0,36531.0234375
reads,0,LightGBM,60794.0,100321.44736842105
reads,0,LightGBM,25403.0,100321.44736842105
reads,0,LightGBM,31923.0,100321.44736842105
reads,0,LightGBM,103466.0,100321.44736842105
reads,0,LightGBM,60337.0,100321.44736842105
reads,0,LightGBM,63232.0,100321.44736842105
reads,0,LightGBM,53179.0,100321.44736842105
reads,0,LightGBM,86438.0,100321.44736842105
reads,0,LightGBM,9716.0,100321.44736842105
reads,0,LightGBM,51314.0,100321.44736842105
reads,0,GAM,60794.0,3871.123750974846
reads,0,GAM,25403.0,92093.65533485715
reads,0,GAM,31923.0,84740.03174442673
reads,0,GAM,103466.0,140954.4080246594
reads,0,GAM,60337.0,62214.76550908696
reads,0,GAM,63232.0,153362.12333543733
reads,0,GAM,53179.0,176177.57946206964
reads,0,GAM,86438.0,89575.18083511485
reads,0,GAM,9716.0,95108.92059531425
reads,0,GAM,51314.0,-41036.27404541714
reads,1,Linear,65715.0,22979.4590138246
reads,1,Linear,609524.0,82961.63823470712
reads,1,Linear,247319.0,47216.897799425096
reads,1,Linear,72088.0,110219.75671768642
reads,1,Linear,44858.0,153377.56835795534
reads,1,Linear,43948.0,152956.4887106542
reads,1,Linear,71027.0,63818.58751014137
reads,1,Linear,65736.0,129067.7917951126
reads,1,Linear,46956.0,56313.63186506997
reads,1,Linear,63353.0,62236.09925624519
reads,1,Ridge,65715.0,72334.76413675268
reads,1,Ridge,609524.0,74983.62961036357
reads,1,Ridge,247319.0,74431.8439514707
reads,1,Ridge,72088.0,96819.95465649519
reads,1,Ridge,44858.0,109761.06665155955
reads,1,Ridge,43948.0,102456.43965973618
reads,1,Ridge,71027.0,61296.371358956494
reads,1,Ridge,65736.0,100166.18491353389
reads,1,Ridge,46956.0,74057.79332866186
reads,1,Ridge,63353.0,73985.48732475624
reads,1,RF,65715.0,62428.47391646266
reads,1,RF,609524.0,67076.3442681367
reads,1,RF,247319.0,90528.13364855979
reads,1,RF,72088.0,80582.11219101204
reads,1,RF,44858.0,91766.75061539214
reads,1,RF,43948.0,87000.001660896
reads,1,RF,71027.0,62187.58524662593
reads,1,RF,65736.0,73835.02585991146
reads,1,RF,46956.0,61992.78973381685
reads,1,RF,63353.0,64100.38285969275
reads,1,XGBoost,65715.0,65336.6640625
reads,1,XGBoost,609524.0,65670.1171875
reads,1,XGBoost,247319.0,68269.84375
reads,1,XGBoost,72088.0,53970.76953125
reads,1,XGBoost,44858.0,53575.046875
reads,1,XGBoost,43948.0,69300.78125
reads,1,XGBoost,71027.0,58147.80078125
reads,1,XGBoost,65736.0,60251.19921875
reads,1,XGBoost,46956.0,64311.49609375
reads,1,XGBoost,63353.0,50173.3046875
reads,1,LightGBM,65715.0,79670.86842105263
reads,1,LightGBM,609524.0,79670.86842105263
reads,1,LightGBM,247319.0,79670.86842105263
reads,1,LightGBM,72088.0,79670.86842105263
reads,1,LightGBM,44858.0,79670.86842105263
reads,1,LightGBM,43948.0,79670.86842105263
reads,1,LightGBM,71027.0,79670.86842105263
reads,1,LightGBM,65736.0,79670.86842105263
reads,1,LightGBM,46956.0,79670.86842105263
reads,1,LightGBM,63353.0,79670.86842105263
reads,1,GAM,65715.0,29157.453766760947
reads,1,GAM,609524.0,106925.51174277623
reads,1,GAM,247319.0,63696.838647472185
reads,1,GAM,72088.0,125634.18520773895
reads,1,GAM,44858.0,175251.9524219615
reads,1,GAM,43948.0,154555.06983849753
reads,1,GAM,71027.0,95760.94176008506
reads,1,GAM,65736.0,138150.10693929807
reads,1,GAM,46956.0,67511.77948953005
reads,1,GAM,63353.0,41227.504188033
reads,2,Linear,46414.0,157445.93365445535
reads,2,Linear,52170.0,50055.48318457521
reads,2,Linear,46733.0,-11626.19093415
reads,2,Linear,408549.0,93185.59380438777
reads,2,Linear,60525.0,101837.13813264472
