Target,Model,Group,MeanAbsSHAP,Contribution
Miliolida,LightGBM,Major Element Gradient (PC1),0.0,
Miliolida,LightGBM,Major Element Gradient (PC2),0.0,
Miliolida,LightGBM,Organic-Depth Gradient (PC1),0.0,
Miliolida,LightGBM,Organic-Depth Gradient (PC2),0.0,
Miliolida,LightGBM,Sediment Gradient (PC1),0.0,
Miliolida,LightGBM,Sediment Gradient (PC2),0.0,
Miliolida,LightGBM,Trace Element Gradient (PC1),0.0,
Miliolida,LightGBM,Trace Element Gradient (PC2),0.0,
Miliolida,RF,Major Element Gradient (PC1),25.58225136299638,0.3161847562803102
Miliolida,RF,Major Element Gradient (PC2),12.443281590511713,0.1537931865806823
Miliolida,RF,Organic-Depth Gradient (PC1),1.2030613674686772,0.01486928026254787
Miliolida,RF,Organic-Depth Gradient (PC2),5.923974203262398,0.07321757233527465
Miliolida,RF,Sediment Gradient (PC1),9.397099409451348,0.11614378829913938
Miliolida,RF,Sediment Gradient (PC2),1.841000009821748,0.02275390586848486
Miliolida,RF,Trace Element Gradient (PC1),16.607528147766523,0.20526134175256217
Miliolida,RF,Trace Element Gradient (PC2),7.910990246334255,0.09777616862099868
Miliolida,XGBoost,Major Element Gradient (PC1),26.24582576751709,0.26249914449241
Miliolida,XGBoost,Major Element Gradient (PC2),10.004865837097167,0.10006424435880101
Miliolida,XGBoost,Organic-Depth Gradient (PC1),5.525653743743897,0.05526514552608318
Miliolida,XGBoost,Organic-Depth Gradient (PC2),5.270032215118408,0.0527085320221911
Miliolida,XGBoost,Sediment Gradient (PC1),22.10700416564941,0.22110448084873108
Miliolida,XGBoost,Sediment Gradient (PC2),7.208250665664673,0.0720937359633636
Miliolida,XGBoost,Trace Element Gradient (PC1),17.113070678710937,0.1711573662261927
Miliolida,XGBoost,Trace Element Gradient (PC2),6.509720945358277,0.06510735056222718
Monothalamida,LightGBM,Major Element Gradient (PC1),0.0,
Monothalamida,LightGBM,Major Element Gradient (PC2),0.0,
Monothalamida,LightGBM,Organic-Depth Gradient (PC1),0.0,
