Target,Model,Feature,MeanAbsSHAP,Group
Miliolida,XGBoost,Major_PC1,23.735089937845867,Major Element Gradient (PC1)
Miliolida,XGBoost,Sediment_PC1,15.73517902692159,Sediment Gradient (PC1)
Miliolida,XGBoost,Trace_PC1,15.244104385375977,Trace Element Gradient (PC1)
Miliolida,XGBoost,Major_PC2,11.235814094543457,Major Element Gradient (PC2)
Miliolida,XGBoost,Sediment_PC2,8.354005018870035,Sediment Gradient (PC2)
Monothalamida,XGBoost,Major_PC1,5427.285909016927,Major Element Gradient (PC1)
Monothalamida,XGBoost,Trace_PC2,4853.922637939453,Trace Element Gradient (PC2)
Monothalamida,XGBoost,Sediment_PC1,3533.6822102864585,Sediment Gradient (PC1)
Monothalamida,XGBoost,Trace_PC1,2316.7224934895835,Trace Element Gradient (PC1)
Monothalamida,XGBoost,Sediment_PC2,882.621836344401,Sediment Gradient (PC2)
Other,XGBoost,Major_PC1,14904.391398111979,Major Element Gradient (PC1)
Other,XGBoost,Trace_PC2,7433.415120442708,Trace Element Gradient (PC2)
Other,XGBoost,Sediment_PC1,7313.932861328125,Sediment Gradient (PC1)
Other,XGBoost,Trace_PC1,4868.717529296875,Trace Element Gradient (PC1)
Other,XGBoost,Sediment_PC2,3182.748006184896,Sediment Gradient (PC2)
Rotaliida,XGBoost,Major_PC1,3060.4844258626304,Major Element Gradient (PC1)
Rotaliida,XGBoost,Sediment_PC1,1312.9492797851562,Sediment Gradient (PC1)
Rotaliida,XGBoost,Trace_PC1,1133.896240234375,Trace Element Gradient (PC1)
Rotaliida,XGBoost,Organic_PC2,1110.1435953776042,Organic-Depth Gradient (PC2)
Rotaliida,XGBoost,Trace_PC2,836.9874877929688,Trace Element Gradient (PC2)
Textulariida,XGBoost,Trace_PC2,95.55559412638347,Trace Element Gradient (PC2)
Textulariida,XGBoost,Major_PC1,55.48142051696777,Major Element Gradient (PC1)
Textulariida,XGBoost,Sediment_PC1,39.498805363972984,Sediment Gradient (PC1)
Textulariida,XGBoost,Trace_PC1,12.350156625111898,Trace Element Gradient (PC1)
Textulariida,XGBoost,Organic_PC2,12.33025328318278,Organic-Depth Gradient (PC2)
reads,XGBoost,Major_PC1,23468.907674153645,Major Element Gradient (PC1)
reads,XGBoost,Sediment_PC1,11468.189290364584,Sediment Gradient (PC1)
reads,XGBoost,Trace_PC1,10273.1826171875,Trace Element Gradient (PC1)
reads,XGBoost,Trace_PC2,9707.896321614584,Trace Element Gradient (PC2)
reads,XGBoost,Sediment_PC2,4366.4082438151045,Sediment Gradient (PC2)
shannon,XGBoost,Trace_PC2,0.07110978973408537,Trace Element Gradient (PC2)
shannon,XGBoost,Sediment_PC1,0.058162428438663434,Sediment Gradient (PC1)
shannon,XGBoost,Sediment_PC2,0.042562767242391865,Sediment Gradient (PC2)
shannon,XGBoost,Major_PC2,0.04069944533209,Major Element Gradient (PC2)
shannon,XGBoost,Trace_PC1,0.04049288729826606,Trace Element Gradient (PC1)
simpson,XGBoost,Organic_PC2,0.0027374132187105334,Organic-Depth Gradient (PC2)
simpson,XGBoost,Major_PC2,0.0024616552012351333,Major Element Gradient (PC2)
simpson,XGBoost,Sediment_PC2,0.0015218813787214,Sediment Gradient (PC2)
simpson,XGBoost,Organic_PC1,0.0012122126257356999,Organic-Depth Gradient (PC1)
simpson,XGBoost,Major_PC1,0.0012107235767567666,Major Element Gradient (PC1)
zotu,XGBoost,Organic_PC2,281.07327524820965,Organic-Depth Gradient (PC2)
zotu,XGBoost,Major_PC1,230.40079752604166,Major Element Gradient (PC1)
zotu,XGBoost,Organic_PC1,213.81888326009116,Organic-Depth Gradient (PC1)
zotu,XGBoost,Sediment_PC1,166.0989227294922,Sediment Gradient (PC1)
zotu,XGBoost,Trace_PC1,152.38976542154947,Trace Element Gradient (PC1)
