Target,Fold,Group,PC,Variable,Loading
reads,0,Sediment,PC1,Grain Size,0.3763665040444927
reads,0,Sediment,PC1,Sorting,0.48979108992434467
reads,0,Sediment,PC1,Skewness,-0.47852455439196456
reads,0,Sediment,PC1,Kurtosis,-0.4769632509983867
reads,0,Sediment,PC1,Clay Content,0.06749987107542248
reads,0,Sediment,PC1,Silt Content,-0.20093569892406063
reads,0,Sediment,PC1,Sand Content,0.34211381616031195
reads,0,Sediment,PC2,Grain Size,-0.39800432209468245
reads,0,Sediment,PC2,Sorting,0.03550825846079007
reads,0,Sediment,PC2,Skewness,-0.0789831492481573
reads,0,Sediment,PC2,Kurtosis,-0.1487127578000141
reads,0,Sediment,PC2,Clay Content,0.6107256087616465
reads,0,Sediment,PC2,Silt Content,-0.5476411365187469
reads,0,Sediment,PC2,Sand Content,-0.37293607679140295
reads,0,Major,PC1,Na2O,0.24947346067544707
reads,0,Major,PC1,MgO,0.3154018025847987
reads,0,Major,PC1,Al2O3,0.4230888398915562
reads,0,Major,PC1,SiO2,-0.3377116707959455
reads,0,Major,PC1,K2O,0.4409455463181006
reads,0,Major,PC1,CaO,-0.4171506374848606
reads,0,Major,PC1,Fe2O3,0.4204565698624652
reads,0,Major,PC2,Na2O,0.6326733860044846
reads,0,Major,PC2,MgO,-0.47864001650479854
reads,0,Major,PC2,Al2O3,0.03633245815046175
reads,0,Major,PC2,SiO2,-0.5270256353201622
reads,0,Major,PC2,K2O,-0.2691344403134011
reads,0,Major,PC2,CaO,0.08800462050608616
reads,0,Major,PC2,Fe2O3,-0.10664845638265597
reads,0,Trace,PC1,Sc,-0.10614986068209092
reads,0,Trace,PC1,Ti,-0.3737672779070828
reads,0,Trace,PC1,V,-0.34122125979576506
reads,0,Trace,PC1,Cr,-0.3354783060306718
reads,0,Trace,PC1,Mn,0.4006534039785652
reads,0,Trace,PC1,Co,0.1752698672215134
reads,0,Trace,PC1,Ni,0.4018481302969559
reads,0,Trace,PC1,Cu,0.3988435966095598
reads,0,Trace,PC1,Zn,0.2810794882726558
reads,0,Trace,PC1,Ga,-0.09252342681802962
reads,0,Trace,PC1,As,0.12162071110859254
reads,0,Trace,PC1,Rb,-0.07677184136054568
reads,0,Trace,PC2,Sc,0.13548052432186108
reads,0,Trace,PC2,Ti,0.04891195620906137
reads,0,Trace,PC2,V,-0.0060786366315919525
reads,0,Trace,PC2,Cr,0.11740846938061451
reads,0,Trace,PC2,Mn,-0.0396421251701263
reads,0,Trace,PC2,Co,0.22022933017558646
reads,0,Trace,PC2,Ni,-0.06486341406513942
reads,0,Trace,PC2,Cu,-0.021601070175096077
reads,0,Trace,PC2,Zn,0.029348931081948696
reads,0,Trace,PC2,Ga,-0.5285314751292983
reads,0,Trace,PC2,As,0.5594868728832668
reads,0,Trace,PC2,Rb,0.5634289520449685
reads,0,Organic,PC1,Chlorophyll a,-0.3097954072658422
reads,0,Organic,PC1,Depth,-0.13300598597089527
reads,0,Organic,PC1,N,0.5359984249254246
reads,0,Organic,PC1,C,0.5367486259412684
reads,0,Organic,PC1,S1,0.5229733489853156
reads,0,Organic,PC1,P,0.0017954097031886807
reads,0,Organic,PC1,S2,-0.0350401611075087
reads,0,Organic,PC1,Cl,-0.19029097252672456
reads,0,Organic,PC2,Chlorophyll a,0.2920794783575667
reads,0,Organic,PC2,Depth,-0.24659500681874238
reads,0,Organic,PC2,N,0.0963726231921827
reads,0,Organic,PC2,C,0.11112440897364208
reads,0,Organic,PC2,S1,0.12832556422619004
reads,0,Organic,PC2,P,-0.39256609097923634
reads,0,Organic,PC2,S2,0.6298462671733204
reads,0,Organic,PC2,Cl,0.5147448471533237
reads,1,Sediment,PC1,Grain Size,0.40039353197712085
reads,1,Sediment,PC1,Sorting,0.47253885765841774
reads,1,Sediment,PC1,Skewness,-0.38874236761652625
reads,1,Sediment,PC1,Kurtosis,-0.4458009395760746
reads,1,Sediment,PC1,Clay Content,0.03510847636446331
reads,1,Sediment,PC1,Silt Content,-0.3625763880149846
reads,1,Sediment,PC1,Sand Content,0.3658397178931288
reads,1,Sediment,PC2,Grain Size,-0.39283767830502303
reads,1,Sediment,PC2,Sorting,-0.006250434822243185
reads,1,Sediment,PC2,Skewness,-0.2170584195694914
reads,1,Sediment,PC2,Kurtosis,-0.21530086994516517
reads,1,Sediment,PC2,Clay Content,0.703936870228388
reads,1,Sediment,PC2,Silt Content,-0.29320052124956353
reads,1,Sediment,PC2,Sand Content,-0.4131307366141473
reads,1,Major,PC1,Na2O,0.20068160419809805
reads,1,Major,PC1,MgO,0.3804072407843626
reads,1,Major,PC1,Al2O3,0.49449787828941744
reads,1,Major,PC1,SiO2,-0.3610920140693368
reads,1,Major,PC1,K2O,0.48057260583307565
reads,1,Major,PC1,CaO,-0.10549208175512706
reads,1,Major,PC1,Fe2O3,0.4449977773514124
reads,1,Major,PC2,Na2O,0.6701190058811541
