Target,Fold,Group,PC,ExplainedVarianceRatio
reads,0,Sediment,PC1,0.5764172426706679
reads,0,Sediment,PC2,0.3734066835100712
reads,0,Major,PC1,0.6272177785858113
reads,0,Major,PC2,0.23794443572122737
reads,0,Trace,PC1,0.49807770001553114
reads,0,Trace,PC2,0.2315366694973047
reads,0,Organic,PC1,0.407115551250118
reads,0,Organic,PC2,0.2126855253125651
reads,1,Sediment,PC1,0.6155594319311746
reads,1,Sediment,PC2,0.2681100490436242
reads,1,Major,PC1,0.551962820427616
reads,1,Major,PC2,0.21144729916634525
reads,1,Trace,PC1,0.3773283404683227
reads,1,Trace,PC2,0.26074184383736965
reads,1,Organic,PC1,0.3535787504164954
reads,1,Organic,PC2,0.1959780107687329
reads,2,Sediment,PC1,0.6188317372043667
reads,2,Sediment,PC2,0.2762642037766065
reads,2,Major,PC1,0.4517386502138692
reads,2,Major,PC2,0.27237200299147823
reads,2,Trace,PC1,0.31022565600182256
reads,2,Trace,PC2,0.269660412886807
reads,2,Organic,PC1,0.3556471507098097
reads,2,Organic,PC2,0.2117969230285945
zotu,0,Sediment,PC1,0.5764172426706679
zotu,0,Sediment,PC2,0.3734066835100712
zotu,0,Major,PC1,0.6272177785858113
zotu,0,Major,PC2,0.23794443572122737
zotu,0,Trace,PC1,0.49807770001553114
zotu,0,Trace,PC2,0.2315366694973047
zotu,0,Organic,PC1,0.407115551250118
zotu,0,Organic,PC2,0.2126855253125651
zotu,1,Sediment,PC1,0.6155594319311746
zotu,1,Sediment,PC2,0.2681100490436242
zotu,1,Major,PC1,0.551962820427616
zotu,1,Major,PC2,0.21144729916634525
zotu,1,Trace,PC1,0.3773283404683227
zotu,1,Trace,PC2,0.26074184383736965
zotu,1,Organic,PC1,0.3535787504164954
zotu,1,Organic,PC2,0.1959780107687329
zotu,2,Sediment,PC1,0.6188317372043667
zotu,2,Sediment,PC2,0.2762642037766065
zotu,2,Major,PC1,0.4517386502138692
zotu,2,Major,PC2,0.27237200299147823
zotu,2,Trace,PC1,0.31022565600182256
zotu,2,Trace,PC2,0.269660412886807
zotu,2,Organic,PC1,0.3556471507098097
zotu,2,Organic,PC2,0.2117969230285945
shannon,0,Sediment,PC1,0.5764172426706679
shannon,0,Sediment,PC2,0.3734066835100712
shannon,0,Major,PC1,0.6272177785858113
shannon,0,Major,PC2,0.23794443572122737
shannon,0,Trace,PC1,0.49807770001553114
shannon,0,Trace,PC2,0.2315366694973047
shannon,0,Organic,PC1,0.407115551250118
shannon,0,Organic,PC2,0.2126855253125651
shannon,1,Sediment,PC1,0.6155594319311746
shannon,1,Sediment,PC2,0.2681100490436242
shannon,1,Major,PC1,0.551962820427616
shannon,1,Major,PC2,0.21144729916634525
shannon,1,Trace,PC1,0.3773283404683227
shannon,1,Trace,PC2,0.26074184383736965
shannon,1,Organic,PC1,0.3535787504164954
shannon,1,Organic,PC2,0.1959780107687329
shannon,2,Sediment,PC1,0.6188317372043667
shannon,2,Sediment,PC2,0.2762642037766065
shannon,2,Major,PC1,0.4517386502138692
shannon,2,Major,PC2,0.27237200299147823
shannon,2,Trace,PC1,0.31022565600182256
shannon,2,Trace,PC2,0.269660412886807
shannon,2,Organic,PC1,0.3556471507098097
shannon,2,Organic,PC2,0.2117969230285945
simpson,0,Sediment,PC1,0.5764172426706679
simpson,0,Sediment,PC2,0.3734066835100712
simpson,0,Major,PC1,0.6272177785858113
simpson,0,Major,PC2,0.23794443572122737
simpson,0,Trace,PC1,0.49807770001553114
simpson,0,Trace,PC2,0.2315366694973047
simpson,0,Organic,PC1,0.407115551250118
simpson,0,Organic,PC2,0.2126855253125651
simpson,1,Sediment,PC1,0.6155594319311746
simpson,1,Sediment,PC2,0.2681100490436242
simpson,1,Major,PC1,0.551962820427616
simpson,1,Major,PC2,0.21144729916634525
simpson,1,Trace,PC1,0.3773283404683227
simpson,1,Trace,PC2,0.26074184383736965
simpson,1,Organic,PC1,0.3535787504164954
simpson,1,Organic,PC2,0.1959780107687329
simpson,2,Sediment,PC1,0.6188317372043667
simpson,2,Sediment,PC2,0.2762642037766065
simpson,2,Major,PC1,0.4517386502138692
simpson,2,Major,PC2,0.27237200299147823
simpson,2,Trace,PC1,0.31022565600182256
simpson,2,Trace,PC2,0.269660412886807
simpson,2,Organic,PC1,0.3556471507098097
simpson,2,Organic,PC2,0.2117969230285945
Rotaliida,0,Sediment,PC1,0.5764172426706679
Rotaliida,0,Sediment,PC2,0.3734066835100712
Rotaliida,0,Major,PC1,0.6272177785858113
Rotaliida,0,Major,PC2,0.23794443572122737
Rotaliida,0,Trace,PC1,0.49807770001553114
Rotaliida,0,Trace,PC2,0.2315366694973047
Rotaliida,0,Organic,PC1,0.407115551250118
Rotaliida,0,Organic,PC2,0.2126855253125651
Rotaliida,1,Sediment,PC1,0.6155594319311746
Rotaliida,1,Sediment,PC2,0.2681100490436242
Rotaliida,1,Major,PC1,0.551962820427616
Rotaliida,1,Major,PC2,0.21144729916634525
Rotaliida,1,Trace,PC1,0.3773283404683227
Rotaliida,1,Trace,PC2,0.26074184383736965
Rotaliida,1,Organic,PC1,0.3535787504164954
Rotaliida,1,Organic,PC2,0.1959780107687329
Rotaliida,2,Sediment,PC1,0.6188317372043667
Rotaliida,2,Sediment,PC2,0.2762642037766065
Rotaliida,2,Major,PC1,0.4517386502138692
Rotaliida,2,Major,PC2,0.27237200299147823
Rotaliida,2,Trace,PC1,0.31022565600182256
Rotaliida,2,Trace,PC2,0.269660412886807
Rotaliida,2,Organic,PC1,0.3556471507098097
Rotaliida,2,Organic,PC2,0.2117969230285945
Textulariida,0,Sediment,PC1,0.5764172426706679
Textulariida,0,Sediment,PC2,0.3734066835100712
Textulariida,0,Major,PC1,0.6272177785858113
Textulariida,0,Major,PC2,0.23794443572122737
Textulariida,0,Trace,PC1,0.49807770001553114
Textulariida,0,Trace,PC2,0.2315366694973047
Textulariida,0,Organic,PC1,0.407115551250118
Textulariida,0,Organic,PC2,0.2126855253125651
Textulariida,1,Sediment,PC1,0.6155594319311746
Textulariida,1,Sediment,PC2,0.2681100490436242
Textulariida,1,Major,PC1,0.551962820427616
Textulariida,1,Major,PC2,0.21144729916634525
Textulariida,1,Trace,PC1,0.3773283404683227
Textulariida,1,Trace,PC2,0.26074184383736965
Textulariida,1,Organic,PC1,0.3535787504164954
Textulariida,1,Organic,PC2,0.1959780107687329
Textulariida,2,Sediment,PC1,0.6188317372043667
Textulariida,2,Sediment,PC2,0.2762642037766065
Textulariida,2,Major,PC1,0.4517386502138692
Textulariida,2,Major,PC2,0.27237200299147823
Textulariida,2,Trace,PC1,0.31022565600182256
Textulariida,2,Trace,PC2,0.269660412886807
Textulariida,2,Organic,PC1,0.3556471507098097
Textulariida,2,Organic,PC2,0.2117969230285945
Monothalamida,0,Sediment,PC1,0.5764172426706679
Monothalamida,0,Sediment,PC2,0.3734066835100712
Monothalamida,0,Major,PC1,0.6272177785858113
Monothalamida,0,Major,PC2,0.23794443572122737
Monothalamida,0,Trace,PC1,0.49807770001553114
Monothalamida,0,Trace,PC2,0.2315366694973047
Monothalamida,0,Organic,PC1,0.407115551250118
Monothalamida,0,Organic,PC2,0.2126855253125651
Monothalamida,1,Sediment,PC1,0.6155594319311746
Monothalamida,1,Sediment,PC2,0.2681100490436242
Monothalamida,1,Major,PC1,0.551962820427616
Monothalamida,1,Major,PC2,0.21144729916634525
Monothalamida,1,Trace,PC1,0.3773283404683227
Monothalamida,1,Trace,PC2,0.26074184383736965
Monothalamida,1,Organic,PC1,0.3535787504164954
Monothalamida,1,Organic,PC2,0.1959780107687329
Monothalamida,2,Sediment,PC1,0.6188317372043667
Monothalamida,2,Sediment,PC2,0.2762642037766065
Monothalamida,2,Major,PC1,0.4517386502138692
Monothalamida,2,Major,PC2,0.27237200299147823
Monothalamida,2,Trace,PC1,0.31022565600182256
Monothalamida,2,Trace,PC2,0.269660412886807
Monothalamida,2,Organic,PC1,0.3556471507098097
Monothalamida,2,Organic,PC2,0.2117969230285945
Miliolida,0,Sediment,PC1,0.5764172426706679
Miliolida,0,Sediment,PC2,0.3734066835100712
Miliolida,0,Major,PC1,0.6272177785858113
Miliolida,0,Major,PC2,0.23794443572122737
Miliolida,0,Trace,PC1,0.49807770001553114
Miliolida,0,Trace,PC2,0.2315366694973047
Miliolida,0,Organic,PC1,0.407115551250118
Miliolida,0,Organic,PC2,0.2126855253125651
Miliolida,1,Sediment,PC1,0.6155594319311746
Miliolida,1,Sediment,PC2,0.2681100490436242
Miliolida,1,Major,PC1,0.551962820427616
Miliolida,1,Major,PC2,0.21144729916634525
Miliolida,1,Trace,PC1,0.3773283404683227
Miliolida,1,Trace,PC2,0.26074184383736965
Miliolida,1,Organic,PC1,0.3535787504164954
Miliolida,1,Organic,PC2,0.1959780107687329
Miliolida,2,Sediment,PC1,0.6188317372043667
Miliolida,2,Sediment,PC2,0.2762642037766065
Miliolida,2,Major,PC1,0.4517386502138692
Miliolida,2,Major,PC2,0.27237200299147823
Miliolida,2,Trace,PC1,0.31022565600182256
Miliolida,2,Trace,PC2,0.269660412886807
Miliolida,2,Organic,PC1,0.3556471507098097
Miliolida,2,Organic,PC2,0.2117969230285945
Other,0,Sediment,PC1,0.5764172426706679
Other,0,Sediment,PC2,0.3734066835100712
Other,0,Major,PC1,0.6272177785858113
Other,0,Major,PC2,0.23794443572122737
Other,0,Trace,PC1,0.49807770001553114
Other,0,Trace,PC2,0.2315366694973047
Other,0,Organic,PC1,0.407115551250118
Other,0,Organic,PC2,0.2126855253125651
Other,1,Sediment,PC1,0.6155594319311746
Other,1,Sediment,PC2,0.2681100490436242
Other,1,Major,PC1,0.551962820427616
Other,1,Major,PC2,0.21144729916634525
Other,1,Trace,PC1,0.3773283404683227
Other,1,Trace,PC2,0.26074184383736965
Other,1,Organic,PC1,0.3535787504164954
Other,1,Organic,PC2,0.1959780107687329
Other,2,Sediment,PC1,0.6188317372043667
Other,2,Sediment,PC2,0.2762642037766065
Other,2,Major,PC1,0.4517386502138692
Other,2,Major,PC2,0.27237200299147823
Other,2,Trace,PC1,0.31022565600182256
Other,2,Trace,PC2,0.269660412886807
Other,2,Organic,PC1,0.3556471507098097
Other,2,Organic,PC2,0.2117969230285945
