Target,Model,Group,MeanAbsSHAP,Contribution
Miliolida,LightGBM,Major Element Gradient (PC1),0.0,0.0
Miliolida,LightGBM,Major Element Gradient (PC2),0.0,0.0
Miliolida,LightGBM,Organic-Depth Gradient (PC1),0.0,0.0
Miliolida,LightGBM,Organic-Depth Gradient (PC2),2.824780803427952,0.0617048045919789
Miliolida,LightGBM,Sediment Gradient (PC1),21.801909681910647,0.4762431743453264
Miliolida,LightGBM,Sediment Gradient (PC2),9.421392967325128,0.20580188428339724
Miliolida,LightGBM,Trace Element Gradient (PC1),0.0,0.0
Miliolida,LightGBM,Trace Element Gradient (PC2),11.730860700984067,0.2562501367792975
Miliolida,RF,Major Element Gradient (PC1),19.717180908967762,0.28427654291875415
Miliolida,RF,Major Element Gradient (PC2),8.685781777041024,0.12522905924147154
Miliolida,RF,Organic-Depth Gradient (PC1),4.918651294987755,0.07091567463003888
Miliolida,RF,Organic-Depth Gradient (PC2),7.2933857226686145,0.10515390049853618
Miliolida,RF,Sediment Gradient (PC1),4.840727755153041,0.06979219584174369
Miliolida,RF,Sediment Gradient (PC2),2.356406749159985,0.03397398276428806
Miliolida,RF,Trace Element Gradient (PC1),12.735043975987317,0.18361013636413956
Miliolida,RF,Trace Element Gradient (PC2),8.811977188213431,0.12704850774102788
Miliolida,XGBoost,Major Element Gradient (PC1),23.735089937845867,0.2562630049604677
Miliolida,XGBoost,Major Element Gradient (PC2),11.235814094543457,0.12131083095049788
Miliolida,XGBoost,Organic-Depth Gradient (PC1),3.504005193710327,0.037832041196756025
Miliolida,XGBoost,Organic-Depth Gradient (PC2),8.06768544514974,0.08710518142816598
Miliolida,XGBoost,Sediment Gradient (PC1),15.73517902692159,0.16988957158322107
Miliolida,XGBoost,Sediment Gradient (PC2),8.354005018870035,0.09019651643185471
Miliolida,XGBoost,Trace Element Gradient (PC1),15.244104385375977,0.16458753718470365
Miliolida,XGBoost,Trace Element Gradient (PC2),6.744157552719116,0.072815316264333
Monothalamida,LightGBM,Major Element Gradient (PC1),0.0,0.0
