Target,Model,Fold1,Fold2,SpearmanR
Miliolida,LightGBM,0,1,
Miliolida,LightGBM,0,2,
Miliolida,LightGBM,1,2,
Miliolida,RF,0,1,0.09523809523809526
Miliolida,RF,0,2,0.19047619047619052
Miliolida,RF,1,2,0.8095238095238096
Miliolida,XGBoost,0,1,0.04761904761904763
Miliolida,XGBoost,0,2,0.09523809523809526
Miliolida,XGBoost,1,2,0.261904761904762
Monothalamida,LightGBM,0,1,
Monothalamida,LightGBM,0,2,
Monothalamida,LightGBM,1,2,
Monothalamida,RF,0,1,0.4523809523809524
Monothalamida,RF,0,2,-0.09523809523809526
Monothalamida,RF,1,2,0.30952380952380953
Monothalamida,XGBoost,0,1,0.04761904761904763
Monothalamida,XGBoost,0,2,0.28571428571428575
Monothalamida,XGBoost,1,2,-0.2380952380952381
Other,LightGBM,0,1,
Other,LightGBM,0,2,
Other,LightGBM,1,2,
Other,RF,0,1,-0.09523809523809526
Other,RF,0,2,0.4285714285714286
Other,RF,1,2,0.14285714285714288
Other,XGBoost,0,1,0.14285714285714288
Other,XGBoost,0,2,0.30952380952380953
Other,XGBoost,1,2,-0.1666666666666667
Rotaliida,LightGBM,0,1,
Rotaliida,LightGBM,0,2,
Rotaliida,LightGBM,1,2,
Rotaliida,RF,0,1,-0.7380952380952381
Rotaliida,RF,0,2,0.6666666666666669
Rotaliida,RF,1,2,-0.5952380952380953
Rotaliida,XGBoost,0,1,-0.19047619047619052
Rotaliida,XGBoost,0,2,0.6666666666666669
Rotaliida,XGBoost,1,2,-0.38095238095238104
Textulariida,LightGBM,0,1,
Textulariida,LightGBM,0,2,
Textulariida,LightGBM,1,2,
Textulariida,RF,0,1,0.5952380952380953
Textulariida,RF,0,2,0.7142857142857144
Textulariida,RF,1,2,0.7380952380952381
Textulariida,XGBoost,0,1,0.3571428571428572
Textulariida,XGBoost,0,2,-0.09523809523809526
Textulariida,XGBoost,1,2,0.261904761904762
reads,LightGBM,0,1,
reads,LightGBM,0,2,
reads,LightGBM,1,2,
reads,RF,0,1,0.04761904761904763
reads,RF,0,2,0.1666666666666667
reads,RF,1,2,0.3333333333333334
reads,XGBoost,0,1,0.14285714285714288
reads,XGBoost,0,2,0.07142857142857144
reads,XGBoost,1,2,0.0
shannon,LightGBM,0,1,
shannon,LightGBM,0,2,
shannon,LightGBM,1,2,
shannon,RF,0,1,-0.4761904761904762
shannon,RF,0,2,-0.3571428571428572
shannon,RF,1,2,0.7857142857142858
shannon,XGBoost,0,1,-0.5714285714285715
shannon,XGBoost,0,2,-0.3333333333333334
shannon,XGBoost,1,2,-0.023809523809523815
simpson,LightGBM,0,1,
simpson,LightGBM,0,2,
simpson,LightGBM,1,2,
simpson,RF,0,1,0.5000000000000001
simpson,RF,0,2,0.04761904761904763
simpson,RF,1,2,0.09523809523809526
simpson,XGBoost,0,1,0.1666666666666667
simpson,XGBoost,0,2,-0.4523809523809524
simpson,XGBoost,1,2,0.261904761904762
zotu,LightGBM,0,1,
zotu,LightGBM,0,2,
zotu,LightGBM,1,2,
zotu,RF,0,1,0.261904761904762
zotu,RF,0,2,0.2142857142857143
zotu,RF,1,2,0.14285714285714288
zotu,XGBoost,0,1,0.19047619047619052
zotu,XGBoost,0,2,0.09523809523809526
zotu,XGBoost,1,2,-0.261904761904762
