Target,Model,Feature,MeanAbsSHAP,Group
Miliolida,XGBoost,Major_PC1,26.24582576751709,Major Element Gradient (PC1)
Miliolida,XGBoost,Sediment_PC1,22.10700416564941,Sediment Gradient (PC1)
Miliolida,XGBoost,Trace_PC1,17.113070678710937,Trace Element Gradient (PC1)
Miliolida,XGBoost,Major_PC2,10.004865837097167,Major Element Gradient (PC2)
Miliolida,XGBoost,Sediment_PC2,7.208250665664673,Sediment Gradient (PC2)
Monothalamida,XGBoost,Trace_PC2,5131.480310058594,Trace Element Gradient (PC2)
Monothalamida,XGBoost,Sediment_PC1,4273.977270507812,Sediment Gradient (PC1)
Monothalamida,XGBoost,Major_PC1,4139.008605957031,Major Element Gradient (PC1)
Monothalamida,XGBoost,Trace_PC1,2081.5175018310547,Trace Element Gradient (PC1)
Monothalamida,XGBoost,Sediment_PC2,1793.7221557617188,Sediment Gradient (PC2)
Other,XGBoost,Major_PC1,11031.163720703125,Major Element Gradient (PC1)
Other,XGBoost,Sediment_PC1,6877.7373046875,Sediment Gradient (PC1)
Other,XGBoost,Trace_PC1,6113.337939453125,Trace Element Gradient (PC1)
Other,XGBoost,Trace_PC2,5838.0529296875,Trace Element Gradient (PC2)
Other,XGBoost,Organic_PC2,3693.412841796875,Organic-Depth Gradient (PC2)
Rotaliida,XGBoost,Major_PC1,2240.170056152344,Major Element Gradient (PC1)
Rotaliida,XGBoost,Sediment_PC1,1372.0291137695312,Sediment Gradient (PC1)
Rotaliida,XGBoost,Trace_PC1,1210.8350952148437,Trace Element Gradient (PC1)
Rotaliida,XGBoost,Organic_PC2,793.0446563720703,Organic-Depth Gradient (PC2)
Rotaliida,XGBoost,Sediment_PC2,671.6571594238281,Sediment Gradient (PC2)
Textulariida,XGBoost,Sediment_PC1,59.39518356323242,Sediment Gradient (PC1)
Textulariida,XGBoost,Major_PC1,58.71117343902588,Major Element Gradient (PC1)
Textulariida,XGBoost,Trace_PC2,37.78076820373535,Trace Element Gradient (PC2)
Textulariida,XGBoost,Major_PC2,15.37236750125885,Major Element Gradient (PC2)
Textulariida,XGBoost,Trace_PC1,9.990999603271485,Trace Element Gradient (PC1)
reads,XGBoost,Major_PC1,17822.109619140625,Major Element Gradient (PC1)
reads,XGBoost,Trace_PC2,13546.864233398437,Trace Element Gradient (PC2)
reads,XGBoost,Sediment_PC1,13016.407861328125,Sediment Gradient (PC1)
reads,XGBoost,Trace_PC1,9457.79990234375,Trace Element Gradient (PC1)
reads,XGBoost,Sediment_PC2,5844.613452148437,Sediment Gradient (PC2)
shannon,XGBoost,Sediment_PC1,0.08420372605323787,Sediment Gradient (PC1)
shannon,XGBoost,Organic_PC1,0.05140817761421198,Organic-Depth Gradient (PC1)
shannon,XGBoost,Sediment_PC2,0.05119420923292632,Sediment Gradient (PC2)
shannon,XGBoost,Major_PC2,0.04363157656043764,Major Element Gradient (PC2)
shannon,XGBoost,Organic_PC2,0.04081711955368514,Organic-Depth Gradient (PC2)
simpson,XGBoost,Trace_PC2,0.001631667552283,Trace Element Gradient (PC2)
simpson,XGBoost,Sediment_PC2,0.00161716507282104,Sediment Gradient (PC2)
simpson,XGBoost,Major_PC1,0.00156071977107778,Major Element Gradient (PC1)
simpson,XGBoost,Organic_PC2,0.0015040323603897798,Organic-Depth Gradient (PC2)
simpson,XGBoost,Trace_PC1,0.00129467629012648,Trace Element Gradient (PC1)
zotu,XGBoost,Major_PC2,310.7071197509766,Major Element Gradient (PC2)
zotu,XGBoost,Major_PC1,237.98190002441407,Major Element Gradient (PC1)
zotu,XGBoost,Trace_PC1,197.32522621154786,Trace Element Gradient (PC1)
zotu,XGBoost,Sediment_PC1,169.7141082763672,Sediment Gradient (PC1)
zotu,XGBoost,Organic_PC2,150.46685409545898,Organic-Depth Gradient (PC2)
