Target,Model,Fold1,Fold2,SpearmanR
Miliolida,LightGBM,0,1,
Miliolida,LightGBM,0,2,
Miliolida,LightGBM,0,3,
Miliolida,LightGBM,0,4,
Miliolida,LightGBM,1,2,
Miliolida,LightGBM,1,3,
Miliolida,LightGBM,1,4,
Miliolida,LightGBM,2,3,
Miliolida,LightGBM,2,4,
Miliolida,LightGBM,3,4,
Miliolida,RF,0,1,0.880952380952381
Miliolida,RF,0,2,0.4285714285714286
Miliolida,RF,0,3,0.4761904761904762
Miliolida,RF,0,4,0.8333333333333335
Miliolida,RF,1,2,0.6666666666666669
Miliolida,RF,1,3,0.4285714285714286
Miliolida,RF,1,4,0.8571428571428572
Miliolida,RF,2,3,0.3333333333333334
Miliolida,RF,2,4,0.7142857142857144
Miliolida,RF,3,4,0.2380952380952381
Miliolida,XGBoost,0,1,0.6190476190476191
Miliolida,XGBoost,0,2,0.7142857142857144
Miliolida,XGBoost,0,3,0.023809523809523815
Miliolida,XGBoost,0,4,0.3333333333333334
Miliolida,XGBoost,1,2,0.6190476190476191
Miliolida,XGBoost,1,3,-0.14285714285714288
Miliolida,XGBoost,1,4,0.6428571428571429
Miliolida,XGBoost,2,3,0.07142857142857144
Miliolida,XGBoost,2,4,0.7619047619047621
Miliolida,XGBoost,3,4,0.4047619047619048
Monothalamida,LightGBM,0,1,
Monothalamida,LightGBM,0,2,
Monothalamida,LightGBM,0,3,
Monothalamida,LightGBM,0,4,
Monothalamida,LightGBM,1,2,
Monothalamida,LightGBM,1,3,
Monothalamida,LightGBM,1,4,
Monothalamida,LightGBM,2,3,
Monothalamida,LightGBM,2,4,
Monothalamida,LightGBM,3,4,
Monothalamida,RF,0,1,0.5000000000000001
Monothalamida,RF,0,2,0.523809523809524
Monothalamida,RF,0,3,0.2142857142857143
Monothalamida,RF,0,4,0.7142857142857144
Monothalamida,RF,1,2,-0.11904761904761905
Monothalamida,RF,1,3,-0.19047619047619052
Monothalamida,RF,1,4,0.1666666666666667
Monothalamida,RF,2,3,0.4523809523809524
Monothalamida,RF,2,4,0.14285714285714288
Monothalamida,RF,3,4,0.09523809523809526
Monothalamida,XGBoost,0,1,0.5000000000000001
Monothalamida,XGBoost,0,2,0.30952380952380953
Monothalamida,XGBoost,0,3,-0.09523809523809526
Monothalamida,XGBoost,0,4,0.4047619047619048
Monothalamida,XGBoost,1,2,0.3333333333333334
Monothalamida,XGBoost,1,3,-0.28571428571428575
Monothalamida,XGBoost,1,4,0.5714285714285715
Monothalamida,XGBoost,2,3,0.3571428571428572
Monothalamida,XGBoost,2,4,-0.04761904761904763
Monothalamida,XGBoost,3,4,0.2380952380952381
Other,LightGBM,0,1,
Other,LightGBM,0,2,
Other,LightGBM,0,3,
Other,LightGBM,0,4,
Other,LightGBM,1,2,
Other,LightGBM,1,3,
Other,LightGBM,1,4,
Other,LightGBM,2,3,
Other,LightGBM,2,4,
Other,LightGBM,3,4,
Other,RF,0,1,0.6904761904761906
Other,RF,0,2,0.4523809523809524
Other,RF,0,3,0.4523809523809524
Other,RF,0,4,0.261904761904762
Other,RF,1,2,-0.11904761904761905
Other,RF,1,3,0.14285714285714288
Other,RF,1,4,-0.09523809523809526
Other,RF,2,3,0.6666666666666669
Other,RF,2,4,0.5476190476190477
