Target,Model,Feature,Top_Frequency
Miliolida,LightGBM,Sediment_PC1,5
Miliolida,LightGBM,Sediment_PC2,5
Miliolida,RF,Major_PC1,5
Miliolida,RF,Major_PC2,1
Miliolida,RF,Trace_PC1,3
Miliolida,RF,Trace_PC2,1
Miliolida,XGBoost,Major_PC1,4
Miliolida,XGBoost,Sediment_PC1,2
Miliolida,XGBoost,Sediment_PC2,1
Miliolida,XGBoost,Trace_PC1,3
Monothalamida,LightGBM,Sediment_PC1,5
Monothalamida,LightGBM,Sediment_PC2,5
Monothalamida,RF,Major_PC1,2
Monothalamida,RF,Major_PC2,2
Monothalamida,RF,Sediment_PC1,2
Monothalamida,RF,Trace_PC1,1
Monothalamida,RF,Trace_PC2,3
Monothalamida,XGBoost,Major_PC1,2
Monothalamida,XGBoost,Major_PC2,1
Monothalamida,XGBoost,Sediment_PC1,3
Monothalamida,XGBoost,Trace_PC1,1
Monothalamida,XGBoost,Trace_PC2,3
Other,LightGBM,Sediment_PC1,5
Other,LightGBM,Sediment_PC2,5
Other,RF,Major_PC1,2
Other,RF,Major_PC2,2
Other,RF,Organic_PC2,1
Other,RF,Sediment_PC1,3
Other,RF,Trace_PC1,2
Other,XGBoost,Major_PC1,4
Other,XGBoost,Major_PC2,1
Other,XGBoost,Organic_PC2,1
Other,XGBoost,Sediment_PC1,1
Other,XGBoost,Trace_PC1,1
Other,XGBoost,Trace_PC2,2
Rotaliida,LightGBM,Sediment_PC1,5
Rotaliida,LightGBM,Sediment_PC2,5
Rotaliida,RF,Major_PC1,3
Rotaliida,RF,Major_PC2,2
Rotaliida,RF,Organic_PC2,1
Rotaliida,RF,Sediment_PC1,2
Rotaliida,RF,Trace_PC1,2
Rotaliida,XGBoost,Major_PC1,4
Rotaliida,XGBoost,Organic_PC1,1
Rotaliida,XGBoost,Sediment_PC1,3
Rotaliida,XGBoost,Sediment_PC2,1
Rotaliida,XGBoost,Trace_PC1,1
Textulariida,LightGBM,Sediment_PC1,5
Textulariida,LightGBM,Sediment_PC2,5
Textulariida,RF,Major_PC1,2
Textulariida,RF,Major_PC2,2
Textulariida,RF,Sediment_PC1,2
Textulariida,RF,Trace_PC1,1
Textulariida,RF,Trace_PC2,3
Textulariida,XGBoost,Major_PC1,4
Textulariida,XGBoost,Major_PC2,1
Textulariida,XGBoost,Sediment_PC1,3
Textulariida,XGBoost,Sediment_PC2,1
Textulariida,XGBoost,Trace_PC2,1
reads,LightGBM,Sediment_PC1,5
reads,LightGBM,Sediment_PC2,5
reads,RF,Major_PC1,3
reads,RF,Major_PC2,2
reads,RF,Sediment_PC1,2
reads,RF,Trace_PC1,3
reads,XGBoost,Major_PC1,4
reads,XGBoost,Sediment_PC1,3
reads,XGBoost,Trace_PC1,1
reads,XGBoost,Trace_PC2,2
shannon,LightGBM,Sediment_PC1,5
shannon,LightGBM,Sediment_PC2,5
shannon,RF,Major_PC1,1
shannon,RF,Major_PC2,2
shannon,RF,Organic_PC1,2
shannon,RF,Organic_PC2,1
shannon,RF,Sediment_PC1,1
shannon,RF,Sediment_PC2,3
shannon,XGBoost,Major_PC2,2
shannon,XGBoost,Organic_PC1,2
shannon,XGBoost,Organic_PC2,1
shannon,XGBoost,Sediment_PC1,4
shannon,XGBoost,Sediment_PC2,1
simpson,LightGBM,Sediment_PC1,5
simpson,LightGBM,Sediment_PC2,5
simpson,RF,Major_PC1,1
simpson,RF,Organic_PC1,1
simpson,RF,Organic_PC2,4
simpson,RF,Trace_PC1,1
simpson,RF,Trace_PC2,3
simpson,XGBoost,Major_PC1,2
simpson,XGBoost,Organic_PC1,1
simpson,XGBoost,Organic_PC2,1
simpson,XGBoost,Sediment_PC2,2
simpson,XGBoost,Trace_PC1,1
simpson,XGBoost,Trace_PC2,3
zotu,LightGBM,Sediment_PC1,5
zotu,LightGBM,Sediment_PC2,5
zotu,RF,Major_PC1,3
zotu,RF,Major_PC2,2
zotu,RF,Organic_PC1,1
zotu,RF,Organic_PC2,1
zotu,RF,Trace_PC1,1
zotu,RF,Trace_PC2,2
zotu,XGBoost,Major_PC1,1
zotu,XGBoost,Major_PC2,3
zotu,XGBoost,Organic_PC1,1
zotu,XGBoost,Organic_PC2,2
zotu,XGBoost,Trace_PC1,2
zotu,XGBoost,Trace_PC2,1
